Bird, MEX, caa94d6e-1ad4-49a6-a0db-9e31d9b03549, 71, 10020, No update data, 9g3qx3km431b
Bird, MEX, a6ec7624-a835-4b3c-bb4d-5f1743766fd1, 61, 7900, No update data, 9g3qx2xg9uqb
Bird, MEX, 03e18611-207f-4ffe-813a-dbe461066000, 26, 2505, No update data, 9g3qx218nfvd
Bird, MEX, ed1da7d3-1246-40b7-9208-f1e510ba5b2c, 54, 7181, No update data, 9g3qx2pmy0xd
Bird, MEX, 234939d4-0e76-49a8-9988-f35b2126ef93, 84, 12191, No update data, 9g3qx3nx6hgf
Bird, MEX, 3ab06fab-c706-496c-811e-fbbe81f3c624, 78, 11189, No update data, 9g3qx2pmwvmz
Bird, MEX, f99795d1-239b-4120-a95f-dd28431ff2c2, 73, 10354, No update data, 9g3qx2ptb1jw
Bird, MEX, d9cea50f-4912-47c9-89f0-48718c7de449, 90, 12482, No update data, 9g3qx2zguwg6
Bird, MEX, 17b00273-1775-4c1c-a0e1-3e160d6d5686, 97, 13588, No update data, 9g3qx20v8jmr
Bird, MEX, e11aeec8-1845-43a2-b90b-ea34c0c84c69, 34, 3841, No update data, 9g3qrret471u
Bird, MEX, dbca5134-e66f-4f59-b6f3-213f913abdb9, 49, 6004, No update data, 9g3qx2b2gcug
Bird, MEX, eac57411-99d7-484b-bb8c-841ecc8b9078, 71, 9480, No update data, 9g3qrrzrzjs1
Bird, MEX, c18697e4-4798-4c2e-9bd4-a884ebeb7e16, 40, 4843, No update data, 9g3qx2b34fe1
Bird, MEX, 9b1d4da5-4c91-474e-93fc-3f2b0a569e63, 83, 11376, No update data, 9g3qx3e3qtz8
Bird, MEX, 4b226b8c-e3d4-41d1-aa03-55e681d91cd3, 83, 12024, No update data, 9g3qx2807s3x
Bird, MEX, 5f2aa98d-4826-4592-8133-c851aae61e6b, 58, 7849, No update data, 9g3qx8bphde3
Bird, MEX, b312c637-36e3-4eb8-b9aa-31ce85e701e5, 67, 9352, No update data, 9g3qrrdtpk2u
Bird, MEX, c75ea55e-31b7-42e1-8d7e-37ca7b941116, 89, 13026, No update data, 9g3qx8bnqh3r
Bird, MEX, c57045fd-eea9-4e7b-a8c8-f672c0c7c9d9, 62, 8058, No update data, 9g3qx33uv0ut
Bird, MEX, d99eb566-7e3a-4f27-afe2-b8843c4b6835, 27, 2672, No update data, 9g3qrrbyrr8f
Bird, MEX, 129ed5f7-a076-4cbd-b907-980c2ddfca2d, 47, 5688, No update data, 9g3qx3tbs605
Bird, MEX, 4c5e7e43-834b-4f97-9ee5-d25a9ff15b9e, 89, 13026, No update data, 9g3qx8bprek2
Bird, MEX, 6a306aa7-5d9f-43b5-8b9f-3919d88d8838, 87, 12692, No update data, 9g3qx8bqd5eu
Bird, MEX, 6bc7ded6-a8dd-4804-922f-2e42816a91a9, 54, 7181, No update data, 9g3qrrz7krbh
Bird, MEX, 50709b8a-8d1c-4f94-be44-47190d5b10c0, 74, 10521, No update data, 9g3qx8bkqn37
Bird, MEX, 257d0a26-c5c8-48a9-b6b2-2bb0e66d56a8, 55, 7348, No update data, 9g3qrrzz7zvh
Bird, MEX, aaede11e-3a41-45d8-aed3-f2f3ab4932fa, 84, 11534, No update data, 9g3qx3029eek
Bird, MEX, fc23dcdf-8930-4379-9a34-edfc4d785eb3, 81, 11690, No update data, 9g3qx3d205jw
Bird, MEX, 568e6c03-cbc9-4fa5-9310-ff0afcbe0adf, 82, 11218, No update data, 9g3qx3029q0k
Bird, MEX, a3d0e264-8279-4f80-aa56-0a04927f385b, 100, 14062, No update data, 9g3qrre93rjr
Bird, MEX, 85ffc6e3-5a72-4643-9e2a-c1852749f066, 100, 14062, No update data, 9g3qrre93m2k
Bird, MEX, 146d8f27-cbaa-4994-b6a1-ed8b3cf6f0fe, 75, 10688, No update data, 9g3qrrzyv7xy
Bird, MEX, e10b01c6-35f1-4a26-ae78-004f3c3c7e5f, 48, 5846, No update data, 9g3qrrc4m5ud
Bird, MEX, 13673970-2381-46dd-8a2d-5172f7a26d8b, 89, 13026, No update data, 9g3qrre90pb9
Bird, MEX, 2edc80d7-c707-4383-87e3-91d4d39197c2, 93, 13694, No update data, 9g3qx8brvjsf
Bird, MEX, b80aaae5-94e7-4592-b87c-8780eb718089, 75, 10688, No update data, 9g3qrrwysmb0
Bird, MEX, 10d1ce59-d4b5-4257-8c3b-a1030d1e62ff, 46, 5845, No update data, 9g3qx20hms0v
Bird, MEX, 6decf21c-bc58-4f07-82b6-2673eaecbcc8, 51, 6680, No update data, 9g3qx8brxjhn
Bird, MEX, a83e31e1-4970-4fa9-b4d2-0720a5ed4d7f, 92, 13527, No update data, 9g3qx3e5yyvg
Bird, MEX, 786abcfe-46b9-4225-a741-6d73bc9fc925, 91, 13360, No update data, 9g3qx3ehp3xh
Bird, MEX, 5b5e1827-50ba-4c7a-b925-00f5ec0d0744, 64, 8851, No update data, 9g3qrrzvhjgn
Bird, MEX, ea3548e2-6864-4b09-b247-4b1d19a1890f, 94, 13114, No update data, 9g3qx8bxbs8u
Bird, MEX, eba31f36-07a3-4ec8-a5dd-be1cd6ac7cc1, 46, 5530, No update data, 9g3qrre0ytpx
Bird, MEX, e9041c55-aa4a-423f-a642-3a56b81f061c, 46, 5845, No update data, 9g3qrr9txjgb
Bird, MEX, ba3c36a0-2733-4cac-bf52-72101d2fd26f, 81, 11690, No update data, 9g3qrr9trqzn
Bird, MEX, 91d56900-35c3-4b0f-939e-d4fa50f61037, 85, 12358, No update data, 9g3qx8bxddmk
Bird, MEX, efcf24a2-9996-4559-842b-c8cd6d076d8f, 24, 2171, No update data, 9g3qx9081bqu
Bird, MEX, 2cf4cc7f-3299-42fd-9a93-f462c51a37c9, 88, 12859, No update data, 9g3qx8bxg4b3
Bird, MEX, 23eab94a-aec0-422c-873d-6874163cf9b7, 46, 5845, No update data, 9g3qx8bxkj55
Bird, MEX, ddbc845b-fdf8-44fe-9901-5b395771b7b9, 90, 13193, No update data, 9g3qx908hj75
Bird, MEX, fc08fe99-92e0-4523-bdc6-e8293afa3850, 19, 1336, No update data, 9g3qx908kdek
Bird, MEX, fe1875d4-96f9-40c9-bf94-f709bc436c9c, 45, 5678, No update data, 9g3qx908s9g2
Bird, MEX, 416d6abf-ad46-4369-995e-d4a91cf646e8, 51, 6320, No update data, 9g3qx8bxyp1k
Bird, MEX, 436f7305-3e18-4261-b57f-fd77d6901b7d, 44, 5214, No update data, 9g3qx32g7uhy
Bird, MEX, b498efa9-e1b3-4e5d-b25d-6f9fae0ff3f2, 88, 12166, No update data, 9g3qx89p1kmt
Bird, MEX, 7716661d-02ec-4ae1-8f3b-669821df9093, 51, 6680, No update data, 9g3qx908z44v
Bird, MEX, ef4f7d1d-dee0-4495-aebe-55222feb35c5, 85, 11692, No update data, 9g3qrrkmytfe
Bird, MEX, 98d0806b-e079-4a0a-a9c1-4c9f69b8f6be, 63, 8684, No update data, 9g3qx90b3mmt
Bird, MEX, d5cfb9a4-3675-40e4-999a-2c08cb8f23fd, 69, 9164, No update data, 9g3qrr9enbby
Bird, MEX, b55458eb-87bb-44bd-9d2b-2b7d14aa06ff, 81, 11690, No update data, 9g3qx90bgh8k
Bird, MEX, 40ed3990-1e9c-4eb1-b282-59ccf1cf435a, 46, 5845, No update data, 9g3qx90beyjh
Bird, MEX, 630b6532-d033-4351-8f31-489d98a096cd, 55, 7348, No update data, 9g3qx90bgct1
Bird, MEX, cb40c718-e0c4-4168-afc9-7f333dc7e1ed, 47, 6012, No update data, 9g3qrr97r4gu
Bird, MEX, 7dcae05c-57ee-4587-95a8-cc788984cb61, 79, 10744, No update data, 9g3qx3u274wt
Bird, MEX, e8e476fe-49de-48ca-b318-602fdacb270e, 53, 6636, No update data, 9g3qx390rp7c
Bird, MEX, cf6f2302-70ca-448e-bb96-487c9de52865, 40, 4843, No update data, 9g3qx8c5nezc
Bird, MEX, 022770ae-632c-4fb6-9405-12d3167b5b0b, 83, 12024, No update data, 9g3qx90cw9rz
Bird, MEX, c3c14471-824a-455a-a662-b88719af3bd0, 76, 10270, No update data, 9g3qx90cwsdf
Bird, MEX, 555150d1-96e8-49a7-b12f-9771a82641da, 75, 10688, No update data, 9g3qx90cwsxf
Bird, MEX, 0cea28f5-7ebb-4016-bf25-a883a08d2158, 58, 7849, No update data, 9g3qrr7srkph
Bird, MEX, 301fdafb-9156-4f03-a87b-d3b71699631d, 80, 10902, No update data, 9g3qrr7srds4
Bird, MEX, 0897457f-20df-4e3f-a974-55ebe46a1a1a, 37, 4342, No update data, 9g3qx8chpp4y
Bird, MEX, fdc52935-a7e8-4a66-ad09-f1d233075ba4, 78, 11189, No update data, 9g3qx91121tw
Bird, MEX, 310ad17e-0864-41bb-bd64-10f8ba2f9529, 53, 7014, No update data, 9g3qx90fntfz
Bird, MEX, 0e072fb4-261a-4445-af94-4a084fb2473b, 84, 12191, No update data, 9g3qx3g0429y
Bird, MEX, 3e030acc-8f3d-4168-aafd-9bdce64a85d8, 85, 12358, No update data, 9g3qx90czqpq
Bird, MEX, d444da05-24ab-400d-9fd9-3c7e35e92ec6, 74, 10521, No update data, 9g3qx92h7tcb
Bird, MEX, 778f752c-65ea-4b0c-bf86-3f68b3b9a638, 85, 12358, No update data, 9g3qx9118wrn
Bird, MEX, 3865d5cb-dc80-4857-9562-22cc2db05d30, 63, 8684, No update data, 9g3qx8c71y28
Bird, MEX, 7c9ef689-b5a7-45c6-84da-820e579a0d2e, 88, 12859, No update data, 9g3qx91408xn
Bird, MEX, 5927a50c-aabf-44a1-8433-8eb80c6d0b65, 67, 8848, No update data, 9g3qx8c6dzem
Bird, MEX, e8285d41-3f5b-4910-a11e-d62040b8b218, 71, 9480, No update data, 9g3qx0rp5bst
Bird, MEX, ba08b0ac-b5e2-4ca1-b1fc-dbd068adaa8b, 100, 14062, No update data, 9g3qrr994sj4
Bird, MEX, 32e222b0-acd1-4cef-b59c-af0238d4195d, 72, 9638, No update data, 9g3qrrm59pfn
Bird, MEX, beb97eb3-8b97-4d75-8a71-27c7a351191c, 100, 14863, No update data, 9g3qrr991und
Bird, MEX, 7efa313b-b2d4-428e-9c13-9a6b08b5e3d7, 100, 14863, No update data, 9g3qrr98ftjp
Bird, MEX, 8a9264b0-56cc-4ab4-84c8-3c17203abf7d, 51, 6320, No update data, 9g3qx92jj0sy
Bird, MEX, 4cfc2cb2-af42-4df3-81a8-4e84647aec0a, 73, 10354, No update data, 9g3qx9145j27
Bird, MEX, 33c2d799-fa8c-4108-a031-5aba530e3786, 88, 12859, No update data, 9g3qx92jj3du
Bird, MEX, f25a9cfb-cb0b-4e67-8f02-ae26d3f35579, 91, 13360, No update data, 9g3qx91454ye
Bird, MEX, 19febfba-3469-48dd-a75f-f1fb64ec34b9, 70, 9853, No update data, 9g3qx92jj3pb
Bird, MEX, 45eecc90-326d-4000-b14a-f995400c5d2b, 28, 2839, No update data, 9g3qrxb0rrch
Bird, MEX, 997e7973-5a29-4db6-ac84-68aa930a99f9, 74, 10521, No update data, 9g3qx9145ft1
Bird, MEX, a96f6f78-c63e-4574-beed-4e618ea75ed8, 87, 12692, No update data, 9g3qx914hj77
Bird, MEX, c5fb4b9d-0cf3-4dd5-9a29-44dfff0a12e7, 57, 7268, No update data, 9g3qx833mzgh
Bird, MEX, c6223c71-f925-4904-920a-d205cdff2a6d, 75, 10688, No update data, 9g3qrxb20key
Bird, MEX, ff21006b-8547-4524-ac33-65db37873889, 90, 13193, No update data, 9g3qrx8pzu69
