Bird, MEX, 8bdbd0e2-0f7c-4f0f-b230-1c1a0d92e30a, 47, 6012, No update data, 9g3qrqc9en01
Bird, MEX, 20bf3262-c125-4422-9371-de78ac855393, 42, 4898, No update data, 9g3qrqzuw3ks
Bird, MEX, ff08c337-9388-4dfb-8432-ae067fe973a9, 65, 8532, No update data, 9g3qrqc4srw5
Bird, MEX, 44d5b4fc-2015-4715-b4dc-5c8ac9d4d9e5, 82, 11218, No update data, 9g3qx0hqs3c0
Bird, MEX, 39aaf8f7-f15e-4424-94a9-92ea0f38ed04, 69, 9164, No update data, 9g3qx0hqdtkz
Bird, MEX, 5f794cdb-0ecc-4c78-bdf1-3db4019777c1, 72, 9638, No update data, 9g3qrqzupbx7
Bird, MEX, 556034ac-99ff-4b96-af52-274066e38b71, 37, 4342, No update data, 9g3qx0h2hmcn
Bird, MEX, e859a633-41fe-4c9c-ba0d-82a48343374a, 100, 14062, No update data, 9g3qx8s9gjwf
Bird, MEX, 72fc95ec-26be-44ab-93ff-d6376eaa50dd, 44, 5511, No update data, 9g3qx9hm881p
Bird, MEX, 37e7f309-bfd3-44ac-97b4-16ed8b455d2e, 78, 11189, No update data, 9g3qx9g0bqdc
Bird, MEX, afa8c2d3-670e-4802-bb16-b179c54e35fa, 91, 12640, No update data, 9g3qrwcnsc1d
Bird, MEX, f5faf0a5-07c1-4618-98f1-48fdfa0d7c9c, 88, 12166, No update data, 9g3qrwcnkher
Bird, MEX, 160d93d4-0248-44fa-8c0d-8cec26dd5732, 82, 11857, No update data, 9g3qrwcn42r4
Bird, MEX, d8baed10-c794-4ad8-810d-0f52e237c43a, 98, 13746, No update data, 9g3qrwcjc1pm
Bird, MEX, ab246f26-5f73-4dc9-8f18-42c839e243a2, 78, 11189, No update data, 9g3qrwcj93ms
Bird, MEX, 6115e0fb-04e5-4977-9aaf-8a350785aa39, 90, 13193, No update data, 9g3qrwcj2srj
Bird, MEX, 05e1e739-2621-441b-962b-677608860b68, 90, 13193, No update data, 9g3qrwcj9fnb
Bird, MEX, cee02067-ee01-4d59-9e09-77c9a2f4b228, 56, 7515, No update data, 9g3qrpne85vk
Bird, MEX, 509aa737-7b98-42f4-bfb0-67b06ce84923, 97, 14362, No update data, 9g3qrnzpnv8e
Bird, MEX, 6401258a-7be3-42f6-86ab-0ce24a6d94f7, 49, 6346, No update data, 9g3qrx1fqqut
Bird, MEX, 3a8fd4fc-3575-4480-8230-d2a94bc9f98a, 76, 10855, No update data, 9g3qx8su48tm
Bird, MEX, f078b50a-da9b-4d68-abf5-547d814f2555, 46, 5530, No update data, 9g3qrwcqs5gk
Bird, MEX, 21e2366b-4780-4811-abb2-65ca93ab240a, 78, 10586, No update data, 9g3qrqs3cees
Bird, MEX, 3dbaf6b2-6745-40ae-b412-17f9061af109, 39, 4424, No update data, 9g3qrx75ygq5
Bird, MEX, e46ba5c0-a820-4399-95b4-88b45baf5760, 83, 12024, No update data, 9g3qrxu30nvg
Bird, MEX, dec5e1aa-115e-4647-bcc2-2a1af2c3a924, 62, 8058, No update data, 9g3qrx75xz6d
Bird, MEX, ac81f291-d776-4565-8cb7-d063d1926edc, 91, 13360, No update data, 9g3qrx77wzq4
Bird, MEX, 230144db-cd18-492b-b0fa-61d76dc91f64, 89, 13026, No update data, 9g3qrx77z7zr
Bird, MEX, 73bcc951-760e-43f8-b0e2-63cdc2485376, 92, 12798, No update data, 9g3qrqkpy9rw
Bird, MEX, c21c34c1-2b6b-4aea-b8a6-9d799d99af38, 62, 8517, No update data, 9g3qrq979m8r
Bird, MEX, 35c99ecd-6a8c-4aad-bd24-63c438269baf, 48, 5846, No update data, 9g3qrx77rvpd
Bird, MEX, 37a54d09-d18e-4531-849f-0be029544172, 61, 7900, No update data, 9g3qx8m0dgee
Bird, MEX, 1ef274d4-8a36-4fac-ba02-17bb35defcbd, 48, 5846, No update data, 9g3qx9fyxyf8
Bird, MEX, 890d4dac-c1da-489d-b3a9-6961756c31f2, 63, 8684, No update data, 9g3qrnxzz0gg
Bird, MEX, ff253764-0512-44ba-84eb-299d2b6d5486, 83, 11376, No update data, 9g3qrq8u75uh
Bird, MEX, 4cb9a1e3-b7ef-43ff-99da-2d49006788ee, 54, 7181, No update data, 9g3qrqw07spg
