Bird, MEX, 3f30d8c9-69b7-478c-a540-a10464cfbe1e, 83, 11376, No update data, 9g3qx3p8kzzv
Bird, MEX, a02efcf0-fc53-4f4d-8aa5-5c1ee4ec80cc, 91, 13360, No update data, 9g3qx20gz0gu
Bird, MEX, 50b8ba47-732f-4d7a-bf7c-369e636aa2e0, 49, 6004, No update data, 9g3qx22e3dgm
Bird, MEX, 88e977d2-d2c5-4e77-a02a-483bbde956ce, 72, 9638, No update data, 9g3qx2zz2qev
Bird, MEX, b0d54c9f-a0e5-4398-a900-7abbd4021438, 49, 6346, No update data, 9g3qx2zykhg1
Bird, MEX, 29c8c95c-0b4e-4798-9860-ec0efff74898, 61, 7900, No update data, 9g3qx2zyud5m
Bird, MEX, 6decf21c-bc58-4f07-82b6-2673eaecbcc8, 55, 7348, No update data, 9g3qx2zyw0c7
Bird, MEX, c18697e4-4798-4c2e-9bd4-a884ebeb7e16, 45, 5678, No update data, 9g3qx2b2s0ff
Bird, MEX, dbca5134-e66f-4f59-b6f3-213f913abdb9, 49, 6004, No update data, 9g3qx2b2ujxf
Bird, MEX, ed962f08-bce0-4e03-9c47-70a44760abce, 75, 10688, No update data, 9g3qrrdr6gg6
Bird, MEX, 9b1d4da5-4c91-474e-93fc-3f2b0a569e63, 84, 11534, No update data, 9g3qx3e3n134
Bird, MEX, 4b226b8c-e3d4-41d1-aa03-55e681d91cd3, 87, 12692, No update data, 9g3qx2807h2p
Bird, MEX, b312c637-36e3-4eb8-b9aa-31ce85e701e5, 72, 10187, No update data, 9g3qrrdszp7v
Bird, MEX, 359cc237-d2cc-4172-8088-5cafbb3c2fe1, 74, 9954, No update data, 9g3qx3dbyhp3
Bird, MEX, 41841e98-dd02-4244-9a70-f5c0a2dc348b, 88, 12166, No update data, 9g3qx20kwks3
Bird, MEX, ff233ac6-b243-4478-81a4-8686f1be7783, 47, 6012, No update data, 9g3qx31pgkst
Bird, MEX, d99eb566-7e3a-4f27-afe2-b8843c4b6835, 30, 3173, No update data, 9g3qrrbywhc5
Bird, MEX, 257d0a26-c5c8-48a9-b6b2-2bb0e66d56a8, 60, 8183, No update data, 9g3qrrzzb0m8
Bird, MEX, 1f40a2ca-af10-433f-8b3e-f41958fc290d, 74, 9954, No update data, 9g3qx20kn969
Bird, MEX, 521093e4-dc2d-40c1-b7ff-18f12d909e25, 74, 10521, No update data, 9g3qx20kmfuj
Bird, MEX, 129ed5f7-a076-4cbd-b907-980c2ddfca2d, 48, 5846, No update data, 9g3qx3tbew3y
Bird, MEX, 50709b8a-8d1c-4f94-be44-47190d5b10c0, 78, 11189, No update data, 9g3qx8bm57g9
Bird, MEX, 86873c1a-6f02-49a3-a037-703874bd466b, 49, 6004, No update data, 9g3qrrdne425
Bird, MEX, 84fa1fe7-5bed-4b58-85e8-897024785305, 81, 11060, No update data, 9g3qx20keect
Bird, MEX, 6a306aa7-5d9f-43b5-8b9f-3919d88d8838, 91, 13360, No update data, 9g3qx20kfc5n
Bird, MEX, 146d8f27-cbaa-4994-b6a1-ed8b3cf6f0fe, 80, 11523, No update data, 9g3qrrzycxex
Bird, MEX, 07531c9c-ab52-428c-8513-1eb1df633584, 81, 11690, No update data, 9g3qx88wk70p
Bird, MEX, 0598c619-cf04-4160-9000-98912961cb11, 45, 5678, No update data, 9g3qx2bpp38g
Bird, MEX, 582d3976-c8ff-4b46-a270-f5d77371a850, 25, 2338, No update data, 9g3qrrbxv82b
Bird, MEX, c4fcdaf3-d59f-467f-abb0-b191b2356f8f, 40, 4582, No update data, 9g3qrrz1t9wp
Bird, MEX, a96f6f78-c63e-4574-beed-4e618ea75ed8, 91, 13360, No update data, 9g3qx206w1c0
Bird, MEX, 7c0181d9-d157-4ceb-aea4-1e7064cc426e, 90, 13193, No update data, 9g3qx20kc4f0
Bird, MEX, 39a959c4-225f-4f51-9388-3851f92703fd, 91, 13360, No update data, 9g3qx20m077w
Bird, MEX, 568e6c03-cbc9-4fa5-9310-ff0afcbe0adf, 83, 11376, No update data, 9g3qx3022z7c
Bird, MEX, aaede11e-3a41-45d8-aed3-f2f3ab4932fa, 87, 12008, No update data, 9g3qx3022zgv
Bird, MEX, a3d0e264-8279-4f80-aa56-0a04927f385b, 100, 14062, No update data, 9g3qrre98g7c
Bird, MEX, aae6452b-f630-47a5-891d-e52f1b56ec78, 88, 12859, No update data, 9g3qx203y7h6
Bird, MEX, e10b01c6-35f1-4a26-ae78-004f3c3c7e5f, 49, 6004, No update data, 9g3qrrc3bd2w
Bird, MEX, 81dd056b-72b2-4081-8ba0-4f6d752c0645, 87, 12692, No update data, 9g3qx203nu2s
