Bird, MEX, abffb9c7-996d-400b-ab28-77cc60b5ec12, 89, 12324, No update data, 9g3qrrygv7fz
Bird, MEX, 28668665-c132-456b-a7b7-b111b2861163, 39, 4676, No update data, 9g3qx8bj8hvs
Bird, MEX, f8a898b7-d42d-4080-ab2a-4476cfb2bfcd, 90, 13193, No update data, 9g3qx2b2eyhg
Bird, MEX, 8d195512-d172-45e7-b573-c85ea29c51e7, 99, 14696, No update data, 9g3qx2zzux5k
Bird, MEX, 154ee58c-8457-4ba1-a702-a0d75ea6c71d, 99, 14696, No update data, 9g3qx3pbg0we
Bird, MEX, fbdde7da-b0e7-46f1-b432-c1c214bb3231, 80, 11523, No update data, 9g3qx2b356ue
Bird, MEX, f045452a-a846-49ff-944d-c58a8394eac6, 87, 12692, No update data, 9g3qx20w96mh
Bird, MEX, f7ee63b0-66db-4e34-a9d9-00f1b38b1ef8, 92, 13527, No update data, 9g3qx20wb3gd
Bird, MEX, 8cba6cde-a83a-4e8a-a76e-ac875b990d63, 88, 12859, No update data, 9g3qx20w8w0e
Bird, MEX, 2038178e-884b-4374-a472-add4acadc045, 74, 9954, No update data, 9g3qx3pck68h
Bird, MEX, 95e0440a-64aa-496d-9f01-f7f57d8daf4e, 88, 12859, No update data, 9g3qx20qzvd3
Bird, MEX, 018e6980-c8c1-44d0-bcc7-60ed1c53c034, 17, 1002, No update data, 9g3qx8bp8ckn
Bird, MEX, 3ef88f04-2898-49e8-a343-4f19b1eec945, 97, 14362, No update data, 9g3qx3pbxph1
Bird, MEX, 7c2d144c-de61-4c6e-92d4-8067f90eb914, 80, 11523, No update data, 9g3qx8bnkh5j
Bird, MEX, cd467842-2ef6-4ce7-bc8e-d333b4562dad, 53, 7014, No update data, 9g3qx8bngq5w
Bird, MEX, c692401e-ff10-44ff-a15b-7d1f2d4c041b, 48, 5846, No update data, 9g3qx8bnkqbp
Bird, MEX, 5146dac5-6249-4068-8883-edb44b96c9a5, 76, 10855, No update data, 9g3qrrs6v6xz
Bird, MEX, 2303ab26-f440-49dc-a54b-902756fb142e, 83, 11376, No update data, 9g3qx20edk1z
Bird, MEX, 53239a68-389d-42f8-ad28-fa6af312c06d, 96, 13430, No update data, 9g3qx20mqb2t
Bird, MEX, 0bdc43b7-37db-4e7c-bcc3-fabad5644047, 26, 2505, No update data, 9g3qx20ecm83
Bird, MEX, 05d2960b-1390-461f-909e-9298e3d17aae, 30, 3173, No update data, 9g3qx20kxss1
Bird, MEX, c7c9c180-b70a-46d8-92bc-9457e20c2a07, 92, 13527, No update data, 9g3qx20s2j2s
Bird, MEX, 793a68be-7e00-430b-89c4-11730388f68f, 93, 12956, No update data, 9g3qx20ky6u2
Bird, MEX, 3616d549-9b9b-47b7-8cc9-d15c879e19b3, 96, 14195, No update data, 9g3qx20kwcjs
Bird, MEX, 9e09f84e-8e8b-44fc-8f66-70f2af59dedd, 66, 8690, No update data, 9g3qx28p6shv
Bird, MEX, 3fd55636-97fc-4e6a-9613-821f2dc94cd4, 72, 9638, No update data, 9g3qx3e6kuzd
Bird, MEX, 9d592ade-a37b-401c-9171-cb48d4cb6c9c, 72, 10187, No update data, 9g3qx3r814z5
Bird, MEX, 4fb452cf-95e7-40c1-a3eb-d0d2076ef381, 91, 13360, No update data, 9g3qx20kgjb5
Bird, MEX, 4648b65d-a399-4a54-b06d-fedd051d440d, 91, 13360, No update data, 9g3qx20m4921
Bird, MEX, 6ef0cf46-959d-48be-8caf-7d2b48fbc319, 64, 8851, No update data, 9g3qx3d20n29
Bird, MEX, 0de30390-2a08-4d45-8de7-7031e23a88eb, 92, 13527, No update data, 9g3qx203rpef
Bird, MEX, fdf46c44-51b8-449d-8d15-3fdbb6eecbd3, 96, 13430, No update data, 9g3qx208bk79
Bird, MEX, e42a1443-5975-4735-940a-c73491edc3ad, 87, 12692, No update data, 9g3qx2088r7d
Bird, MEX, c26f0539-6bba-417a-99a6-e2ebdbecbf99, 91, 13360, No update data, 9g3qx2088ke9
Bird, MEX, 817ec3eb-bc89-4e90-b7ab-aea8550b93ea, 88, 12166, No update data, 9g3qx32cnyte
Bird, MEX, e55c5dda-1fc7-438f-8418-3b156d39c78a, 74, 10521, No update data, 9g3qx202xq2v
Bird, MEX, 28783902-2f4a-4e22-acb1-a03e54c907e5, 89, 13026, No update data, 9g3qx202x7bv
Bird, MEX, 97f75477-eeb6-4119-b8c6-cc56fdeb60a3, 83, 11376, No update data, 9g3qrrc4cuq9
Bird, MEX, 11fac914-7ab6-4d5c-ac39-b6037963dc12, 92, 13527, No update data, 9g3qrrwyeg21
Bird, MEX, c2a114eb-d94d-4e2c-99ef-c1d97bca1b41, 90, 13193, No update data, 9g3qx202q015
Bird, MEX, 511f5f15-ec98-4c5b-894f-b296d674bd27, 72, 9638, No update data, 9g3qx3pyytxd
Bird, MEX, 02462fc6-5969-470d-b3b0-22f2becf8938, 93, 12956, No update data, 9g3qx3ehp1k4
Bird, MEX, 58f45bdc-8e22-4aae-97ba-30ff2ffc74a3, 47, 5688, No update data, 9g3qx80x7c25
Bird, MEX, 6f3742bc-3afd-472c-a60a-4141cb88f2f8, 97, 14362, No update data, 9g3qx3ehntre
Bird, MEX, 677b1986-4e0c-4208-b4ff-25869f3c362b, 78, 11189, No update data, 9g3qx80x5bj1
Bird, MEX, efd48a79-c49f-4e7c-9cba-d2ce7b2eae94, 51, 6680, No update data, 9g3qrrc0tdjc
Bird, MEX, d340d411-b092-43b4-8e3b-2e0a3682f2c2, 38, 4509, No update data, 9g3qx8bxs5gn
Bird, MEX, c479096a-dfb9-4374-b9c8-e1d4007bf053, 58, 7849, No update data, 9g3qx0zdshrb
Bird, MEX, 4a7f791c-0f87-4b50-8368-39bca7b72d84, 60, 8183, No update data, 9g3qx80d575s
Bird, MEX, 07ebbed8-7a8f-40c0-97a9-7fa18ba0e3a4, 74, 10521, No update data, 9g3qrrbkgeru
Bird, MEX, 81c77a5a-0f5c-48ce-a0c6-eb963e39f6b7, 64, 8851, No update data, 9g3qx90dw8pz
Bird, MEX, 1238f8ef-6128-4980-87d0-24367a84886e, 51, 6320, No update data, 9g3qrrw9ufxz
Bird, MEX, 5abed53f-42b8-472d-ba12-f03a4ffbef6f, 60, 8183, No update data, 9g3qx90f6ggk
Bird, MEX, 269cbb70-879f-43cd-8b8c-c3e2c48e2814, 74, 10521, No update data, 9g3qx922hy9e
Bird, MEX, d920e132-48df-4b91-bd57-9e613a20e995, 92, 13527, No update data, 9g3qx3x4hvrg
Bird, MEX, 4446693f-2397-4602-9e41-12a0524764f1, 89, 13026, No update data, 9g3qrr6wjcuh
Bird, MEX, ae646d82-5b06-43cc-bb29-b56c5edb0799, 98, 13746, No update data, 9g3qrr6wj3zu
Bird, MEX, 4a9bc086-f67a-4b02-85b3-1709215d8d1b, 46, 5845, No update data, 9g3qx3epbgez
Bird, MEX, 55db7436-5f4c-44e1-a64c-0f9922d54b76, 57, 7268, No update data, 9g3qrr7g8p2d
Bird, MEX, bf91f197-4e6b-47ad-bf1a-8111754725f6, 60, 8183, No update data, 9g3qx3x6527s
Bird, MEX, 60c11868-0dc1-493c-8e0c-538081eb4184, 87, 12008, No update data, 9g3qrpzycbys
Bird, MEX, 408ec4ef-e333-458c-a83d-51e90914bebf, 100, 14062, No update data, 9g3qrr98gwrz
Bird, MEX, 455ac0a8-2bc9-4c5d-aa17-f29889085d08, 94, 13861, No update data, 9g3qx92htp95
Bird, MEX, b394db72-5ad6-439d-b1b7-b5c83fba87d6, 100, 14863, No update data, 9g3qrr9919gk
Bird, MEX, 20e7295e-8b68-4b15-8fc9-5302d90f52d1, 90, 13193, No update data, 9g3qrrms0e0u
Bird, MEX, ca42c25e-84c7-42cd-9893-7ce09644b14b, 93, 13694, No update data, 9g3qrrmebpjd
Bird, MEX, 045605d6-92b1-434f-a6b0-09e19313ca7b, 89, 13026, No update data, 9g3qx0p7mw8u
Bird, MEX, f7b2f5ce-eee6-4ebf-95fa-65c610118f3a, 60, 7742, No update data, 9g3qx0rp9p41
Bird, MEX, c96ac753-9e09-4de9-9488-2d79102bdc97, 60, 8183, No update data, 9g3qrrx65usv
Bird, MEX, fb450ec4-b14a-41e9-b3f8-0ef4679f070a, 96, 13430, No update data, 9g3qrx8pz5up
Bird, MEX, 8ec2068c-bc98-482c-b5fb-105085b934f1, 96, 14195, No update data, 9g3qrx8pmy74
Bird, MEX, 3c3d77b7-6300-4109-a8dc-a0535b985c6b, 97, 14362, No update data, 9g3qrx8pqpxd
Bird, MEX, ba5ca64c-f8df-422b-a597-cb5051144a70, 92, 13527, No update data, 9g3qrx8px5k1
Bird, MEX, 31e56a5d-4175-454e-af22-7bbc0f8340f7, 97, 14362, No update data, 9g3qrx8pxvf8
