Bird, MEX, 39a959c4-225f-4f51-9388-3851f92703fd, 100, 14863, No update data, 9g3qx21hrrbu
Bird, MEX, 2e1ac500-e4b8-470c-9065-1f152038be2c, 85, 11692, No update data, 9g3qx2zskknm
Bird, MEX, c94ef371-15a1-4e5c-8aca-ff77c3951907, 99, 14696, No update data, 9g3qx21hwede
Bird, MEX, 1ccedbad-8286-4690-8a8a-d7f0c651583e, 100, 14863, No update data, 9g3qx217bnb9
Bird, MEX, 50af0392-0199-42ed-8d07-16e9a66d4d8f, 58, 7426, No update data, 9g3qrrfj4825
Bird, MEX, 8503c02f-45fd-4e79-8484-13c2a81e0f8c, 87, 12008, No update data, 9g3qx2zey11r
Bird, MEX, 7beff964-6325-4b2b-8a5b-83dccdddfc36, 100, 14863, No update data, 9g3qx215zmpp
Bird, MEX, f508e66d-1d30-4da5-8a2a-e5977729c4f3, 100, 14863, No update data, 9g3qx215zr2v
Bird, MEX, f63c3a17-2c22-4183-a7a7-ca571f3cb2c8, 71, 9480, No update data, 9g3qx2zsjxnn
Bird, MEX, 6448304e-c68b-4c4d-8df0-17395425b938, 100, 14863, No update data, 9g3qx21hkzck
Bird, MEX, 90b4f26d-97a2-497b-8244-1fb9f1ea8687, 40, 4843, No update data, 9g3qx2bf35f5
Bird, MEX, ef939bca-1443-409b-9f00-02c9ae789515, 54, 6794, No update data, 9g3qrrfh5hqk
Bird, MEX, 2cff7cc7-02e4-4d80-b93b-6a67bececbd6, 69, 9686, No update data, 9g3qx31t9n4h
Bird, MEX, e985c43e-54ba-4b55-865a-775022f12231, 88, 12859, No update data, 9g3qx2b2v1s9
Bird, MEX, 60dbef3f-c295-4006-ad45-21285bc70999, 69, 9164, No update data, 9g3qx2b2dw05
Bird, MEX, dcfdfce1-933b-420a-9a24-1dd30f58bda8, 97, 14362, No update data, 9g3qx8bnk7q2
Bird, MEX, 2303ab26-f440-49dc-a54b-902756fb142e, 89, 12324, No update data, 9g3qx20s4nuu
