Lime, ATL, SAN, high, 20760, 2019-08-13T00:37:19.000Z, dn5bpufr34mt
Bird, MEX, 72f06b9f-866d-4f91-ab4f-fbcf30e96930, 42, 4898, No update data, 9g3qx23d7dxg
Bird, MEX, f2a77fec-f13f-4714-91c3-8b83edf00e55, 56, 7110, No update data, 9g3qx239ukn0
Bird, MEX, 1be1df4a-da00-4da9-b129-a01fadab33e0, 85, 12358, No update data, 9g3qx2yuhe5m
Bird, MEX, 52eae0a5-4b44-46ce-abc0-a630dbb9ecce, 48, 6179, No update data, 9g3qx2qcjvgn
Bird, MEX, 4caf17b2-5dfe-4e34-8ecc-03927add5088, 88, 12859, No update data, 9g3qx2yv7t9z
Bird, MEX, 1ba2076a-c5ee-4b15-8423-b3a3a18e9287, 97, 13588, No update data, 9g3qx238ku3r
Bird, MEX, 8503c02f-45fd-4e79-8484-13c2a81e0f8c, 81, 11060, No update data, 9g3qx2z4ct78
Bird, MEX, c893effe-00ee-4387-8b1e-6a70390f84db, 85, 11692, No update data, 9g3qx21xv8tf
Bird, MEX, a0336dc2-b55c-4bc7-b374-bca41585f67c, 89, 13026, No update data, 9g3qx2yvkupv
Bird, MEX, 2e1ac500-e4b8-470c-9065-1f152038be2c, 80, 10902, No update data, 9g3qx2z51t59
Bird, MEX, 3920bda7-b0f7-4ee7-ad10-1b8c92d03dea, 73, 10354, No update data, 9g3qx21xtrfz
Bird, MEX, f63c3a17-2c22-4183-a7a7-ca571f3cb2c8, 65, 8532, No update data, 9g3qx2z5680h
Bird, MEX, b3c0b887-3039-41af-90d0-4625064ae431, 83, 11376, No update data, 9g3qx2386fe7
Bird, MEX, 2a5325db-3946-4d15-ac61-26abefd8c45e, 47, 6012, No update data, 9g3qx2yz37vk
Bird, MEX, bc03ac2e-02f6-4459-ae14-cd8f0f24e3de, 40, 4582, No update data, 9g3qx2ct7d3d
Bird, MEX, e697081f-a2a0-4f84-be17-971cd9c4372b, 91, 13360, No update data, 9g3qx2yz7hb3
Bird, MEX, 4655d752-04a9-4028-962c-0beb1f5455f6, 85, 11692, No update data, 9g3qx233wd4d
Bird, MEX, 7c0181d9-d157-4ceb-aea4-1e7064cc426e, 80, 11523, No update data, 9g3qx2yyncvv
Bird, MEX, 6f8130ff-0110-410a-a838-ad21ad88e88a, 93, 12956, No update data, 9g3qx21wfe04
Bird, MEX, d80dd3a9-e8bc-4c1e-ab47-0b0ab0006477, 39, 4424, No update data, 9g3qx3nm9p44
Bird, MEX, 256bc330-0080-4f09-a607-3a84f44f99bf, 84, 11534, No update data, 9g3qx2913b0k
Bird, MEX, b2e3c829-5ace-41a0-a656-23f18e4fb866, 76, 10855, No update data, 9g3qx2z3sgcw
Bird, MEX, 7c163c5f-0b43-46be-a25d-8256872a99ca, 88, 12859, No update data, 9g3qx2znu7n7
Bird, MEX, 9967c7f3-5080-4c77-95fe-adf404dc8135, 49, 6346, No update data, 9g3qx34h2kgd
Bird, MEX, 62d22fd8-7a6b-4028-b99c-f79ab4379a91, 54, 7181, No update data, 9g3qx235gkuw
Bird, MEX, 5178e968-65a5-4deb-bb0e-021de508cfff, 99, 13904, No update data, 9g3qx2zps724
Bird, MEX, 40dc89b0-44d3-4c07-878c-3962e0a4cdab, 74, 10521, No update data, 9g3qx2z3xkx6
Bird, MEX, 62edfae9-c344-4128-87bc-b3b0b744f33e, 83, 11376, No update data, 9g3qx234knxu
Bird, MEX, b653854b-733e-4c4c-8e76-3b570ba90c22, 63, 8684, No update data, 9g3qx2zpsb1x
Bird, MEX, 2deda658-907a-4f15-ac75-31743fe2f233, 89, 13026, No update data, 9g3qx21mt9ju
Bird, MEX, 27ba807e-71ba-4ede-b0a7-13f6e14e7c06, 69, 9164, No update data, 9g3qx230r3zp
Bird, MEX, 82dcd49c-65e1-4665-9b35-302cd6e6627b, 70, 9853, No update data, 9g3qx230r6bv
Bird, MEX, a688f574-3cc8-4a1c-b2d2-a0dd24f18974, 83, 11376, No update data, 9g3qx3nez6z3
Bird, MEX, f9986136-ce6b-4970-bc6c-b25979a8dcf5, 84, 11534, No update data, 9g3qx28fw11h
Bird, MEX, 66fb0ca9-d980-4b02-8fa0-66d9ae0031fb, 83, 11376, No update data, 9g3qx21mnjr6
Bird, MEX, 39a959c4-225f-4f51-9388-3851f92703fd, 90, 13193, No update data, 9g3qx21msu1r
Bird, MEX, 73746486-98eb-4052-ba41-d52b9ede2521, 58, 7426, No update data, 9g3qx230w6h6
Bird, MEX, 031016b4-d140-43d1-b68d-dcdb3a7b11a0, 65, 8532, No update data, 9g3qx2zm6smp
Bird, MEX, dab09651-3f72-457f-a8eb-c6c7d2914af3, 53, 7014, No update data, 9g3qx28ctstc
Bird, MEX, 9faddf4c-a5cd-47d4-9766-7ed40affa7c3, 92, 13527, No update data, 9g3qx230vqz9
Bird, MEX, d35a9576-a35c-4a51-8b1b-caa587f5263e, 89, 13026, No update data, 9g3qx230v3db
Bird, MEX, 4a21459e-4651-4cb8-abac-ca0444649bb6, 73, 9796, No update data, 9g3qx230mxmb
Bird, MEX, f216f991-9be2-4743-987b-7c1ac14f9352, 80, 10902, No update data, 9g3qx230t2zd
Bird, MEX, 5b07c2c0-a805-445d-b168-01ac8898e484, 88, 12859, No update data, 9g3qx230n4x3
Bird, MEX, 1cfeb5da-f808-48fd-a090-adf05270c377, 91, 13360, No update data, 9g3qx230n53n
Bird, MEX, ca264705-8a9b-461c-be40-6b979e038e06, 58, 7426, No update data, 9g3qx2zpz31p
Bird, MEX, 44bc8cfd-6369-4677-89a0-584144e5541c, 85, 11692, No update data, 9g3qx3nr5e30
Bird, MEX, 4b53c12d-7109-4678-ab3c-1cbcecb34c17, 85, 11692, No update data, 9g3qx21bd9tp
Bird, MEX, e99e4150-93be-4ef9-800a-8a9322a8e3d9, 88, 12859, No update data, 9g3qx21pufrw
Bird, MEX, 5470d1c2-9e87-4469-800a-d2b3dc5abddf, 66, 9185, No update data, 9g3qx2ze3562
Bird, MEX, ceb60b2d-0911-4b72-8f83-82999d1023e9, 67, 8848, No update data, 9g3qx36fxesh
Bird, MEX, 66dbe6e8-6ed7-46d9-a4b8-1a8f853c57ad, 90, 13193, No update data, 9g3qx23058rg
Bird, MEX, 0736a316-961b-48ca-a983-aab12362a9d5, 85, 11692, No update data, 9g3qx2zmvtq0
Bird, MEX, 72a414a0-8b65-4ea5-bdee-163e7010ce34, 88, 12166, No update data, 9g3qrryhkcre
Bird, MEX, 28e02f1c-872c-4047-ac4f-17a642222544, 19, 1336, No update data, 9g3qx2nb1979
Bird, MEX, 208fcbe3-a0f6-409e-9353-79f129875513, 96, 14195, No update data, 9g3qx3m7wtfd
Bird, MEX, 42865ed9-bfba-4880-88a7-4bf1e0c3ba9f, 94, 13861, No update data, 9g3qx3m7ww6w
Bird, MEX, da7dfdac-193a-4418-9773-a104a7da7491, 79, 11356, No update data, 9g3qrrywvgh6
Bird, MEX, ec970269-2f47-4dfd-80ad-a1ba33a97a1a, 74, 10521, No update data, 9g3qx2zbb0vt
Bird, MEX, 199e04b5-12c2-4a2d-a4f3-a12c3befeb25, 97, 13588, No update data, 9g3qx3m7yru2
Bird, MEX, b639eb2d-7ed2-497a-9575-570601c41e84, 40, 4582, No update data, 9g3qx31vcte6
Bird, MEX, 11676849-fa45-46d7-b9c6-00b7af2a96f8, 87, 12692, No update data, 9g3qx2zw2kgc
Bird, MEX, e65bd957-cef3-42fb-a6f8-d30953fd8793, 98, 13746, No update data, 9g3qx3mkjyk3
Bird, MEX, 9c03be33-e196-47dd-abe4-27ecf135ee76, 73, 10354, No update data, 9g3qrryze99z
Bird, MEX, 982395b4-395e-4375-a321-4c510a3a2944, 79, 10744, No update data, 9g3qx28ew4p6
Bird, MEX, f79fe92a-822e-48ad-bf8c-4c4953a8f041, 92, 13527, No update data, 9g3qx2zth0gp
Bird, MEX, b7576de8-8d6e-4d24-89d4-43ccc20e86b6, 90, 9322, No update data, 9g3qx2zsumyk
Bird, MEX, f815c609-1181-499f-9c86-c1ebf4a7906e, 91, 9440, No update data, 9g3qx2ztsmb4
Bird, MEX, 6ef92d03-7e04-4973-a7d9-a43a595edd48, 85, 11692, No update data, 9g3qx2zsvwnn
Bird, MEX, f00a944f-dc26-4234-9937-174fa6b9d8d5, 84, 12191, No update data, 9g3qrrsxjfhq
Bird, MEX, f3462101-625e-4c6e-a9f0-cc7c01652f8e, 90, 13193, No update data, 9g3qx2ztmnuz
Bird, MEX, c951fa66-4ed6-484d-b192-a4d58f075dc5, 64, 8851, No update data, 9g3qx2zu2jmt
Bird, MEX, 6018a9ad-c989-4a26-b2ad-86e248705377, 92, 13527, No update data, 9g3qx2zu80vd
Bird, MEX, 1d03b435-5234-4603-8eed-5e3f5c7a18d1, 89, 13026, No update data, 9g3qx2zxdkfh
Bird, MEX, 3ef88f04-2898-49e8-a343-4f19b1eec945, 97, 14362, No update data, 9g3qx3p91tgx
Bird, MEX, 32b20728-373e-46e0-bf5d-dedc403e8641, 67, 8848, No update data, 9g3qx3nzgqe8
Bird, MEX, 2038178e-884b-4374-a472-add4acadc045, 74, 9954, No update data, 9g3qx3p9uz1s
Bird, MEX, 018e6980-c8c1-44d0-bcc7-60ed1c53c034, 17, 1002, No update data, 9g3qx3pb83gb
Bird, MEX, f6cdd7bc-0a64-4ca4-a6b5-04a1120f65a8, 91, 12640, No update data, 9g3qrrsucv89
Bird, MEX, 8d195512-d172-45e7-b573-c85ea29c51e7, 99, 14696, No update data, 9g3qx3pbc14r
Bird, MEX, abffb9c7-996d-400b-ab28-77cc60b5ec12, 89, 12324, No update data, 9g3qrryuq9fx
Bird, MEX, 8cba6cde-a83a-4e8a-a76e-ac875b990d63, 88, 12859, No update data, 9g3qx20x6r9f
Bird, MEX, f8a898b7-d42d-4080-ab2a-4476cfb2bfcd, 90, 13193, No update data, 9g3qx2b2edxy
Bird, MEX, fbdde7da-b0e7-46f1-b432-c1c214bb3231, 80, 11523, No update data, 9g3qx2b2gvsf
Bird, MEX, 154ee58c-8457-4ba1-a702-a0d75ea6c71d, 99, 14696, No update data, 9g3qx3pbh45p
Bird, MEX, 95e0440a-64aa-496d-9f01-f7f57d8daf4e, 88, 12859, No update data, 9g3qx20x1d5r
Bird, MEX, f7ee63b0-66db-4e34-a9d9-00f1b38b1ef8, 91, 13360, No update data, 9g3qx20x1ktn
Bird, MEX, 28668665-c132-456b-a7b7-b111b2861163, 38, 4509, No update data, 9g3qx8bn10xq
Bird, MEX, 284e7940-17a9-40c0-a3e6-c019e7f649f5, 79, 10744, No update data, 9g3qx8bjfq4n
Bird, MEX, f045452a-a846-49ff-944d-c58a8394eac6, 87, 12692, No update data, 9g3qx20qzwu1
Bird, MEX, 53239a68-389d-42f8-ad28-fa6af312c06d, 94, 13114, No update data, 9g3qx20kztu5
Bird, MEX, cd467842-2ef6-4ce7-bc8e-d333b4562dad, 53, 7014, No update data, 9g3qx8bnqjpe
Bird, MEX, 5146dac5-6249-4068-8883-edb44b96c9a5, 76, 10855, No update data, 9g3qrrs6y094
Bird, MEX, 793a68be-7e00-430b-89c4-11730388f68f, 93, 12956, No update data, 9g3qx20kzr8z
Bird, MEX, 7c2d144c-de61-4c6e-92d4-8067f90eb914, 79, 11356, No update data, 9g3qx8bnywff
Bird, MEX, 0bdc43b7-37db-4e7c-bcc3-fabad5644047, 26, 2505, No update data, 9g3qx20e3qbq
Bird, MEX, 9e09f84e-8e8b-44fc-8f66-70f2af59dedd, 66, 8690, No update data, 9g3qx28p67cg
Bird, MEX, 2303ab26-f440-49dc-a54b-902756fb142e, 83, 11376, No update data, 9g3qx20e18gr
Bird, MEX, 9d592ade-a37b-401c-9171-cb48d4cb6c9c, 72, 10187, No update data, 9g3qx3r2nsdx
Bird, MEX, c692401e-ff10-44ff-a15b-7d1f2d4c041b, 48, 5846, No update data, 9g3qx8bq10dq
Bird, MEX, 3fd55636-97fc-4e6a-9613-821f2dc94cd4, 72, 9638, No update data, 9g3qx3e6jrzg
Bird, MEX, c7c9c180-b70a-46d8-92bc-9457e20c2a07, 92, 13527, No update data, 9g3qx20q469b
Bird, MEX, 05d2960b-1390-461f-909e-9298e3d17aae, 30, 3173, No update data, 9g3qx20nyv89
Bird, MEX, 3616d549-9b9b-47b7-8cc9-d15c879e19b3, 94, 13861, No update data, 9g3qx20jzy6r
Bird, MEX, 0de30390-2a08-4d45-8de7-7031e23a88eb, 92, 13527, No update data, 9g3qx209172q
Bird, MEX, 5cc6acb5-f27a-4519-aebd-90aedbfbc8ed, 93, 12956, No update data, 9g3qx20nm9tv
Bird, MEX, 4fb452cf-95e7-40c1-a3eb-d0d2076ef381, 91, 13360, No update data, 9g3qx20jykh2
Bird, MEX, 6ef0cf46-959d-48be-8caf-7d2b48fbc319, 64, 8851, No update data, 9g3qx3d22s0w
Bird, MEX, 817ec3eb-bc89-4e90-b7ab-aea8550b93ea, 88, 12166, No update data, 9g3qx331267d
Bird, MEX, 4648b65d-a399-4a54-b06d-fedd051d440d, 91, 13360, No update data, 9g3qx20nkhzc
Bird, MEX, 28783902-2f4a-4e22-acb1-a03e54c907e5, 89, 13026, No update data, 9g3qx203nzjt
Bird, MEX, e55c5dda-1fc7-438f-8418-3b156d39c78a, 74, 10521, No update data, 9g3qx202zg6k
Bird, MEX, e42a1443-5975-4735-940a-c73491edc3ad, 87, 12692, No update data, 9g3qx202zf6q
Bird, MEX, c26f0539-6bba-417a-99a6-e2ebdbecbf99, 91, 13360, No update data, 9g3qx203nfbd
Bird, MEX, 9263dcf5-cfaf-48dd-874f-d74642ff35c4, 48, 6179, No update data, 9g3qx8bqzmr2
Bird, MEX, 11fac914-7ab6-4d5c-ac39-b6037963dc12, 91, 13360, No update data, 9g3qrrwyuc1w
Bird, MEX, 97f75477-eeb6-4119-b8c6-cc56fdeb60a3, 83, 11376, No update data, 9g3qrrc4djkz
Bird, MEX, c2a114eb-d94d-4e2c-99ef-c1d97bca1b41, 90, 13193, No update data, 9g3qx202vbk0
Bird, MEX, 58f45bdc-8e22-4aae-97ba-30ff2ffc74a3, 47, 5688, No update data, 9g3qx80x6ttq
Bird, MEX, fdf46c44-51b8-449d-8d15-3fdbb6eecbd3, 96, 13430, No update data, 9g3qx202tqdz
Bird, MEX, 511f5f15-ec98-4c5b-894f-b296d674bd27, 72, 9638, No update data, 9g3qx3pyxgfw
Bird, MEX, 677b1986-4e0c-4208-b4ff-25869f3c362b, 78, 11189, No update data, 9g3qx80x5q78
Bird, MEX, 02462fc6-5969-470d-b3b0-22f2becf8938, 93, 12956, No update data, 9g3qx3ehp6r0
Bird, MEX, 6f3742bc-3afd-472c-a60a-4141cb88f2f8, 97, 14362, No update data, 9g3qx3ehntre
Bird, MEX, efd48a79-c49f-4e7c-9cba-d2ce7b2eae94, 51, 6680, No update data, 9g3qrrc0qctt
Bird, MEX, d340d411-b092-43b4-8e3b-2e0a3682f2c2, 37, 4342, No update data, 9g3qx8bxgfb1
Bird, MEX, c479096a-dfb9-4374-b9c8-e1d4007bf053, 58, 7849, No update data, 9g3qx0zdkp6c
Bird, MEX, 81c77a5a-0f5c-48ce-a0c6-eb963e39f6b7, 64, 8851, No update data, 9g3qx90s4y73
Bird, MEX, 07ebbed8-7a8f-40c0-97a9-7fa18ba0e3a4, 74, 10521, No update data, 9g3qrrbk4wjp
Bird, MEX, 1238f8ef-6128-4980-87d0-24367a84886e, 51, 6320, No update data, 9g3qrrw9tm6y
Bird, MEX, 5abed53f-42b8-472d-ba12-f03a4ffbef6f, 60, 8183, No update data, 9g3qx90f3z29
Bird, MEX, 269cbb70-879f-43cd-8b8c-c3e2c48e2814, 74, 10521, No update data, 9g3qx922kvxz
Bird, MEX, 91cf59d6-14b0-4a46-8002-b820f5e53ca8, 57, 7268, No update data, 9g3qrrw8e2g9
Bird, MEX, 4a9bc086-f67a-4b02-85b3-1709215d8d1b, 46, 5845, No update data, 9g3qx3epfk1c
Bird, MEX, d920e132-48df-4b91-bd57-9e613a20e995, 92, 13527, No update data, 9g3qx3x4m6pb
Bird, MEX, 55db7436-5f4c-44e1-a64c-0f9922d54b76, 57, 7268, No update data, 9g3qrr7sq134
Bird, MEX, 408ec4ef-e333-458c-a83d-51e90914bebf, 100, 14062, No update data, 9g3qrr99ex18
Bird, MEX, 4446693f-2397-4602-9e41-12a0524764f1, 89, 13026, No update data, 9g3qrr6wh4e0
Bird, MEX, bf91f197-4e6b-47ad-bf1a-8111754725f6, 60, 8183, No update data, 9g3qx3x3cb2d
Bird, MEX, ae646d82-5b06-43cc-bb29-b56c5edb0799, 98, 13746, No update data, 9g3qrr6tutu7
Bird, MEX, 60c11868-0dc1-493c-8e0c-538081eb4184, 85, 11692, No update data, 9g3qrpzz5jq6
Bird, MEX, f7b2f5ce-eee6-4ebf-95fa-65c610118f3a, 60, 7742, No update data, 9g3qx0rpspzz
Bird, MEX, b394db72-5ad6-439d-b1b7-b5c83fba87d6, 100, 14863, No update data, 9g3qrr994vgm
Bird, MEX, 455ac0a8-2bc9-4c5d-aa17-f29889085d08, 94, 13861, No update data, 9g3qx92htp95
Bird, MEX, ca42c25e-84c7-42cd-9893-7ce09644b14b, 92, 13527, No update data, 9g3qrrmkrbrm
Bird, MEX, 20e7295e-8b68-4b15-8fc9-5302d90f52d1, 90, 13193, No update data, 9g3qrrms0r5v
Bird, MEX, ba5ca64c-f8df-422b-a597-cb5051144a70, 91, 13360, No update data, 9g3qrxb0nbjb
Bird, MEX, 31e56a5d-4175-454e-af22-7bbc0f8340f7, 97, 14362, No update data, 9g3qrxb0p2zq
Bird, MEX, 8ec2068c-bc98-482c-b5fb-105085b934f1, 94, 13861, No update data, 9g3qrx8pmjku
Bird, MEX, fb450ec4-b14a-41e9-b3f8-0ef4679f070a, 96, 13430, No update data, 9g3qrx8py8df
Bird, MEX, c96ac753-9e09-4de9-9488-2d79102bdc97, 60, 8183, No update data, 9g3qrrx3uvpz
Bird, MEX, e26c615d-d329-47e8-b1f0-73de7cb92643, 36, 4175, No update data, 9g3qrr94h6y4
Bird, MEX, 3c3d77b7-6300-4109-a8dc-a0535b985c6b, 97, 14362, No update data, 9g3qrx8przdd
Bird, MEX, 447aa4f1-8a0a-4eb8-85d0-14cc1ec89f82, 61, 7900, No update data, 9g3qx3xbfstj
Bird, MEX, f2c30b70-6099-41bf-bc2e-211595aa42c1, 51, 6320, No update data, 9g3qx0r0bdqy
Bird, MEX, a4684039-ead9-40f1-9f44-131a676c0f46, 80, 11523, No update data, 9g3qrr3y0r5t
Bird, MEX, 3defaae1-756f-41c0-9db4-82f7df6628cf, 78, 10586, No update data, 9g3qx89ex7r6
Bird, MEX, 9c23dcac-0023-4755-9d0e-33e22b95b3bc, 53, 7014, No update data, 9g3qx0qugmk8
Bird, MEX, 06cb841d-678e-464f-9a45-b0e1ce4c4b96, 73, 10354, No update data, 9g3qx91p6qr5
Bird, MEX, f74d898f-f41b-4339-88c9-44ad498d2e51, 45, 5678, No update data, 9g3qrrk8vfkm
Bird, MEX, e644af59-bf44-458d-9810-7daa1e6a73d2, 76, 10270, No update data, 9g3qrr8nmwtu
Bird, MEX, d6b92cb3-a056-4c0b-8772-84668e459283, 55, 6952, No update data, 9g3qrrkbpgrm
Bird, MEX, 962206dd-82b5-4881-b26a-7b678546ba9d, 48, 5846, No update data, 9g3qx81tjz5n
Bird, MEX, 53fa1d4d-1f37-404f-8cb0-dab509a69fa7, 58, 7426, No update data, 9g3qx8cgk68k
Bird, MEX, 13268e1b-461a-4845-ab6e-5da054068f14, 48, 5846, No update data, 9g3qrrq64wv5
Bird, MEX, 1acfaf02-8a82-4144-964c-c6c7bb75c29c, 71, 9480, No update data, 9g3qrr5z7wrc
Bird, MEX, 97fa1ec9-702b-4cc8-a254-b250dd61e735, 65, 9018, No update data, 9g3qrpz8vttc
Bird, MEX, ca1f835a-93b4-4075-a803-5b1c3d935b15, 96, 13430, No update data, 9g3qrr5zk6bh
Bird, MEX, 3b993380-e438-485d-bedf-fe2863fb803e, 99, 13904, No update data, 9g3qrr5zk1gn
