Bird, MEX, 58d33584-a58d-4cc4-ac23-1e5d515df7d6, 37, 4342, No update data, 9g3qx2yfkuzc
Bird, MEX, 9325f3ab-6b03-4dc6-ac29-b0843d05a055, 85, 11692, No update data, 9g3qx340sz13
Bird, MEX, 22d645d8-0daf-41c1-bf14-caf0adb0dab1, 82, 11218, No update data, 9g3qx2z4025f
Bird, MEX, 85c08534-d42f-4372-921e-8f780aca6702, 97, 13588, No update data, 9g3qx23d04ve
Bird, MEX, eb0a9af9-09bb-4a85-9b1f-37d0512f7ceb, 98, 13746, No update data, 9g3qx236p8up
Bird, MEX, f841c4bc-90d1-49de-a599-1daa3eca04b1, 97, 13588, No update data, 9g3qx239b10w
Bird, MEX, 504c9d6e-889a-4412-8654-a3f68a7cadc4, 97, 13588, No update data, 9g3qx236p2r5
Bird, MEX, de4f9bf6-4611-4fa5-9948-ec6a9e042f32, 98, 13746, No update data, 9g3qx2z4kt7m
Bird, MEX, dd2cca58-1aaf-480b-8093-25d10717e193, 92, 13527, No update data, 9g3qx21wjwmb
Bird, MEX, 43044bfc-ceb6-4ce0-8b0f-bfa82a1e9f23, 97, 13588, No update data, 9g3qx21u9u0r
Bird, MEX, 63da3376-1319-4d90-826b-e97b58a1183d, 96, 13430, No update data, 9g3qx21wj2xv
Bird, MEX, c6aff5da-4189-4c94-9822-1d7187a5ded8, 69, 9686, No update data, 9g3qx3nb9c0t
Bird, MEX, 0d2663c7-49cf-4138-9feb-5ed7b6143c8f, 75, 10688, No update data, 9g3qx3k6ndfs
Bird, MEX, 96b4b88f-8c64-4e0c-b8fb-fbb97473cc88, 99, 13904, No update data, 9g3qx233un5j
Bird, MEX, 594f887f-3085-41d6-866a-8deca70af354, 98, 13746, No update data, 9g3qx21tjrpy
Bird, MEX, 8531c2a7-ace9-4174-a5fe-d0177c1e0304, 99, 13904, No update data, 9g3qx2zhufc9
Bird, MEX, 26187cd1-9b1d-4048-a8f2-e202479c8752, 97, 13588, No update data, 9g3qx2z5xy6t
Bird, MEX, 9576e053-4a88-4170-9005-5cc00cd21a4d, 69, 9686, No update data, 9g3qx2r2fjxc
Bird, MEX, af76bb47-f9ce-4f93-ae1f-cf6e72f1b362, 93, 13694, No update data, 9g3qx2320ygu
Bird, MEX, 12e2fe21-97f4-4e9b-a56b-f7dcd8f203d4, 99, 14696, No update data, 9g3qx2320vgy
Bird, MEX, 4c739442-f5c6-42d2-b146-ffef2a38a91f, 97, 13588, No update data, 9g3qx21mqwfw
Bird, MEX, 5510831d-1709-49e9-8cf6-f7180138e935, 97, 14362, No update data, 9g3qx21rbu7f
Bird, MEX, afd83cfb-b402-4464-ac5a-a442532379b7, 99, 13904, No update data, 9g3qx21mpj5b
Bird, MEX, d27c6162-2656-4c21-b8d2-16f210d8d32e, 85, 11692, No update data, 9g3qx28cqw6e
Bird, MEX, 66fb0ca9-d980-4b02-8fa0-66d9ae0031fb, 98, 13746, No update data, 9g3qx21mnu2u
Bird, MEX, d2abcbca-180a-4711-b3eb-a88b7adba4c2, 92, 13527, No update data, 9g3qx231mbsp
Bird, MEX, bbf0f4f3-34f4-44d6-8cdc-a2caa828a858, 75, 10688, No update data, 9g3qx230qyby
Bird, MEX, 7b5ad11d-ad48-4430-818e-5de19fa666b8, 85, 11692, No update data, 9g3qx230qb2v
Bird, MEX, bcd6df1f-86f5-4284-91d2-18397d23241e, 94, 13861, No update data, 9g3qx230t76c
Bird, MEX, 4048c69a-9e8b-4883-8910-f3a23b6da33e, 97, 13588, No update data, 9g3qx3kkp6zh
Bird, MEX, 4f378213-6294-4f7f-afc2-9fb519e73eb4, 88, 12166, No update data, 9g3qx2zktrpc
Bird, MEX, 843087ca-7338-4d85-be2b-1e0a3091cda2, 100, 14062, No update data, 9g3qx230ktsq
Bird, MEX, 40c53d16-1d05-4b37-bc92-5a20d82b13cd, 42, 4898, No update data, 9g3qx230ge3s
Bird, MEX, c0fe1b03-bcf5-436f-a8b3-0df4ebad4766, 98, 14529, No update data, 9g3qx230hrnn
Bird, MEX, 9dbb8d37-8eec-41d8-8d42-da22c0d7a8a3, 98, 14529, No update data, 9g3qx230h8h3
Bird, MEX, 85b5ec15-83dd-4362-905a-9b4396583619, 97, 13588, No update data, 9g3qx2zrbhmd
