Bird, MEX, 6eedd4b4-29a3-435a-8f76-5da2a718507a, 45, 5372, No update data, 9g3qx2dr1c23
Bird, MEX, 2e806df7-0601-46c2-a156-4762c3aef108, 92, 13527, No update data, 9g3qx2y5e35s
Bird, MEX, 98dbed4d-efe3-4aca-824d-96fc780a875f, 51, 6320, No update data, 9g3qx26hrh5v
Bird, MEX, 41ac6b6e-37ef-44da-979d-66c790504466, 100, 14062, No update data, 9g3qx26hnxfd
Bird, MEX, 0af7b98d-8e34-4ba9-adbe-098fbcbd0bad, 100, 14062, No update data, 9g3qx26hq6s7
Bird, MEX, ab2c75bc-a30b-4d43-b902-7dcef60fb0cf, 30, 3173, No update data, 9g3qx26hq4x7
Bird, MEX, 1a297218-f37a-416e-8a6f-577d178f84ed, 94, 13861, No update data, 9g3qx26hgepf
Bird, MEX, 675aaf21-28c2-4e2a-978d-7e43986f08ad, 89, 13026, No update data, 9g3qx26hewxz
Bird, MEX, 618bb3b3-c80a-4022-a329-f3159a380980, 79, 11356, No update data, 9g3qx2y3sbpz
Bird, MEX, 23241c65-d956-44f7-a2b6-5797da3274c9, 98, 13746, No update data, 9g3qx26hg0yk
Bird, MEX, b72d47b9-59c5-454f-ac00-20664003473f, 30, 3173, No update data, 9g3qx26h7xcs
Bird, MEX, 30c5acdf-4715-4142-a46c-f597e63fd110, 90, 13193, No update data, 9g3qx2y3v5sw
Bird, MEX, 7d92c82f-2abe-41c8-ac35-3c663f6b67ff, 91, 12640, No update data, 9g3qx26j9d5d
Bird, MEX, b762081f-13a9-4e84-9217-03e481d1a0cd, 100, 14062, No update data, 9g3qx26h58rg
Bird, MEX, 3f5d1e14-2abf-4450-b3a3-c1faddeada17, 100, 14062, No update data, 9g3qx26hdtv1
Bird, MEX, 23aa320d-6add-4133-adcc-529659490f3b, 93, 13694, No update data, 9g3qx2yk3d7d
Bird, MEX, 54f0a39e-be90-477a-b9eb-687f73bf3039, 97, 13588, No update data, 9g3qx24rkrq0
Bird, MEX, 8aa45d2f-96a2-4917-8df2-b425bdb113dd, 92, 13527, No update data, 9g3qx2yk9j4n
Bird, MEX, 1091710a-483f-4e51-bd07-1809f2afd5eb, 81, 11690, No update data, 9g3qx2yk9n4h
Bird, MEX, 6d5c116a-e9b7-4be1-a585-6b6b63ee69a5, 92, 12798, No update data, 9g3qx24rfej4
Bird, MEX, cf99c71b-0836-4611-8b58-097a6931d8d1, 58, 7426, No update data, 9g3qx26232j7
Bird, MEX, 188ebf3c-c5fa-4b9e-b7b8-76ae35643940, 53, 7014, No update data, 9g3qx2yd0ck1
Bird, MEX, 13ae732e-c540-4910-a04c-9297937170ea, 92, 13527, No update data, 9g3qx2ykk3wq
Bird, MEX, 952eb472-e465-44b0-b521-10d99ac12b5a, 63, 8216, No update data, 9g3qx2qwqwre
Bird, MEX, f461804c-ca00-4c64-b597-4cfd5d478487, 100, 14062, No update data, 9g3qx34c3j45
Bird, MEX, af202aa8-1c52-4110-9424-604deaaa8996, 54, 6794, No update data, 9g3qx34c2zr9
Bird, MEX, 868f6e66-2df0-42a7-8734-9e6f0103ab2d, 84, 11534, No update data, 9g3qx2qwr2rq
Bird, MEX, 97a848fb-7658-4f31-8b43-ad0ade2b5059, 100, 14062, No update data, 9g3qx34c8sbs
Bird, MEX, fa78f2a4-a61e-4f48-8c80-c145aa5655af, 100, 14062, No update data, 9g3qx34cc30r
Bird, MEX, eb586e99-e2b2-43a8-b9e4-95a9fb994cf0, 100, 14062, No update data, 9g3qx34c8q5u
Bird, MEX, 6f84f04d-339c-4ccf-9c5b-825181fa849e, 84, 11534, No update data, 9g3qx29sxrp1
Bird, MEX, 32023f53-8c76-46da-b262-1fff9ec4ee30, 98, 14529, No update data, 9g3qx2frebug
Bird, MEX, f115d5d5-9064-4746-b6d0-f2ba275bf468, 88, 12166, No update data, 9g3qx34f3zyt
Bird, MEX, 26bdfeb8-9f55-4c69-97c6-68501afe5085, 88, 12166, No update data, 9g3qx2fr4q3c
Bird, MEX, e1bd83dc-c8ba-4ead-b6c3-faf05146ddac, 85, 12358, No update data, 9g3qx2nqvwqp
Bird, MEX, 2ac75dcb-c68b-4ab5-895b-947e8ad9b32a, 99, 14696, No update data, 9g3qx35htty4
Bird, MEX, f6ae4432-87b8-4d73-a516-a6e8fbb97ab3, 89, 12324, No update data, 9g3qx2frc78r
Bird, MEX, f2cd4df2-5ca9-4005-a5ce-b0c478b23ff8, 87, 12008, No update data, 9g3qrrgpn5rq
Bird, MEX, 45c6c3de-0c1c-4f91-acb3-8d3b7df04b0a, 70, 9853, No update data, 9g3qx2yszekm
Bird, MEX, 6ebb5995-0ae1-4adc-a04f-aa527adaf017, 44, 5214, No update data, 9g3qx23b29bx
Bird, MEX, c3f1218e-7d1f-4cf9-ac17-38d6e68a0c84, 82, 11218, No update data, 9g3qx340u3b5
Bird, MEX, ee0e4330-beb4-4c8e-b019-341083b73f2b, 58, 7849, No update data, 9g3qx341k8hk
Bird, MEX, 1a1153b3-ccda-4f21-8f5d-78b11190e3ff, 34, 3841, No update data, 9g3qx21xyx6t
