Bird, MEX, bbddcd29-395e-49d0-8458-8a342b3a77dd, 48, 6179, No update data, 9g3qx3tud9mp
Bird, MEX, f51e7ec1-b4a8-4166-b665-84331e145047, 82, 11218, No update data, 9g3qx32gucc7
Bird, MEX, cbc4863e-3d13-4094-b792-544f22e6103d, 84, 11534, No update data, 9g3qx39c1rv7
Bird, MEX, cf16fd66-9688-4fe8-b72d-2d7c86ace9b9, 48, 5846, No update data, 9g3qrrmq9vyb
Bird, MEX, f23e63b4-f266-44f2-b28a-9f449b125334, 85, 12358, No update data, 9g3qx3sr81jt
Bird, MEX, 6ee61a39-8aa7-498a-91d5-0956bcbce03d, 38, 3186, No update data, 9g3qrrkvvbs6
Bird, MEX, 8a073e6f-7697-4321-a14d-884b2d21e9e9, 43, 5056, No update data, 9g3qx808sfzz
Bird, MEX, 6b8c01a5-1265-43d0-93a0-619ea2a9959d, 57, 7268, No update data, 9g3qrr97wbmx
Bird, MEX, 3ec7df91-9d64-45d0-b95d-37bd0a69d95b, 70, 9322, No update data, 9g3qx922hdg7
Bird, MEX, 64882091-c3da-4922-ab1c-005946c410c0, 53, 7014, No update data, 9g3qx3u0m3xz
Bird, MEX, 46edcc60-cfe6-4333-a2e5-00320bff34b0, 51, 6680, No update data, 9g3qx3epdebp
Bird, MEX, eb089722-b0a7-414a-8185-4144ea7263e0, 85, 11692, No update data, 9g3qx925ex3u
Bird, MEX, 1aadf93f-3d89-4440-8157-1b0f962a2a1b, 73, 9796, No update data, 9g3qx3ep9mb6
Bird, MEX, b356a606-0392-41bc-9c21-22b5c31d2268, 52, 6847, No update data, 9g3qx3ep9zqs
Bird, MEX, a80a0e3d-32fb-41be-b5ce-99707bc72d82, 46, 5530, No update data, 9g3qx80fmjku
Bird, MEX, f17d49c5-1830-4e58-a34d-1dd840990418, 66, 9185, No update data, 9g3qx925gu01
Bird, MEX, 0a222351-323c-457c-a14e-2db4ac98e2ef, 55, 7348, No update data, 9g3qrr6tg58m
Bird, MEX, d0a37f46-5dfb-47e6-a34f-595fffcaa269, 85, 12358, No update data, 9g3qx92hjg7p
Bird, MEX, 0c52423a-a46f-4da3-9bf2-f222aa066682, 85, 12358, No update data, 9g3qrrmkrzpr
Bird, MEX, e4a228a7-0632-4db2-a862-66f4707228bb, 33, 3674, No update data, 9g3qrrm5f31v
Bird, MEX, e26c615d-d329-47e8-b1f0-73de7cb92643, 67, 9352, No update data, 9g3qrr95j2p8
Bird, MEX, 603a5bbc-b7ec-4195-8997-81f71a5bc1d2, 87, 12692, No update data, 9g3qrrmknszx
Bird, MEX, 6b7d74e4-9c60-429a-a13f-fe187ca8c8ff, 85, 12358, No update data, 9g3qrrmkn8xs
Bird, MEX, 07f32d5a-8b03-4218-9b60-e5ebb5fee414, 91, 9440, No update data, 9g3qrrm7vvu7
Bird, MEX, 0b98cad9-d526-43aa-8163-cf5119176ae0, 76, 10270, No update data, 9g3qrrkfsss8
Bird, MEX, 81ff88c2-3c3a-4710-9b86-0798ac82fb5c, 87, 12008, No update data, 9g3qx0p6kkqn
Bird, MEX, c0562087-eaf1-4672-9c9f-f95647255dc5, 69, 9686, No update data, 9g3qrr92pekn
Bird, MEX, fcbde8f4-bf32-49e0-ae3a-5689ee5f203a, 51, 6320, No update data, 9g3qrrme0u5c
Bird, MEX, 1cce273a-ba00-4297-9805-7073ea67ada6, 70, 9853, No update data, 9g3qrrm6gcuc
Bird, MEX, 1cb482fe-b69b-4dec-864b-bc5ad605045b, 44, 5214, No update data, 9g3qrx8r1prr
Bird, MEX, 1cb71f53-0094-44d5-9add-9f4ca69eed90, 76, 10855, No update data, 9g3qx1rgnx4x
Bird, MEX, 06c263a9-ec74-4d06-b21f-9a884a753846, 75, 10688, No update data, 9g3qx91jv6pv
Bird, MEX, a78d033e-c1d4-4d19-a19b-fb48438cd779, 57, 7682, No update data, 9g3qx3gurk8b
Bird, MEX, 64ca523d-376f-40ea-b53f-c0614e90a379, 58, 7849, No update data, 9g3qrrk2m7db
Bird, MEX, d6e196f2-7746-4922-af8c-194bc3e4a673, 81, 11060, No update data, 9g3qrrm3pxkp
