Bird, MEX, ba2923c3-70aa-4283-8276-3f959b3cd5fb, 43, 5056, No update data, 9g3qx82pdggq
Bird, MEX, d21e148b-e7af-4c79-aa85-4f04a8224570, 90, 12482, No update data, 9g3qx3pd1bwy
Bird, MEX, e3eec4f4-06fd-42cc-b66f-b42df111b37a, 85, 12358, No update data, 9g3qx3qbq412
Bird, MEX, 1902bc0a-56b1-4f9a-b39b-722aae18ea6f, 75, 10112, No update data, 9g3qx82jv34y
Bird, MEX, 0a2ce491-7c55-421c-b1f1-802cbacfabe1, 66, 9185, No update data, 9g3qx2p2njp8
Bird, MEX, 3b326966-7c91-4e8c-a3c4-178afb60f57f, 87, 12692, No update data, 9g3qrrsuy096
Bird, MEX, db5480b9-46aa-4643-82a6-6e447d94f034, 75, 10688, No update data, 9g3qx3pb5g0j
Bird, MEX, 9873bba6-614b-4fc3-98e5-1f6a2d3e7735, 88, 12859, No update data, 9g3qx3pcb8x5
Bird, MEX, 048bd9dc-ee05-4385-9371-5148ac746a4f, 65, 9018, No update data, 9g3qx20x09bt
Bird, MEX, 060a1109-f628-480e-a892-7364510575d8, 89, 13026, No update data, 9g3qx20wbhm6
Bird, MEX, 51ef5a77-4b25-4a0d-8199-d81dbb635b26, 49, 6346, No update data, 9g3qx8bj7z21
Bird, MEX, 15888cee-feb1-4d23-877c-ba2ad07f9453, 89, 13026, No update data, 9g3qx20rpm8u
Bird, MEX, 246a530d-afad-40d1-8123-b2c7d51cd8d3, 21, 1670, No update data, 9g3qx3pt8r5f
Bird, MEX, 9bc21d40-8159-4494-b0ee-2f223a10a42a, 24, 2171, No update data, 9g3qx8bp2fun
Bird, MEX, 90c72989-0d9d-405e-acd5-3405aac6aaa8, 46, 5845, No update data, 9g3qx8bnd7fn
Bird, MEX, 9a5df020-06ef-4432-b4af-ee6eae97dc65, 61, 8350, No update data, 9g3qrrth08p0
Bird, MEX, f5796f0a-3309-4226-b3c1-c21235720d90, 89, 13026, No update data, 9g3qx20rmuu1
Bird, MEX, 9da4017b-2db7-4c51-9f9e-4f8d16c3b10a, 24, 2171, No update data, 9g3qrrzkbk7c
Bird, MEX, c4c34fc0-07d5-432c-b70e-d6968b663ff5, 19, 1336, No update data, 9g3qx8bnh5g1
Bird, MEX, c93e4169-1d0d-40ff-9083-8a7ba629d8c1, 80, 11523, No update data, 9g3qx8bp4ttj
Bird, MEX, 7528abfa-86f1-49fd-b9a0-59f3d195fc4a, 66, 9185, No update data, 9g3qx8bns4en
Bird, MEX, 4b226b8c-e3d4-41d1-aa03-55e681d91cd3, 69, 9686, No update data, 9g3qx280fgen
Bird, MEX, b312c637-36e3-4eb8-b9aa-31ce85e701e5, 54, 7181, No update data, 9g3qrrdszjec
Bird, MEX, 92768922-a6d6-4b1b-9cee-97eabf658834, 81, 11060, No update data, 9g3qrrt5q7u6
Bird, MEX, 6d77df3c-6b74-4594-9a28-fcb65c3b72da, 96, 13430, No update data, 9g3qx20mhgrw
Bird, MEX, a41aa352-87ac-4511-bae9-43a4b438e7a9, 88, 12859, No update data, 9g3qx20mdw2j
Bird, MEX, 32fccdc0-1a92-44b0-b9ea-8ad6f4a0f2cc, 88, 12859, No update data, 9g3qx20m55b0
Bird, MEX, ae2ce957-6794-45a2-bbc6-748cebef0186, 64, 8851, No update data, 9g3qrrbz83ex
Bird, MEX, 6b6e5802-5c48-4fc5-bd29-4a54741206a9, 88, 12859, No update data, 9g3qx20m4bej
Bird, MEX, f002cc82-c048-4779-94f7-58ace08434c8, 100, 14863, No update data, 9g3qx20q0b7g
Bird, MEX, d83dd7fe-3e00-4fa8-aaf1-7935affe6190, 88, 12859, No update data, 9g3qx20mbwb9
Bird, MEX, b750c547-c82f-4fae-a013-50b253171aa6, 84, 12191, No update data, 9g3qx822q2he
Bird, MEX, 11fc6572-9393-42a0-92c7-4f99f9c7e1df, 88, 12859, No update data, 9g3qx208fxmj
Bird, MEX, 52bc7059-d61c-4869-891c-fc1d1dcc0871, 82, 11857, No update data, 9g3qx20m0xwb
Bird, MEX, 6bc7ded6-a8dd-4804-922f-2e42816a91a9, 42, 5177, No update data, 9g3qrrz6g0q8
Bird, MEX, e7708e59-dcf0-4fca-a82d-e329404ff3d8, 90, 13193, No update data, 9g3qx2089kt1
Bird, MEX, 6462565e-916e-4f0e-9b4a-4dc4fe3835ac, 39, 4676, No update data, 9g3qx3d0nnr3
Bird, MEX, 13673970-2381-46dd-8a2d-5172f7a26d8b, 76, 10855, No update data, 9g3qrre90t8g
Bird, MEX, f617d67b-42ce-489c-96cd-e6b9e89abd4d, 75, 10688, No update data, 9g3qx88u9d5d
Bird, MEX, 58eeacfa-d3b4-4100-b55b-5552204c8d6e, 96, 13430, No update data, 9g3qx3e5y8ds
Bird, MEX, c99f496a-254e-4940-8951-e0b58fd65a98, 92, 13527, No update data, 9g3qrrwy1b08
Bird, MEX, f277bae7-9251-4364-a33b-af8487898e26, 96, 13430, No update data, 9g3qrrwvc4dr
Bird, MEX, 35c53774-0515-4367-a3d9-f70b406ad050, 91, 13360, No update data, 9g3qrrwvc5p1
Bird, MEX, 473d4d6d-36fe-4d58-8beb-6e17adfd86cd, 98, 14529, No update data, 9g3qx3ehp1h0
Bird, MEX, ad80598c-a5ac-46c2-8e3b-5e6684fb7b37, 85, 11692, No update data, 9g3qrr9tzwu1
Bird, MEX, 942fb917-5ad1-4c52-a4e1-694c7bcac195, 84, 11534, No update data, 9g3qrre1j5kw
Bird, MEX, eba31f36-07a3-4ec8-a5dd-be1cd6ac7cc1, 44, 5214, No update data, 9g3qrre1hkwm
Bird, MEX, fe6a4a75-799d-405f-b205-19e2cc7d2458, 98, 14529, No update data, 9g3qx3ehp7x0
Bird, MEX, 9a9a12b3-0b29-4799-a9ba-d2da30068b6b, 99, 14696, No update data, 9g3qx3ehp70y
