Bird, MEX, 76d3e90c-8802-45c6-97ca-785bd6a664e3, 78, 10586, No update data, 9g3qx26d12br
Bird, MEX, 86507817-86fc-4b70-9fe9-6c7016af6d82, 100, 14062, No update data, 9g3qx2y4f1ec
Bird, MEX, 439e90c5-769c-4396-8d23-419bf5019251, 96, 13430, No update data, 9g3qx26d2j0e
Bird, MEX, 2e806df7-0601-46c2-a156-4762c3aef108, 98, 14529, No update data, 9g3qx2y26bg2
Bird, MEX, 6eedd4b4-29a3-435a-8f76-5da2a718507a, 46, 5530, No update data, 9g3qx2dpmfuj
Bird, MEX, 13ae732e-c540-4910-a04c-9297937170ea, 99, 14696, No update data, 9g3qx2y2h075
Bird, MEX, 618bb3b3-c80a-4022-a329-f3159a380980, 97, 14362, No update data, 9g3qx2y2hpe0
Bird, MEX, 30c5acdf-4715-4142-a46c-f597e63fd110, 97, 14362, No update data, 9g3qx2wrvkxu
Bird, MEX, dcf07f54-718b-43d2-ae66-88c28b7534e0, 100, 14062, No update data, 9g3qx26jh2bp
Bird, MEX, a8a395e8-9aa5-4be6-860c-d71d9e52131f, 99, 13904, No update data, 9g3qx26j58xv
Bird, MEX, 6f15c284-1c18-446b-a5b8-8280bdc0c0a9, 99, 13904, No update data, 9g3qx26hcn4n
Bird, MEX, 6d5c116a-e9b7-4be1-a585-6b6b63ee69a5, 96, 13430, No update data, 9g3qx2623r22
Bird, MEX, 455f13cb-32a0-488b-8402-4c4e10e91ae8, 44, 5214, No update data, 9g3qx35s090b
Bird, MEX, 3a48bae5-4a5c-4627-aca6-3bf534d27a56, 46, 5845, No update data, 9g3qx3jd3q27
Bird, MEX, 21d5fbec-0a8a-40f2-85ee-44608e7d6851, 98, 14529, No update data, 9g3qx2ykfej5
Bird, MEX, 23aa320d-6add-4133-adcc-529659490f3b, 100, 14863, No update data, 9g3qx2ym9pdj
Bird, MEX, f115d5d5-9064-4746-b6d0-f2ba275bf468, 90, 12482, No update data, 9g3qx34cgj86
Bird, MEX, 1091710a-483f-4e51-bd07-1809f2afd5eb, 94, 13861, No update data, 9g3qx2ym5bku
Bird, MEX, 8aa45d2f-96a2-4917-8df2-b425bdb113dd, 99, 14696, No update data, 9g3qx2yktnhs
Bird, MEX, 3d0eb1e0-af04-4000-a55b-51f7b43ea66a, 98, 14529, No update data, 9g3qx2yq11r1
Bird, MEX, f6ae4432-87b8-4d73-a516-a6e8fbb97ab3, 91, 12640, No update data, 9g3qx2fr66cy
Bird, MEX, 26bdfeb8-9f55-4c69-97c6-68501afe5085, 91, 12640, No update data, 9g3qx2fr9s78
Bird, MEX, b43d51bb-fe9b-45a1-9510-434d1a8e5ce3, 44, 5511, No update data, 9g3qx23cum20
Bird, MEX, 98dbed4d-efe3-4aca-824d-96fc780a875f, 52, 6478, No update data, 9g3qx23fd8jn
Bird, MEX, 2a457350-a766-4817-8789-df1ef30e966a, 58, 7426, No update data, 9g3qx2qyxcpk
Bird, MEX, eddc3d62-1f8f-448b-8559-04768146c6fb, 100, 14062, No update data, 9g3qx2yg4tbn
Bird, MEX, ee0e4330-beb4-4c8e-b019-341083b73f2b, 63, 8684, No update data, 9g3qx341q4r6
Bird, MEX, c3f1218e-7d1f-4cf9-ac17-38d6e68a0c84, 84, 11534, No update data, 9g3qx341jm4c
Bird, MEX, ed55e15f-bc1f-4917-8354-d12672ae1ab0, 98, 13746, No update data, 9g3qx239skw1
Bird, MEX, 728c9a5b-a63b-4184-8b6e-da82a1ea8ef0, 94, 13861, No update data, 9g3qx21yk0ep
Bird, MEX, 1a1153b3-ccda-4f21-8f5d-78b11190e3ff, 39, 4676, No update data, 9g3qx21z13vm
Bird, MEX, d49e6960-8798-495e-8201-98112c5ddf62, 69, 9164, No update data, 9g3qx34ymfk4
Bird, MEX, 320381ba-5bfd-4feb-8df4-0df6e84ff3c8, 65, 8532, No update data, 9g3qx21yb0bs
Bird, MEX, 9df4aa53-6ae5-40ec-b8fb-e05e3ad14881, 58, 7426, No update data, 9g3qx2z1u0e5
Bird, MEX, 438c5d35-cf11-4d31-99ef-dc83df7eb073, 97, 14362, No update data, 9g3qx21wyumd
Bird, MEX, e1aea749-c2f9-43ea-8560-645e443366e1, 99, 13904, No update data, 9g3qx2yye7gw
Bird, MEX, 2b8c7c97-68d2-4719-b1df-a3d7844a1e42, 99, 14696, No update data, 9g3qx2yyk6q6
Bird, MEX, 3ecbfd4e-07b7-49c4-95b1-18de4a205226, 98, 13746, No update data, 9g3qx2392k7x
Bird, MEX, 70c01e06-41bd-4ca5-998b-59aa9ca0fb83, 99, 14696, No update data, 9g3qx2z4mjsz
Bird, MEX, 0ce8a922-941d-4440-a15e-1f4cb38f85ba, 99, 13904, No update data, 9g3qx2yyszrg
Bird, MEX, 6ebb5995-0ae1-4adc-a04f-aa527adaf017, 45, 5372, No update data, 9g3qx21wgukf
Bird, MEX, 1be1df4a-da00-4da9-b129-a01fadab33e0, 66, 9185, No update data, 9g3qx2c6ufz9
Bird, MEX, 1a7341a8-54b5-422e-882c-6a9a60a32fdc, 61, 7900, No update data, 9g3qx232xrbz
Bird, MEX, b1d00107-9c0b-44bc-b84d-a3b388b688d6, 100, 14062, No update data, 9g3qx233ne6w
Bird, MEX, 4e40bd37-ed1b-4a7b-bc67-78a44871fb65, 98, 14529, No update data, 9g3qx2z4wsxd
