Bird, MEX, 3428bf20-a1e5-4b0e-bb09-122e070bf4ee, 89, 12324, No update data, 9g3qx2t7r6x7
Bird, MEX, 570b7d40-8841-45ad-9877-c7c033900879, 87, 12692, No update data, 9g3qx27kgdc8
Bird, MEX, 1a04d845-16b4-4683-8983-83c0e8a91628, 81, 11690, No update data, 9g3qx2ttczqy
Bird, MEX, 743c80d5-fba2-4ed4-aab8-afc4538aed68, 20, 1503, No update data, 9g3qx2kcj1k9
Bird, MEX, b8f85bba-abd3-4423-84bd-6c616112441e, 55, 7348, No update data, 9g3qx2ttv2rc
Bird, MEX, 6dd9e2d7-a065-407f-8454-adc02e1298da, 91, 13360, No update data, 9g3qx2ttv3pz
Bird, MEX, c75ea55e-31b7-42e1-8d7e-37ca7b941116, 58, 7849, No update data, 9g3qx2ttw43k
Bird, MEX, 358fb73e-562f-4f49-afc7-f4d2c743030c, 52, 6478, No update data, 9g3qx2hxu6y2
Bird, MEX, 1c627822-fe49-448e-95c5-00370cd88fff, 55, 7348, No update data, 9g3qx2m1799t
Bird, MEX, 97416225-82ba-4ca0-b7e4-8e1e5a01b91b, 33, 3674, No update data, 9g3qx2ttqvtz
Bird, MEX, 7eeead15-b3ae-4dfc-8987-03df0fe60872, 57, 7682, No update data, 9g3qx2ttykk6
Bird, MEX, 5d85c395-a2c3-4e49-9414-4f68f23bfb2e, 89, 13026, No update data, 9g3qx2ttrkrr
Bird, MEX, 60e960c2-e3b4-4d4f-983f-59a3c2074e9d, 15, 668, No update data, 9g3qx2ttrb4k
Bird, MEX, e8db8f59-70ca-45ef-88e2-e4d59b4bcff0, 90, 13193, No update data, 9g3qx2tubdbb
Bird, MEX, 149dd0ac-2f3d-491f-ad55-a4b235ee891c, 65, 8532, No update data, 9g3qx2m1w8zd
Bird, MEX, 96770806-a4c7-483d-b7b1-7d23756afd0f, 63, 8684, No update data, 9g3qx2tu9ees
Bird, MEX, 2a1215a9-d580-4b85-9d7a-e316109f7931, 49, 6346, No update data, 9g3qx2hzy3hq
Bird, MEX, d1e108d5-cf6a-4543-80d4-f2171d5a2f1f, 18, 1169, No update data, 9g3qx2tu70b2
Bird, MEX, 98b73a9d-abbe-49f9-8f75-2773560c76ce, 98, 13746, No update data, 9g3qx25w4q3b
Bird, MEX, d366cbe4-e659-4867-ac04-497b4e24f700, 92, 12798, No update data, 9g3qx2wn6dm4
Bird, MEX, 3d94f1d0-97de-45f1-a81b-9859740c13ad, 51, 6320, No update data, 9g3qx2hh7d9e
Bird, MEX, 07ab928b-9892-4dd9-b3cb-d214bacc85c4, 64, 8374, No update data, 9g3qx2jjv7xy
Bird, MEX, 3b993380-e438-485d-bedf-fe2863fb803e, 93, 12956, No update data, 9g3qx25urhkp
Bird, MEX, 949ac7e9-2e36-439e-a0e3-f76b8cf9bf10, 88, 12166, No update data, 9g3qx26t0jts
Bird, MEX, 755f91ca-3e3c-4ef5-b588-a49a06cb9b61, 89, 12324, No update data, 9g3qx2h5gq5m
Bird, MEX, be104209-46e2-4927-9e95-4236b31ed02d, 75, 10688, No update data, 9g3qx2h5sxk6
Bird, MEX, c5286ece-5d2f-46e8-a9c1-8cf32bb9d7eb, 90, 12482, No update data, 9g3qx2dqsxk7
Bird, MEX, dfee74d2-661e-44ca-9398-b31b5fffc40d, 93, 12956, No update data, 9g3qx26mmkpv
Bird, MEX, f8c45f13-ad29-48e3-8899-c51f87e979d3, 69, 6844, No update data, 9g3qx25gcwg9
Bird, MEX, 9f1b4fd5-a49e-46c1-815f-94ec9f445bdf, 93, 12956, No update data, 9g3qx2h58snz
Bird, MEX, 7974228b-748e-4ce0-acf0-0c07c4908c14, 89, 13026, No update data, 9g3qx2h5qwds
Bird, MEX, 8fa447b8-51bd-497f-b59a-9111c5ff6cdb, 93, 12956, No update data, 9g3qx2h57pys
Bird, MEX, 18b1e6f9-e9dc-4269-b766-1f409d65c4ee, 89, 13026, No update data, 9g3qx2h52p28
Bird, MEX, 0880a21c-93e4-4e0e-bdf8-417f7f3f5c23, 88, 12859, No update data, 9g3qx2h57h0m
Bird, MEX, 35867891-ad77-4cf0-befd-d8e1640d42ad, 89, 13026, No update data, 9g3qx25grwun
Bird, MEX, 918119e4-c497-4ad9-9875-f45beb90dc3f, 52, 6847, No update data, 9g3qx2y0mkfc
Bird, MEX, e0d6e24d-8fe4-4b85-903f-4ec581a51fcc, 61, 7900, No update data, 9g3qx2qhm4ut
Bird, MEX, 3e296a7b-0dec-4955-8749-76876a76ae1d, 63, 8684, No update data, 9g3qx2fvuypw
Bird, MEX, 08a5867f-6345-4c8c-9870-61487c1343bc, 74, 10521, No update data, 9g3qx2wrb0m9
Bird, MEX, 19bfde22-cb56-48fe-9b3e-ed5f1e3fce70, 61, 8350, No update data, 9g3qx25jjxw0
Bird, MEX, b96e0327-1eda-40dc-8df5-616d5a0869b4, 93, 12956, No update data, 9g3qx2h4u6qq
Bird, MEX, 5768e9c4-2ade-45a7-aad7-c81c608861d1, 96, 14195, No update data, 9g3qx2dq26gt
Bird, MEX, 9fab3fe4-26aa-49d3-a36f-163b5b10cd93, 82, 11218, No update data, 9g3qx25jjtn0
Bird, MEX, 7f4ca622-92db-4d06-b32b-2732cd88e5db, 92, 12798, No update data, 9g3qx2drcbq9
Bird, MEX, 94477dd0-27ca-4732-8087-10a703326761, 76, 10855, No update data, 9g3qx2wr5re8
Bird, MEX, 3358d608-0862-4bd2-bb3b-5d5dfeb77a31, 89, 13026, No update data, 9g3qx2wrk624
Bird, MEX, e16e80c6-4108-42cf-9d9f-c64e4fc0dea0, 64, 8851, No update data, 9g3qx2wrhvzy
Bird, MEX, 76d59b45-ccfe-47e4-addd-95a68fa730f4, 24, 2171, No update data, 9g3qx2wrku1t
Bird, MEX, b95ff39c-6983-4f89-a8c4-e9c3c255b5a4, 44, 5511, No update data, 9g3qx2wrkyrg
Bird, MEX, 0b8ea84b-a83a-4ed3-ad76-271301ca6c72, 48, 5846, No update data, 9g3qx2j7gvhz
Bird, MEX, a1e7bf1a-b339-436d-bcde-474cf079c37e, 92, 12798, No update data, 9g3qx26hm1ke
Bird, MEX, 36930ce4-ff02-4a05-bd94-35e3a3eb3618, 93, 12956, No update data, 9g3qx26hu62n
Bird, MEX, fa4b83d2-8a35-4e9b-91e4-7fe8f1831641, 93, 12956, No update data, 9g3qx26hu0e5
Bird, MEX, ae695be3-0075-4edb-a83a-94c3639e67f3, 93, 12956, No update data, 9g3qx265uqy1
Bird, MEX, 7f4044d5-f365-4c18-babc-90d4a763771f, 46, 5845, No update data, 9g3qx26h7qkd
Bird, MEX, 41be6249-b83c-4b11-9f93-28c1072a63b8, 75, 10688, No update data, 9g3qx3jbc1d1
Bird, MEX, a598aa4a-432c-4d80-ac63-9cce5acecc2e, 64, 8851, No update data, 9g3qx2y8d34h
Bird, MEX, 43d9c69a-545c-4927-8e97-230367b8c13b, 39, 4676, No update data, 9g3qx2f10zg4
Bird, MEX, 3d5bb277-0baa-4567-8d7e-2f1e978d3b4c, 97, 14362, No update data, 9g3qx2ym1dz5
Bird, MEX, 9f23ec7c-9545-4567-8cb2-9f519b0ea12e, 99, 14696, No update data, 9g3qx2ykgnw8
Bird, MEX, 24614693-b33c-435a-a697-c6f698a39bb0, 99, 14696, No update data, 9g3qx2ym4fg7
Bird, MEX, c4ba7ad0-c91a-4885-a024-2d881a184e71, 87, 12008, No update data, 9g3qrrurfbe6
Bird, MEX, a9aed472-190e-4052-9a74-511fce67a145, 96, 14195, No update data, 9g3qx2ym581f
Bird, MEX, 9addfaad-3210-42cc-95ef-73fdc32e64fa, 94, 13114, No update data, 9g3qx34c2wbx
Bird, MEX, e1a0a659-da4b-4179-a762-39837368c442, 57, 7682, No update data, 9g3qrrurdge7
Bird, MEX, 487fdc36-4359-403c-a1c2-9f1ca3a0b620, 88, 12166, No update data, 9g3qx34f55b3
Bird, MEX, e4a481b4-f2bd-4f91-b04a-03c09aeac3aa, 81, 11690, No update data, 9g3qx2junmk6
Bird, MEX, c4cc9f40-3465-4c8e-ad7d-9c4576b83dee, 88, 12166, No update data, 9g3qx29v1m02
Bird, MEX, 3b19a885-f72b-431e-b13b-4f7ba505fa9a, 81, 11060, No update data, 9g3qx24fses7
Bird, MEX, 341d8c0f-dbdf-49e4-91ad-39323816642c, 73, 10354, No update data, 9g3qx3je1qbm
Bird, MEX, d2b92387-ff28-4be1-87af-00dac8236dc8, 96, 13430, No update data, 9g3qx342m9ty
