Bird, MEX, dfee74d2-661e-44ca-9398-b31b5fffc40d, 93, 12956, No update data, 9g3qx26kxxup
Bird, MEX, 755f91ca-3e3c-4ef5-b588-a49a06cb9b61, 88, 12166, No update data, 9g3qx2h5v2zu
Bird, MEX, 8fa447b8-51bd-497f-b59a-9111c5ff6cdb, 93, 12956, No update data, 9g3qx2h5v2df
Bird, MEX, 3e296a7b-0dec-4955-8749-76876a76ae1d, 62, 8517, No update data, 9g3qx2gn605s
Bird, MEX, 3b993380-e438-485d-bedf-fe2863fb803e, 93, 12956, No update data, 9g3qx2h5tbu6
Bird, MEX, 35867891-ad77-4cf0-befd-d8e1640d42ad, 88, 12859, No update data, 9g3qx2h5kyzw
Bird, MEX, 7974228b-748e-4ce0-acf0-0c07c4908c14, 89, 13026, No update data, 9g3qx2h5jmdu
Bird, MEX, e0d6e24d-8fe4-4b85-903f-4ec581a51fcc, 61, 7900, No update data, 9g3qx2qhtvkr
Bird, MEX, b96e0327-1eda-40dc-8df5-616d5a0869b4, 92, 12798, No update data, 9g3qx2h55m52
Bird, MEX, 7f4ca622-92db-4d06-b32b-2732cd88e5db, 92, 12798, No update data, 9g3qx2dr4xt0
Bird, MEX, 18b1e6f9-e9dc-4269-b766-1f409d65c4ee, 88, 12859, No update data, 9g3qx2h5j2fz
Bird, MEX, 07ab928b-9892-4dd9-b3cb-d214bacc85c4, 64, 8374, No update data, 9g3qx2jhrr94
Bird, MEX, c5286ece-5d2f-46e8-a9c1-8cf32bb9d7eb, 90, 12482, No update data, 9g3qx2dqcq82
Bird, MEX, 19bfde22-cb56-48fe-9b3e-ed5f1e3fce70, 60, 8183, No update data, 9g3qx25jncmc
Bird, MEX, 0880a21c-93e4-4e0e-bdf8-417f7f3f5c23, 88, 12859, No update data, 9g3qx2h4f73u
Bird, MEX, 9f1b4fd5-a49e-46c1-815f-94ec9f445bdf, 93, 12956, No update data, 9g3qx2h4c78q
Bird, MEX, 5768e9c4-2ade-45a7-aad7-c81c608861d1, 94, 13861, No update data, 9g3qx2dq20js
Bird, MEX, 08a5867f-6345-4c8c-9870-61487c1343bc, 73, 10354, No update data, 9g3qx2wr7jne
Bird, MEX, 76d59b45-ccfe-47e4-addd-95a68fa730f4, 22, 1837, No update data, 9g3qx2wqsrq7
Bird, MEX, 3358d608-0862-4bd2-bb3b-5d5dfeb77a31, 88, 12859, No update data, 9g3qx2wqueeq
Bird, MEX, 7f4044d5-f365-4c18-babc-90d4a763771f, 45, 5678, No update data, 9g3qx26k8ht9
Bird, MEX, e16e80c6-4108-42cf-9d9f-c64e4fc0dea0, 63, 8684, No update data, 9g3qx2wqv64v
Bird, MEX, 94477dd0-27ca-4732-8087-10a703326761, 75, 10688, No update data, 9g3qx2wqtqrv
Bird, MEX, 36930ce4-ff02-4a05-bd94-35e3a3eb3618, 92, 12798, No update data, 9g3qx26htq6v
Bird, MEX, a9aed472-190e-4052-9a74-511fce67a145, 94, 13861, No update data, 9g3qx2yhj2pf
Bird, MEX, 41be6249-b83c-4b11-9f93-28c1072a63b8, 74, 10521, No update data, 9g3qx3j8nyvu
Bird, MEX, 0b8ea84b-a83a-4ed3-ad76-271301ca6c72, 48, 5846, No update data, 9g3qx2j7q9dt
Bird, MEX, a1e7bf1a-b339-436d-bcde-474cf079c37e, 92, 12798, No update data, 9g3qx26he1nk
Bird, MEX, fa4b83d2-8a35-4e9b-91e4-7fe8f1831641, 93, 12956, No update data, 9g3qx26h5py6
Bird, MEX, ae695be3-0075-4edb-a83a-94c3639e67f3, 92, 12798, No update data, 9g3qx26hckm6
Bird, MEX, 9f23ec7c-9545-4567-8cb2-9f519b0ea12e, 99, 14696, No update data, 9g3qx2ykbyhn
Bird, MEX, e4a481b4-f2bd-4f91-b04a-03c09aeac3aa, 80, 11523, No update data, 9g3qx2jvqbjg
Bird, MEX, 43d9c69a-545c-4927-8e97-230367b8c13b, 39, 4676, No update data, 9g3qx2f10zg4
Bird, MEX, a598aa4a-432c-4d80-ac63-9cce5acecc2e, 63, 8684, No update data, 9g3qx2y997m6
Bird, MEX, 3d5bb277-0baa-4567-8d7e-2f1e978d3b4c, 97, 14362, No update data, 9g3qx2ym1dz5
Bird, MEX, 9addfaad-3210-42cc-95ef-73fdc32e64fa, 93, 12956, No update data, 9g3qx34c6578
Bird, MEX, e1a0a659-da4b-4179-a762-39837368c442, 56, 7515, No update data, 9g3qrruru4g0
Bird, MEX, c4cc9f40-3465-4c8e-ad7d-9c4576b83dee, 87, 12008, No update data, 9g3qx29ufdb0
Bird, MEX, 487fdc36-4359-403c-a1c2-9f1ca3a0b620, 87, 12008, No update data, 9g3qx34fhuxx
Bird, MEX, 3b19a885-f72b-431e-b13b-4f7ba505fa9a, 81, 11060, No update data, 9g3qx25417v2
Bird, MEX, c4ba7ad0-c91a-4885-a024-2d881a184e71, 87, 12008, No update data, 9g3qrrurs15h
