Bird, MEX, 9cbb5bc6-435e-475e-ae6b-c3c28a3fa722, 98, 13746, No update data, 9g3qx2v0hzx8
Bird, MEX, 76f334b3-e3da-4e00-a374-68aae88d581e, 75, 10688, No update data, 9g3qx2e0uz3m
Bird, MEX, d329a88f-7fb3-4252-8abd-55be08016c64, 92, 13527, No update data, 9g3qx2v0phkj
Bird, MEX, 683b932a-0d00-4706-a621-ea4bfa7b5a62, 97, 14362, No update data, 9g3qx2v1hpe0
Bird, MEX, 20bbfe0f-b05e-4842-8017-58a6553799dd, 93, 13694, No update data, 9g3qx27kfe8n
Bird, MEX, 6dc2275b-02d4-4902-9c46-144ecc498796, 97, 14362, No update data, 9g3qx27hz2zh
Bird, MEX, 256af419-438e-4c4a-b535-b9b2d3a74560, 22, 1738, No update data, 9g3qx2v30fgg
Bird, MEX, b98a4bbf-fa45-4f91-9975-26d8353d3b6a, 97, 14362, No update data, 9g3qx2v1ww4e
Bird, MEX, 7d72a734-1c8e-44bb-8b6f-1202f11134d3, 83, 11376, No update data, 9g3qx2dgt6xy
Bird, MEX, 06165ad8-ea8d-4ac7-866b-5d354dec96c7, 30, 3173, No update data, 9g3qx2m19jf1
Bird, MEX, c67699bb-7170-435b-acb0-4b9059654e07, 63, 8216, No update data, 9g3qx27hksu3
Bird, MEX, 158e2508-a088-4723-b0c8-489865d40848, 100, 14863, No update data, 9g3qx278uf9k
Bird, MEX, 5ab3824d-f530-4046-8c69-5ea30fc9ce22, 72, 10187, No update data, 9g3qx2ttqkhm
Bird, MEX, 5cb4cf8d-a2d1-46c0-83a4-559414133c5d, 84, 12191, No update data, 9g3qx2tubuun
Bird, MEX, 580a505c-9885-4d97-a7c4-5a4e9bb7c8d4, 44, 5214, No update data, 9g3qx2tv0tp0
Bird, MEX, 6f1933b3-9d51-4228-b3b5-c02d8ad284ce, 63, 8216, No update data, 9g3qx2g4y031
Bird, MEX, 830dc278-a8c0-420d-8a73-f9fbe8d2f4d6, 72, 10187, No update data, 9g3qx2me07gb
Bird, MEX, b347d60b-82ed-4762-8e03-c991091c7fff, 80, 11523, No update data, 9g3qx26wx62u
Bird, MEX, 435a3487-2b15-47a7-af99-0e1b2beaf0bf, 72, 10187, No update data, 9g3qx2gwh3ym
Bird, MEX, e68aa173-fd2c-4c3a-a30b-8077b8e77764, 43, 5344, No update data, 9g3qx2dsusk6
Bird, MEX, a6e5ae3b-cdf8-4300-b70b-0ae889f5e680, 49, 6004, No update data, 9g3qx2uwvqzf
Bird, MEX, 997e7973-5a29-4db6-ac84-68aa930a99f9, 93, 13694, No update data, 9g3qx2tvqdft
Bird, MEX, 555150d1-96e8-49a7-b12f-9771a82641da, 94, 13861, No update data, 9g3qx2tzn9ft
Bird, MEX, 7f45aa9b-162a-45e0-b0bb-e20e716d4c91, 87, 12692, No update data, 9g3qx2vc5cuv
Bird, MEX, efcf24a2-9996-4559-842b-c8cd6d076d8f, 93, 13694, No update data, 9g3qx2vbt5kd
Bird, MEX, 026a3443-7463-4561-8b94-40f81a7d5585, 40, 4582, No update data, 9g3qx2gh3rt7
Bird, MEX, 19421a37-328d-419b-ae15-1fd7ff34de7c, 97, 14362, No update data, 9g3qx2vc7ykg
Bird, MEX, d696029f-bce1-4093-8a16-7fbb6385ff4b, 34, 3841, No update data, 9g3qx2muqncq
Bird, MEX, 1870b9ff-0d74-47be-bf9c-edd054a07089, 64, 6254, No update data, 9g3qx2wp9f0d
Bird, MEX, 3fc8ac56-09dd-436a-a87b-ce7baa509d26, 93, 13694, No update data, 9g3qx2vbzm30
Bird, MEX, 98b73a9d-abbe-49f9-8f75-2773560c76ce, 99, 13904, No update data, 9g3qx2h5g3e2
Bird, MEX, fe329baf-bbfe-4cbe-b652-da72029ab2a3, 61, 8350, No update data, 9g3qx2h5enwx
Bird, MEX, 8719204a-54a0-4b61-8c9e-7d192c6679d5, 61, 8350, No update data, 9g3qx2drvm6b
Bird, MEX, 72e4b636-06ec-449c-b189-197fe291ae27, 97, 13588, No update data, 9g3qx26mjjuw
