Bird, MEX, 231cc8f7-fe60-4162-ba58-c2a5334c1c0f, 97, 13588, No update data, 9g3qx23pgn80
Bird, MEX, 42f65879-1bc3-4d84-96c2-5a32cae52259, 96, 13430, No update data, 9g3qx294f0uv
Bird, MEX, d27c6162-2656-4c21-b8d2-16f210d8d32e, 94, 13114, No update data, 9g3qx23p3u0m
Bird, MEX, 09458811-7896-40fa-9ac1-6186f561896c, 93, 12956, No update data, 9g3qx3k7wzmu
Bird, MEX, cddf1b28-4863-4c52-a305-811b2c47c640, 99, 13904, No update data, 9g3qx21rb2ed
Bird, MEX, 4568dccb-1d47-46a5-b355-738704fd1ab0, 96, 13430, No update data, 9g3qx231sy5e
Bird, MEX, 620f49a6-c72c-4e49-942e-2743eade2002, 91, 12640, No update data, 9g3qx21mmhu9
Bird, MEX, 5e0012f4-cf1b-496f-8e47-337dd9dbf496, 90, 12482, No update data, 9g3qx21mkf97
Bird, MEX, 143d0a31-d8f4-4ad8-9b34-8446412ad3a4, 100, 14062, No update data, 9g3qx21qc1f4
Bird, MEX, c214602d-d67c-4b09-ba99-34b2d47493b0, 98, 13746, No update data, 9g3qx21pvkrd
Bird, MEX, 1a108a8c-4379-452a-b475-670a843ee147, 100, 14062, No update data, 9g3qx21pqhrr
Bird, MEX, 7b5ad11d-ad48-4430-818e-5de19fa666b8, 96, 13430, No update data, 9g3qx21mch64
Bird, MEX, c662786d-854d-47c0-968a-b15b122a522f, 67, 8848, No update data, 9g3qx2xsz6pm
Bird, MEX, ae02b51b-123a-4953-b879-ccdd4f8d7c0c, 91, 13360, No update data, 9g3qx2zrcu2d
Bird, MEX, 334d37ea-4ca1-4106-95ba-3dae5b1e6380, 90, 12482, No update data, 9g3qx2zqnhrt
Bird, MEX, dc0b8a8f-1204-481d-88fd-f3f8719f4180, 99, 13904, No update data, 9g3qx21p589t
Bird, MEX, f4cd312d-b1ab-4ccc-840f-b064e4d82842, 60, 8183, No update data, 9g3qx2zrkegk
Bird, MEX, db1c2d5e-da0d-4cf8-8ef9-6faa76b0e819, 88, 12859, No update data, 9g3qx2zt1vnc
Bird, MEX, 15b2d61a-a693-4026-9a75-83a6c6e7c57d, 94, 13114, No update data, 9g3qx21ne585
Bird, MEX, 63da3376-1319-4d90-826b-e97b58a1183d, 96, 13430, No update data, 9g3qx21n7nbn
Bird, MEX, ac90b4f8-4ec5-4ed2-bb64-605c07442409, 94, 13114, No update data, 9g3qx2zsgp0k
Bird, MEX, 32abc7f8-b895-4a02-9e42-be22720f51a2, 84, 11534, No update data, 9g3qx21nd73c
Bird, MEX, 43c9da9c-a738-402f-a081-1b3aa20ae5f9, 82, 11857, No update data, 9g3qx3p2skbh
Bird, MEX, 85c08534-d42f-4372-921e-8f780aca6702, 17, 948, No update data, 9g3qx2zte0nx
Bird, MEX, 667da35d-8345-4402-9ed3-23f1f5f80543, 90, 13193, No update data, 9g3qx21ht0ud
Bird, MEX, 30a9bd45-450f-4339-934e-e907cd7e21ef, 49, 6004, No update data, 9g3qx3p2tdn4
Bird, MEX, 5f1a3923-fd37-49e2-89ab-06edd06985b9, 90, 13193, No update data, 9g3qx3p2nyvu
Bird, MEX, 9f1b065e-3c51-4d61-a3a9-0794da215166, 91, 12640, No update data, 9g3qx2ztjqzu
Bird, MEX, 8ebb8a6c-da37-47ae-96af-b4a147589787, 87, 12692, No update data, 9g3qx2bf8wng
Bird, MEX, 45140a98-0b34-4367-96e9-1a90cd0caa58, 91, 12640, No update data, 9g3qx2zsywx8
Bird, MEX, 09b4b3b1-fb6a-4e2b-a65c-cb1e43f092da, 91, 13360, No update data, 9g3qx215ge9w
