Bird, MEX, 96770806-a4c7-483d-b7b1-7d23756afd0f, 64, 8851, No update data, 9g3qx2tsnmsk
Bird, MEX, 2a1215a9-d580-4b85-9d7a-e316109f7931, 51, 6680, No update data, 9g3qx2kbv76u
Bird, MEX, b8f85bba-abd3-4423-84bd-6c616112441e, 55, 7348, No update data, 9g3qx2tsy1c7
Bird, MEX, 71789112-136a-493f-82fa-ed2c047a7e3d, 75, 10688, No update data, 9g3qx2791sew
Bird, MEX, 97416225-82ba-4ca0-b7e4-8e1e5a01b91b, 34, 3841, No update data, 9g3qx2tsx3rq
Bird, MEX, 3e1f505f-454d-4187-915c-749cb9551052, 48, 5846, No update data, 9g3qx2tsreu5
Bird, MEX, 1a04d845-16b4-4683-8983-83c0e8a91628, 82, 11857, No update data, 9g3qx2tszm94
Bird, MEX, 1c627822-fe49-448e-95c5-00370cd88fff, 56, 7515, No update data, 9g3qx2m17ckg
Bird, MEX, 743c80d5-fba2-4ed4-aab8-afc4538aed68, 21, 1670, No update data, 9g3qx2kb5m7d
Bird, MEX, 60e960c2-e3b4-4d4f-983f-59a3c2074e9d, 16, 835, No update data, 9g3qx2tub0m9
Bird, MEX, 7eeead15-b3ae-4dfc-8987-03df0fe60872, 60, 8183, No update data, 9g3qx2tub5ms
Bird, MEX, b0d6ceb4-7b56-4d83-b49d-93af169b56cb, 42, 4898, No update data, 9g3qx2tv02ev
Bird, MEX, c75ea55e-31b7-42e1-8d7e-37ca7b941116, 60, 8183, No update data, 9g3qx2tucn4n
Bird, MEX, e8db8f59-70ca-45ef-88e2-e4d59b4bcff0, 91, 13360, No update data, 9g3qx2tv13vm
Bird, MEX, 4cd9a4b1-bb6b-43c3-9893-f0552ebcdccb, 67, 9352, No update data, 9g3qx2tv914h
Bird, MEX, d1e108d5-cf6a-4543-80d4-f2171d5a2f1f, 20, 1503, No update data, 9g3qx2tu473z
Bird, MEX, 5d85c395-a2c3-4e49-9414-4f68f23bfb2e, 90, 13193, No update data, 9g3qx2tucv28
Bird, MEX, 733f9052-a32c-42d4-a7ae-38ad3a95d349, 55, 7348, No update data, 9g3qx2tufngf
Bird, MEX, 0ab648e4-4bf4-4714-8d1d-1ee61e6138f5, 53, 7014, No update data, 9g3qx2hqseut
Bird, MEX, 6dd9e2d7-a065-407f-8454-adc02e1298da, 91, 13360, No update data, 9g3qx2tug8xg
Bird, MEX, fa81d126-c04a-40e3-99cd-e99375d99453, 90, 9322, No update data, 9g3qx2tye3g8
Bird, MEX, 65823530-8a00-4741-9674-7a98d49654ac, 88, 12859, No update data, 9g3qx2ty7vsz
Bird, MEX, d366cbe4-e659-4867-ac04-497b4e24f700, 92, 12798, No update data, 9g3qx2wnbtzh
Bird, MEX, dfee74d2-661e-44ca-9398-b31b5fffc40d, 94, 13114, No update data, 9g3qx26w2b5u
Bird, MEX, 3d94f1d0-97de-45f1-a81b-9859740c13ad, 51, 6320, No update data, 9g3qx25umysk
Bird, MEX, 179070f4-e24c-4b7e-aeeb-9b862ff9f7de, 53, 6636, No update data, 9g3qx26f050s
Bird, MEX, 918119e4-c497-4ad9-9875-f45beb90dc3f, 53, 7014, No update data, 9g3qx2wneykv
Bird, MEX, 3e296a7b-0dec-4955-8749-76876a76ae1d, 64, 8851, No update data, 9g3qx2gj865f
