Bird, MEX, 179070f4-e24c-4b7e-aeeb-9b862ff9f7de, 56, 7110, No update data, 9g3qx26f6hg9
Bird, MEX, d4084c5a-2e75-4ae7-b2e5-f6023a43e087, 78, 11189, No update data, 9g3qx26fb9bd
Bird, MEX, 3d94f1d0-97de-45f1-a81b-9859740c13ad, 53, 6636, No update data, 9g3qx2hhcc0w
Bird, MEX, 7b98f27b-f71b-45a3-90e3-9f6303e504cd, 75, 10112, No update data, 9g3qx26emck5
Bird, MEX, dfee74d2-661e-44ca-9398-b31b5fffc40d, 97, 13588, No update data, 9g3qx26w00bx
Bird, MEX, be104209-46e2-4927-9e95-4236b31ed02d, 80, 11523, No update data, 9g3qx2hhp4hn
Bird, MEX, 35867891-ad77-4cf0-befd-d8e1640d42ad, 93, 13694, No update data, 9g3qx2h7cpdp
Bird, MEX, 63b2791f-ec0a-4936-8210-5a7a1862b646, 97, 13588, No update data, 9g3qx2h7bkgv
Bird, MEX, 9f1b4fd5-a49e-46c1-815f-94ec9f445bdf, 96, 13430, No update data, 9g3qx2h5wxzw
Bird, MEX, b96e0327-1eda-40dc-8df5-616d5a0869b4, 96, 13430, No update data, 9g3qx2h5u0e4
Bird, MEX, 3b993380-e438-485d-bedf-fe2863fb803e, 97, 13588, No update data, 9g3qx2h5sz36
Bird, MEX, f8c45f13-ad29-48e3-8899-c51f87e979d3, 72, 7198, No update data, 9g3qx2h5wwrt
Bird, MEX, 7974228b-748e-4ce0-acf0-0c07c4908c14, 93, 13694, No update data, 9g3qx2h5w8zd
Bird, MEX, 18b1e6f9-e9dc-4269-b766-1f409d65c4ee, 92, 13527, No update data, 9g3qx2h5kkb0
Bird, MEX, 9563d372-9550-4d3b-ae34-8e7716e1d5da, 74, 9954, No update data, 9g3qx2jm3461
Bird, MEX, 755f91ca-3e3c-4ef5-b588-a49a06cb9b61, 91, 12640, No update data, 9g3qx2h5m3dv
Bird, MEX, f3ed5b06-a395-43fe-bc44-1920f82ecaa4, 90, 12482, No update data, 9g3qx2h564gt
Bird, MEX, 2a2cedb4-0e25-49fd-85f6-cf3896f94415, 84, 12191, No update data, 9g3qx2h5k8sr
Bird, MEX, 8fa447b8-51bd-497f-b59a-9111c5ff6cdb, 96, 13430, No update data, 9g3qx2h5pjun
Bird, MEX, 0880a21c-93e4-4e0e-bdf8-417f7f3f5c23, 92, 13527, No update data, 9g3qx2h5ntds
Bird, MEX, 6b34939e-2400-416b-92f1-05fd29be2d6c, 54, 7181, No update data, 9g3qx2h54vgq
Bird, MEX, a1e7bf1a-b339-436d-bcde-474cf079c37e, 96, 13430, No update data, 9g3qx26khccm
Bird, MEX, ae695be3-0075-4edb-a83a-94c3639e67f3, 97, 13588, No update data, 9g3qx26kk471
Bird, MEX, 07ab928b-9892-4dd9-b3cb-d214bacc85c4, 66, 8690, No update data, 9g3qx2jmhy38
Bird, MEX, 9fab3fe4-26aa-49d3-a36f-163b5b10cd93, 84, 11534, No update data, 9g3qx25jp0h1
Bird, MEX, d89cc7f4-3788-495d-9319-3c8e34a87023, 26, 2505, No update data, 9g3qx25ebcgf
Bird, MEX, 6c0ae517-27f9-4ba5-ae48-210216ecff43, 16, 835, No update data, 9g3qx25j799t
Bird, MEX, e0d6e24d-8fe4-4b85-903f-4ec581a51fcc, 63, 8216, No update data, 9g3qx2q7bjvs
Bird, MEX, f6b2586a-6453-4c54-b24f-c08eeb1fbed8, 92, 13527, No update data, 9g3qx2wrf7dn
Bird, MEX, 7f4ca622-92db-4d06-b32b-2732cd88e5db, 96, 13430, No update data, 9g3qx2dpn8fx
Bird, MEX, aff19b78-93ea-48fe-9b8b-4ec01d9b1690, 84, 12191, No update data, 9g3qx2wredpf
Bird, MEX, 00f9dca2-8d76-4012-b346-6ddc4c0cfa11, 91, 13360, No update data, 9g3qx2wrhw72
Bird, MEX, 7f4044d5-f365-4c18-babc-90d4a763771f, 51, 6680, No update data, 9g3qx26jp05c
Bird, MEX, 9690b2bf-f1ae-4ec7-85b7-40cdf32e19fc, 92, 13527, No update data, 9g3qx2yh3wgx
Bird, MEX, fa4b83d2-8a35-4e9b-91e4-7fe8f1831641, 97, 13588, No update data, 9g3qx26hrxs4
Bird, MEX, 3358d608-0862-4bd2-bb3b-5d5dfeb77a31, 93, 13694, No update data, 9g3qx2wrjnk8
Bird, MEX, 0b8ea84b-a83a-4ed3-ad76-271301ca6c72, 48, 5846, No update data, 9g3qx2jkj4hw
Bird, MEX, 36930ce4-ff02-4a05-bd94-35e3a3eb3618, 97, 13588, No update data, 9g3qx26hrjez
Bird, MEX, c5286ece-5d2f-46e8-a9c1-8cf32bb9d7eb, 92, 12798, No update data, 9g3qx2dph8h3
Bird, MEX, 163b0c32-177c-4520-ba3a-c409f4a78d96, 67, 9352, No update data, 9g3qx2wrmqzz
Bird, MEX, f85e2b05-fb47-4d67-88a9-64351c6c59d3, 73, 10354, No update data, 9g3qx25d3kjm
Bird, MEX, 94477dd0-27ca-4732-8087-10a703326761, 81, 11690, No update data, 9g3qx2wrrjh5
Bird, MEX, 4e7d1a0c-23c6-47b2-8ff2-bbf779f8e342, 88, 12859, No update data, 9g3qx2j7hmwk
Bird, MEX, 0fdf8c0d-b6c5-4bf1-9f00-9b2e81e63dd4, 70, 9322, No update data, 9g3qx2yhpjh1
Bird, MEX, 41f9e170-a5d0-4ace-bfe3-b1819f713df7, 30, 3173, No update data, 9g3qx2h9jr6z
Bird, MEX, 9d154c2c-cd2d-4811-92f4-9ce3d5ae4c53, 92, 13527, No update data, 9g3qx2y7b8r1
Bird, MEX, b2e3c829-5ace-41a0-a656-23f18e4fb866, 60, 8183, No update data, 9g3qx2wx3jp5
Bird, MEX, e4a481b4-f2bd-4f91-b04a-03c09aeac3aa, 84, 12191, No update data, 9g3qx2jvwqh7
Bird, MEX, 43d9c69a-545c-4927-8e97-230367b8c13b, 39, 4676, No update data, 9g3qx2f10zg4
Bird, MEX, 4b3ad5bf-564e-492f-979a-7286f89b6f18, 98, 13746, No update data, 9g3qx260pzd2
Bird, MEX, 5540a1e0-0b55-4c69-b500-6148378959c2, 62, 8517, No update data, 9g3qx34c34dh
Bird, MEX, 8a6d23f6-6a68-46fb-bc24-eca80669d5ce, 44, 5511, No update data, 9g3qx29g6net
Bird, MEX, c4ba7ad0-c91a-4885-a024-2d881a184e71, 89, 12324, No update data, 9g3qrrurfdb0
Bird, MEX, f862f0bd-6ca1-4a23-974c-e01457945100, 96, 13430, No update data, 9g3qx24pzy4m
Bird, MEX, e1a0a659-da4b-4179-a762-39837368c442, 61, 8350, No update data, 9g3qrrurfc5q
Bird, MEX, 202439d1-5dff-4af9-bed6-de3cf54c9926, 96, 14195, No update data, 9g3qx34c2yev
Bird, MEX, 9addfaad-3210-42cc-95ef-73fdc32e64fa, 97, 13588, No update data, 9g3qx349rkz1
Bird, MEX, d17a1ce0-59eb-42a7-b08d-9c261243cfa0, 97, 13588, No update data, 9g3qx24r2hv9
Bird, MEX, c4cc9f40-3465-4c8e-ad7d-9c4576b83dee, 90, 12482, No update data, 9g3qx29v08qg
Bird, MEX, 3b19a885-f72b-431e-b13b-4f7ba505fa9a, 83, 11376, No update data, 9g3qx251bjve
Bird, MEX, f002e574-1c16-4221-966c-46c3ebbcd75d, 35, 4008, No update data, 9g3qrrup0t2f
Bird, MEX, d2b92387-ff28-4be1-87af-00dac8236dc8, 98, 13746, No update data, 9g3qx342k600
Bird, MEX, 34764119-e9cf-406a-9ec9-7156730c7425, 79, 10744, No update data, 9g3qx3jet76f
Bird, MEX, ef7c3963-44d9-4f30-bb99-7613e4ea5b1c, 69, 9686, No update data, 9g3qx2fr2jje
Bird, MEX, 75830915-c9de-4e4c-8599-5f0c7b7969a9, 98, 13746, No update data, 9g3qx3427jwr
Bird, MEX, e2e785f5-4b4a-4b38-b2f0-bad6aea8cfcc, 42, 5177, No update data, 9g3qrrun3h6n
Bird, MEX, 64d7f118-619e-4b8e-9e3d-39d081cfba8a, 97, 13588, No update data, 9g3qx342e1nm
Bird, MEX, 5a96fdf9-b956-44d1-b27a-355002f1f59e, 27, 2672, No update data, 9g3qx2wyqbju
Bird, MEX, c77cf383-a3d5-4b83-aa43-8e52f26d1867, 54, 6794, No update data, 9g3qx2xjbxxp
Bird, MEX, 410548fc-5f80-4290-80f0-2c49630e956c, 88, 12166, No update data, 9g3qx21yz2bu
Bird, MEX, 2fc8ac1f-27f9-4fd6-b0a7-0bc8f014ed72, 82, 11857, No update data, 9g3qx23bcmt3
Bird, MEX, 635c87c7-4b59-4784-ad91-f89ac79623d3, 39, 4676, No update data, 9g3qx21zhvrd
Bird, MEX, 68405086-dcb8-467e-93c0-02f5b30cb889, 79, 10744, No update data, 9g3qx2nzbe2u
Bird, MEX, 7a244aa2-c9d2-4e3d-9807-2434242c2bb6, 39, 4424, No update data, 9g3qx2x5kvxz
Bird, MEX, 52eae0a5-4b44-46ce-abc0-a630dbb9ecce, 35, 4008, No update data, 9g3qx2qckv1e
Bird, MEX, a99b7599-eb75-4156-979d-edbfc3518a58, 82, 11857, No update data, 9g3qx21z3wek
Bird, MEX, c11ade85-8e1b-467c-80cc-c559b01f7118, 43, 5344, No update data, 9g3qx2xjw4rs
Bird, MEX, 8549d46d-f8e9-4e53-92db-c687da2e3f20, 29, 3006, No update data, 9g3qx21y6m3u
Bird, MEX, 946c22ac-59c8-418d-b20a-6974371c5421, 15, 668, No update data, 9g3qx2z4fb73
Bird, MEX, e9c6ddfa-dd5a-49fd-b66e-3be6ab3d6935, 92, 13527, No update data, 9g3qx2z4gg05
Bird, MEX, bde87002-da58-4b35-ada2-b72c598fa427, 60, 7742, No update data, 9g3qrrue6x84
Bird, MEX, cabadecb-6660-4c83-8910-902fa0f9109e, 84, 12191, No update data, 9g3qx2382twy
Bird, MEX, 26ed862c-b040-42aa-8d3b-d942b8998ab5, 93, 13694, No update data, 9g3qx2z4vsn0
Bird, MEX, b6d48655-113a-4fe3-836d-8f1b0f48cc23, 97, 13588, No update data, 9g3qx2z5sr8j
Bird, MEX, 63fdaf61-2b6c-4532-97ca-49fb7c969748, 48, 5846, No update data, 9g3qx2yzp214
Bird, MEX, 40dc89b0-44d3-4c07-878c-3962e0a4cdab, 57, 7682, No update data, 9g3qx2z687eu
Bird, MEX, dc8dba17-4285-46c5-8c88-cd9cbe3bbe33, 96, 14195, No update data, 9g3qx232dv7p
Bird, MEX, 4404df5a-fc9e-4aa8-9174-8359e49155db, 52, 6847, No update data, 9g3qx2r7ufc8
Bird, MEX, 1b96a21e-3f31-434a-b971-2d85c1d83fb5, 93, 13694, No update data, 9g3qx29417jm
Bird, MEX, d49d5ca8-b2be-49c1-bb76-542d534a6858, 93, 13694, No update data, 9g3qx2323zbk
Bird, MEX, 06660c44-a0df-4380-a7da-9b5f4da0a13d, 93, 13694, No update data, 9g3qx2323rbk
Bird, MEX, f862db05-d71a-4e77-a29e-0c15616b5266, 84, 12191, No update data, 9g3qx232bqg9
Bird, MEX, 672fa0bf-09d0-434f-a0b5-b783655c8f0c, 93, 12956, No update data, 9g3qx291b189
Bird, MEX, 9967c7f3-5080-4c77-95fe-adf404dc8135, 33, 3674, No update data, 9g3qx34h2qet
Bird, MEX, 36e136c3-c739-484d-b965-6efc76e3896a, 92, 12798, No update data, 9g3qx2z3w6ks
Bird, MEX, 93ce25a8-fc6b-4753-8dd2-112c3bab58be, 89, 13026, No update data, 9g3qx234uucq
Bird, MEX, 799b81c5-1bcf-474c-8856-a4c08b28d6a4, 42, 5177, No update data, 9g3qx2c5z15z
Bird, MEX, f32c8d18-17c7-4441-beba-a50a10891c4e, 93, 13694, No update data, 9g3qx230zff2
Bird, MEX, d9a4392b-a6be-4a6c-95b1-95b5937151e6, 96, 14195, No update data, 9g3qx2328n8x
Bird, MEX, ec970269-2f47-4dfd-80ad-a1ba33a97a1a, 56, 7515, No update data, 9g3qx2z82m7v
Bird, MEX, ad296b06-3371-48ac-a6ce-f772c7fbf666, 57, 7682, No update data, 9g3qx234j2p9
Bird, MEX, 4a6b8c91-3f88-4711-b0b8-9090f4415701, 96, 13430, No update data, 9g3qx21mqku3
Bird, MEX, a9308dfa-1e4d-4b19-a6b9-e708f49e0654, 90, 12482, No update data, 9g3qx21mq5z7
Bird, MEX, ca1f835a-93b4-4075-a803-5b1c3d935b15, 97, 13588, No update data, 9g3qx21mq5c5
Bird, MEX, 11076784-bad0-43d9-8cee-bc627650d4e4, 97, 13588, No update data, 9g3qx21mmuu1
Bird, MEX, 020ae21a-5192-412c-a151-8ed7d2c74b66, 76, 10855, No update data, 9g3qx3k7v0ut
Bird, MEX, e4a0c366-92be-48de-a432-6ddc2e67b8d7, 93, 13694, No update data, 9g3qx231jgkn
Bird, MEX, 35f9cf14-cdb8-4a9f-a3dd-4d064cc4a4f9, 96, 13430, No update data, 9g3qx21mmtty
Bird, MEX, cad27dc1-f7c6-4ecd-9509-e741272581fd, 94, 13114, No update data, 9g3qx21mmk4v
Bird, MEX, 1211cb12-5bdd-43ff-a6ce-6d4b4125b5f6, 92, 13527, No update data, 9g3qx231kccr
Bird, MEX, 10527a6c-0a45-4ab9-9bf4-5ddd689907d9, 79, 11356, No update data, 9g3qx22vybte
Bird, MEX, a4621ae1-cbdd-47d5-9dc4-f33b524134be, 74, 10521, No update data, 9g3qx28fuzxx
Bird, MEX, 90124454-41c3-4255-ac81-57eaf83e9575, 81, 11690, No update data, 9g3qx231k1xv
Bird, MEX, e6bc1e42-5762-414a-b087-26f042eab0f7, 92, 13527, No update data, 9g3qx231hnrb
Bird, MEX, 6ac284f6-46a4-436c-ac42-68ee645278bd, 43, 5056, No update data, 9g3qx2zd2xr1
Bird, MEX, 0275247e-d8a4-4354-9ea2-73d1af9a675c, 92, 12798, No update data, 9g3qx28fk0zb
