Bird, MEX, a2ae44e2-b2c4-4fc7-8689-da2b36e64f25, 55, 6952, No update data, 9g3qrmtzyjpt
Bird, MEX, 84261030-0cf3-4764-a8bb-897d59a84907, 97, 13588, No update data, 9g3qrme33kj6
Bird, MEX, 3a18eb2d-7dd8-4565-8646-4b4da6027b61, 98, 13746, No update data, 9g3qrkbfcc07
Bird, MEX, c3062cc0-7172-44de-ab72-7965acad3cda, 74, 10521, No update data, 9g3qrm10vhs8
Bird, MEX, 05f9e7c7-824d-40a1-9c66-9edc8c92232c, 88, 12859, No update data, 9g3qrkbg6jkc
Bird, MEX, bc95b9b5-41c7-44d4-ad12-b19bb6b4e9ca, 90, 13193, No update data, 9g3qrkbg1wg2
Bird, MEX, a45e2376-bae6-464e-93fc-54f587107b5e, 96, 13430, No update data, 9g3qrkbg3ktj
Bird, MEX, b7756413-1f85-4118-ac08-312d167ec621, 91, 12640, No update data, 9g3qrkbg3707
Bird, MEX, 8ef74fd7-320c-4b69-b109-8aecc3e02d1d, 91, 13360, No update data, 9g3qrkbg0ygb
Bird, MEX, 07f8f086-6582-41c7-907a-457cb8421770, 97, 13588, No update data, 9g3qrkbg3j61
Bird, MEX, e3b38db3-ee5a-4bc4-bff6-16b39874da5d, 85, 12358, No update data, 9g3qrmeuguhz
Bird, MEX, 697b1faa-17c7-4da9-9222-feaa21fb4dcd, 91, 13360, No update data, 9g3qrme4pq2z
Bird, MEX, c3d59c69-25b2-4fc2-94cd-2bf08cf0a4b2, 97, 13588, No update data, 9g3qrkbg2xb9
Bird, MEX, b728f775-67c9-4126-9d34-f5705ee759e7, 93, 12956, No update data, 9g3qrkberbdk
Bird, MEX, 6cdbf94a-2811-49f9-b7a6-d5d9111d6d1e, 67, 9352, No update data, 9g3qrmv311d0
Bird, MEX, 02728ac3-3d2c-4421-b502-91ab4d437fd2, 63, 8684, No update data, 9g3qrmsr54qw
Bird, MEX, 75efce8c-5b27-4c39-b6ca-a9d56788d4ce, 91, 13360, No update data, 9g3qrkbdseu6
Bird, MEX, 05cb93ee-a049-4bc3-9fe5-a49e2a9ac031, 97, 13588, No update data, 9g3qrkbejmff
Bird, MEX, 5b07c2c0-a805-445d-b168-01ac8898e484, 88, 12859, No update data, 9g3qrkbds0xy
Bird, MEX, 0185de75-6f72-4a1e-a7e9-697ed31ecb2a, 92, 12798, No update data, 9g3qrkbehb93
Bird, MEX, f115d5d5-9064-4746-b6d0-f2ba275bf468, 94, 13114, No update data, 9g3qrkbeh9hm
Bird, MEX, 62d22fd8-7a6b-4028-b99c-f79ab4379a91, 88, 12859, No update data, 9g3qrkbdu5xf
Bird, MEX, 7cbda187-c6d2-403b-a7c1-7330b2f1637e, 75, 10112, No update data, 9g3qrkbdujpu
Bird, MEX, 0bdc43b7-37db-4e7c-bcc3-fabad5644047, 93, 13694, No update data, 9g3qrkbdggsf
Bird, MEX, c778c986-3179-4aab-9f5d-15c22d28399e, 63, 8216, No update data, 9g3qrk0m3mt4
Bird, MEX, f5c47996-2a78-450a-9567-7ce5a17b205d, 70, 9853, No update data, 9g3qrtb869m3
Bird, MEX, 505736d9-6664-4789-9204-1e8e8c562d47, 78, 11189, No update data, 9g3qrmet9fbt
Bird, MEX, 84f7c2cc-aec3-450d-82ef-aa56ea0d568d, 42, 4898, No update data, 9g3qrmv711d0
Bird, MEX, 5fc0bd10-4a12-479e-82ca-c645c3e5d72e, 60, 7742, No update data, 9g3qrtc1n4z8
Bird, MEX, d05dbb3f-f822-413e-ba78-a5a19aceeee3, 47, 6012, No update data, 9g3qr78t8n28
Bird, MEX, c816d5e5-4c2d-4dd8-b47e-8c6fac498536, 56, 7110, No update data, 9g3qr78mx9k1
Bird, MEX, 8cee5050-07dd-4063-8e1d-f0aea9646a5c, 66, 9185, No update data, 9g3qrsm5s3qd
Bird, MEX, 43e8d849-2338-4730-bb96-e7dc26e05185, 81, 11060, No update data, 9g3qrmvmhz3t
Bird, MEX, c22abbef-2580-4cb0-a7cf-c9ac0f1ab2ad, 83, 11376, No update data, 9g3qrmgf8h2x
Bird, MEX, b7e4f6f7-f646-4288-a6a5-acdc449654f8, 92, 12798, No update data, 9g3qrkbn5sxg
Bird, MEX, 5e421af7-331e-4685-9b76-ae92936cf173, 75, 10688, No update data, 9g3qrkbnuc17
Bird, MEX, f74d898f-f41b-4339-88c9-44ad498d2e51, 89, 13026, No update data, 9g3qrmggm0ux
Bird, MEX, 62edfae9-c344-4128-87bc-b3b0b744f33e, 94, 13114, No update data, 9g3qrmgghrwr
Bird, MEX, a575fba4-a8fd-4919-a8fc-4f4d4f4480d1, 93, 12956, No update data, 9g3qrmvnjkrf
Bird, MEX, 4a21459e-4651-4cb8-abac-ca0444649bb6, 88, 12166, No update data, 9g3qrmvnrzx2
Bird, MEX, 9600e375-cc88-47e8-ae8a-0a709a12ad3c, 93, 12956, No update data, 9g3qrkbnc87r
Bird, MEX, abd3d66d-2dd6-480e-bc13-46f2f6543f88, 85, 11692, No update data, 9g3qrkbpgt1s
Bird, MEX, c4cb69d3-6686-4405-868e-341e6a96d092, 92, 13527, No update data, 9g3qrkbn89wu
Bird, MEX, 67a5f19f-7f1c-442a-aff8-ef61f87e46c3, 42, 5177, No update data, 9g3qrmuw4f5k
Bird, MEX, c2952232-7573-484c-b43f-d155f1b3e123, 29, 3006, No update data, 9g3qrmuw146n
Bird, MEX, b6ce23ba-b02a-4c4f-b3ae-7e3138a3a830, 60, 8183, No update data, 9g3qrst6hzqs
Bird, MEX, 59cc151f-86e7-4740-b9d2-8f46b0ec0071, 82, 11857, No update data, 9g3qrmuzxqr5
Bird, MEX, 624d3e1e-446f-470e-b2cd-29cdc08f16fc, 67, 9352, No update data, 9g3qrmuxk3bj
Bird, MEX, 9c646656-9a93-4cdd-8819-ab5917c469bf, 90, 13193, No update data, 9g3qrmgykc97
Bird, MEX, 42eb6ffe-5c0a-4d86-9901-ae791db06875, 39, 4676, No update data, 9g3qrhzxz2pj
Bird, MEX, 90dab376-b9e3-43b2-b895-8e987642a289, 46, 5845, No update data, 9g3qrtf3twbn
Bird, MEX, 3d27163d-c167-4d1e-a221-3f39a6be1ff5, 56, 7110, No update data, 9g3qrqh9jww0
Bird, MEX, 16878299-d9d2-4835-a576-ccf982494a10, 63, 8216, No update data, 9g3qrqh9jxqj
Bird, MEX, d29cdf36-7d57-4238-b096-6ee26c453775, 54, 7181, No update data, 9g3qrqh3ttwp
Bird, MEX, a34566e4-7310-4ebb-b810-341d25863e89, 57, 7682, No update data, 9g3qrtj6e0wz
Bird, MEX, 4d1ef2cb-310a-45af-9bb4-4c888cf64852, 39, 4676, No update data, 9g3qrqh1xqcn
Bird, MEX, 5f0db926-40b2-4f68-bfb9-aa1f1606d9f0, 40, 4843, No update data, 9g3qrtj6ebj5
Bird, MEX, 792a213e-a19f-41e4-9803-ff3d4322e87f, 87, 12008, No update data, 9g3qrtj6gewg
Bird, MEX, 784a059b-1f4c-44ff-bb26-2742a11f82de, 76, 10270, No update data, 9g3qrhxp68su
Bird, MEX, 18c0a958-c7ca-4bee-a663-5d6be9f13f40, 84, 12191, No update data, 9g3qrq5cdwbn
Bird, MEX, 840575bb-fadf-4d75-bb23-48a153606ade, 84, 12191, No update data, 9g3qrq5cbdnf
Bird, MEX, 35b4486c-ff0b-4406-88fc-9ab4b184251f, 89, 13026, No update data, 9g3qrqh541kt
Bird, MEX, 28039998-01c9-4a45-8db1-53438efa0677, 90, 13193, No update data, 9g3qrqh54hgw
Bird, MEX, 53c117e6-9625-4fcd-9422-3f20a87dbb4b, 74, 10521, No update data, 9g3qrqh57373
Bird, MEX, aac7ea9c-f3a6-41f3-8bdc-55a514a56ba6, 42, 5177, No update data, 9g3qrqh5k55j
Bird, MEX, 21b199c7-7b9f-4947-8256-d27fca698706, 20, 1503, No update data, 9g3w84jh01m5
Bird, MEX, beda15a6-2d74-40c0-804c-8a4f128c8507, 29, 2844, No update data, 9g3w81z143pb
Bird, MEX, a3c48a0d-54d8-4ada-a7ca-b959b112cf28, 27, 2528, No update data, 9g3qw7x158rn
Bird, MEX, ebbb297c-b860-4350-b536-09a4573b5fc1, 48, 5846, No update data, 9g3qws0s4sjq
Bird, MEX, a0bda7d3-8512-4441-9fcf-e2e1d87414b6, 21, 1670, No update data, 9g3qwe95tdy3
Bird, MEX, 5bf8317c-7125-4a42-bee4-ae140988804a, 26, 2505, No update data, 9g3qwe9c4smx
Bird, MEX, a1865f2d-ace6-4ede-8978-ee0024eaf4fa, 82, 11857, No update data, 9g3qw6qdz6x8
Bird, MEX, 7362a424-16ac-4415-885d-305e8306d1a6, 33, 3674, No update data, 9g3qw3wqzm33
Bird, MEX, 8102be1f-45b4-4465-be52-568b160301af, 36, 3950, No update data, 9g3qw0xtdc7q
Bird, MEX, b4f1781d-ec4e-44dd-a94c-0bf7ad4a745b, 45, 5372, No update data, 9g3qw0xew0c6
Bird, MEX, 9a9a12b3-0b29-4799-a9ba-d2da30068b6b, 28, 2839, No update data, 9g3qw0wdr6r3
Bird, MEX, b78ab452-89aa-4fda-9223-b07250b1d4d1, 60, 8183, No update data, 9g3qw2nppv6d
Bird, MEX, 5c5b085a-9041-4ab0-8ba5-f1042ccf00d7, 56, 7110, No update data, 9g3qqx8ue67g
Bird, MEX, 5f4e74db-7d2f-4113-af58-7017550f325d, 54, 6794, No update data, 9g3qqrkt9yqu
