Bird, MEX, 8d7471aa-4e32-447a-8e93-976f79b5b1fc, 42, 5177, No update data, 9g3qrjzbd98j
Bird, MEX, ea1b09ff-7d71-4bed-a59a-4c96d7ad2293, 80, 10902, No update data, 9g3qrmbxjqfc
Bird, MEX, a56a58da-4707-4746-beda-deaf1818496b, 53, 6636, No update data, 9g3qrjwwutu3
Bird, MEX, 6e9bbbb2-5c7f-42c3-807a-b3508491fd32, 38, 4509, No update data, 9g3qrnjwv36w
Bird, MEX, 8614de40-02ff-4eb3-973b-9ddb4018ae61, 67, 8848, No update data, 9g3qrmby5p2j
Bird, MEX, 2174d982-0bbf-453a-b37e-27a7fc181963, 100, 14062, No update data, 9g3qrnjx29yv
Bird, MEX, 49de43e9-de9c-48f1-9207-257cb535d300, 100, 14062, No update data, 9g3qrnjx2vsu
Bird, MEX, 592cbdb2-2ccd-4c97-bf93-451a46cd98c7, 100, 14062, No update data, 9g3qrnjx2swz
Bird, MEX, e5f37027-f52c-46db-a502-53d76065d782, 71, 9480, No update data, 9g3qrmbvub92
Bird, MEX, 973e00bb-9053-4d2f-92d3-c0a1472a8d4e, 48, 5846, No update data, 9g3qrmbf34ed
Bird, MEX, 0cca98cb-85a2-4072-9fd5-d77657c3cbe8, 85, 12358, No update data, 9g3qrq2qs9sq
Bird, MEX, e5bea980-ba2a-43f9-8354-3fa02349f39b, 93, 12956, No update data, 9g3qrq2qszcm
Bird, MEX, 4619c173-46a9-4879-80d6-39af7418e3b4, 100, 14863, No update data, 9g3qrmch7n20
Bird, MEX, 1d195da3-bb77-43e5-b3c7-0f9a12380fdb, 97, 14362, No update data, 9g3qrmche2sx
Bird, MEX, 531d3d05-37a9-4428-9516-0da88cab5775, 100, 14863, No update data, 9g3qrmchewzy
Bird, MEX, 47fdcfbb-82a4-42db-9f0f-3c76a9fb9de1, 100, 14863, No update data, 9g3qrmch74w3
Bird, MEX, 1e8a2823-3bb5-4401-b62e-1bf710ca5eea, 100, 14863, No update data, 9g3qrmchsh5j
Bird, MEX, 841068f2-7d6b-4715-aa30-b5e553a7955b, 100, 14863, No update data, 9g3qrnmzr1eg
Bird, MEX, f0e5f4c7-959c-4b62-94d9-b2e71a7a09df, 98, 14529, No update data, 9g3qrnmzrwt4
Bird, MEX, 0db7f291-2ffe-4fb7-9804-77ddea61835b, 100, 14863, No update data, 9g3qrnmzx8mn
Bird, MEX, 5726f868-b3c8-409a-b211-64bc3610326e, 100, 14062, No update data, 9g3qrnmzqwfk
Bird, MEX, 1f48fb27-d30a-48c6-95ce-f2a7ca904108, 100, 14062, No update data, 9g3qrnmzqqk1
Bird, MEX, 31c64135-f982-45d1-97c0-4eca9674c1da, 98, 14529, No update data, 9g3qrmbbyytx
Bird, MEX, 33fb6315-9c6c-4f3a-af58-7645f8863cd4, 100, 14863, No update data, 9g3qrmbbzqp5
Bird, MEX, 0820912d-7d79-4f1b-b7d8-f42d23101d0b, 99, 14696, No update data, 9g3qrm8whczd
Bird, MEX, 7a6d407f-ac1a-4496-957e-30965bfd8b2f, 100, 14863, No update data, 9g3qrq16k0zz
Bird, MEX, 15db0b3f-dbbd-45ee-a651-f9954a4109d7, 97, 14362, No update data, 9g3qrmc0bhjr
Bird, MEX, b2d0a4fd-90b4-45d4-954b-2f5214ec72f2, 99, 14696, No update data, 9g3qrm8tsy9k
Bird, MEX, 691d00a2-90c1-41a5-81ce-7fd8a1745499, 100, 14863, No update data, 9g3qrq16hfz8
Bird, MEX, e9fe73b4-0cea-4606-ad1f-8ba1465af686, 99, 14696, No update data, 9g3qrq13vnkt
Bird, MEX, 75955305-ed9e-4c4f-b558-f90ba2a261cf, 100, 14863, No update data, 9g3qrm8wnbtd
Bird, MEX, 103d3e7a-2550-4534-9eee-aeb7c8473e00, 100, 14863, No update data, 9g3qrm8ttk6z
Bird, MEX, 13fb8fac-637d-4c95-a4e8-24378595f191, 100, 14863, No update data, 9g3qrm8ty0z6
Bird, MEX, 8ef867d2-86d6-4d21-b11a-4e404813f033, 100, 14863, No update data, 9g3qrq16jmxf
Bird, MEX, 04fa4ce2-73c2-4b16-9d8d-ccfafda6149c, 100, 14863, No update data, 9g3qrq16j7xy
Bird, MEX, 4bb34767-ffda-4ef1-966a-5f0d1be969a4, 92, 13527, No update data, 9g3qrm8ttuhj
Bird, MEX, a759f505-d093-4000-9078-90424f223e5e, 100, 14863, No update data, 9g3qrm8twqk6
Bird, MEX, 4704be31-aaad-4f98-b85e-eadb679391b2, 100, 14062, No update data, 9g3qrq16jzkj
Bird, MEX, 56be772c-87bd-4a53-8710-399936a36620, 100, 14863, No update data, 9g3qrq16q011
Bird, MEX, dc93188f-dac2-4279-8288-6836efd676f9, 100, 14863, No update data, 9g3qrq16npp7
Bird, MEX, a45e2376-bae6-464e-93fc-54f587107b5e, 100, 14062, No update data, 9g3qrntbwybx
Bird, MEX, 42b33d06-30bf-47df-a2e1-b34de9d3da72, 98, 14529, No update data, 9g3qrm8tqnx6
Bird, MEX, 34d430de-9f62-414e-a41a-84c81a4cdb75, 100, 14863, No update data, 9g3qrm8tx3bz
Bird, MEX, 74961551-21e9-4c18-93d9-31ac82bff70b, 100, 14062, No update data, 9g3qrntby7h0
Bird, MEX, 9f7d996c-4dca-4242-b1b6-a3306298660d, 100, 14062, No update data, 9g3qrntby534
Bird, MEX, a69a3d39-066b-4e85-8628-48f619700562, 100, 14062, No update data, 9g3qrntbyhzk
Bird, MEX, 078fb264-2a97-4f98-99dc-7d578bbdc81f, 100, 14863, No update data, 9g3qrntcjbuj
Bird, MEX, 6492a450-a57c-4680-942f-135592d8245a, 100, 14062, No update data, 9g3qrntcq1p2
Bird, MEX, 9600e375-cc88-47e8-ae8a-0a709a12ad3c, 98, 13746, No update data, 9g3qrntcm9vv
Bird, MEX, b3e49636-7ea3-4f6d-ad06-443d74e3f187, 48, 6179, No update data, 9g3qrjtsgfst
Bird, MEX, 8f6f297f-4e3a-46b8-93dc-86d8fc58223f, 35, 4008, No update data, 9g3qrjtsfzeh
Bird, MEX, 4f49ebf3-0e5e-4ef1-99a9-122fe3b26311, 100, 14863, No update data, 9g3qrm8dcs5r
Bird, MEX, 3836ec37-a18b-465a-ab84-d816d686f677, 100, 14062, No update data, 9g3qrm8d6984
