Bird, MEX, e0b75e90-5de5-4bb3-a54f-3ce4ceb7d418, 60, 7742, No update data, 9g3qx2h513bk
Bird, MEX, 87d372ec-160f-4323-b9a0-4a6258483749, 96, 13430, No update data, 9g3qx3h6tnu8
Bird, MEX, 02a012ac-f655-4e34-8d7a-92fcb3269eaa, 64, 8851, No update data, 9g3qx2qqjzhq
Bird, MEX, e3375cd3-963a-48af-af18-237859a9535b, 87, 12692, No update data, 9g3qx262z2bu
Bird, MEX, 866b8a89-85c5-482a-b400-15dc07432cb2, 70, 9322, No update data, 9g3qx2dj4j58
Bird, MEX, 256bdf4a-64cf-4ceb-a4ee-897365975aca, 84, 12191, No update data, 9g3qx24v5dxb
Bird, MEX, 2dc58e40-8f4c-4092-93c7-8c7dbbdd30c6, 82, 11857, No update data, 9g3qx2wrx9kq
Bird, MEX, a6619ad8-524a-4f7f-acc3-b49814715a38, 94, 13861, No update data, 9g3qx26hgs18
Bird, MEX, 0c3b5bb2-5d31-4934-9871-aeae78a5d2fe, 49, 6346, No update data, 9g3qx2y2qgvg
Bird, MEX, 4316d66d-6de0-44a8-9da3-5703cb0ac7e8, 90, 13193, No update data, 9g3qx26hg1b4
Bird, MEX, e0a596a3-e210-4dce-863c-29a74008756c, 46, 5845, No update data, 9g3qx2wx8bu4
Bird, MEX, ac7ac880-277c-464a-b701-1e8ec284409c, 89, 13026, No update data, 9g3qx26h7pyk
Bird, MEX, 0afed6fc-c9c9-4066-9f11-730f9caa82e3, 93, 13694, No update data, 9g3qx26he48n
Bird, MEX, 41f9e170-a5d0-4ace-bfe3-b1819f713df7, 48, 6179, No update data, 9g3qx2h9hgc2
Bird, MEX, 042dd301-559d-4df6-8e3b-8a7bd125838c, 93, 13694, No update data, 9g3qx26h7hy3
Bird, MEX, 14316ff8-2dec-485b-a7a3-ad5e24d9f408, 85, 12358, No update data, 9g3qx26hdsjp
Bird, MEX, 96cb53e5-6153-4dba-a8db-e38dab5edfec, 57, 7268, No update data, 9g3qx2jvhu9w
Bird, MEX, 3dc9aeff-cceb-4edb-b39e-02ce14fe7095, 31, 3340, No update data, 9g3qx3j6t7zy
Bird, MEX, d2420534-be94-4b40-be32-1d7fb1a79c7f, 58, 7849, No update data, 9g3qx2f190ur
Bird, MEX, 7bd2f498-2d2e-49be-88d4-7129528eb6f9, 45, 5678, No update data, 9g3qx2fjzheu
Bird, MEX, 4b8125d9-7830-427f-8f6f-a808adc7ce2d, 45, 5678, No update data, 9g3qx3je783w
Bird, MEX, a9c5870c-d9b1-46e8-b250-f543a109c48d, 89, 12324, No update data, 9g3qx2free3d
Bird, MEX, 49976847-d981-4736-9265-295a8a448a00, 90, 12482, No update data, 9g3qrruny3s2
Bird, MEX, e4121c64-ea6c-48b7-ad9a-dcb53a7a798f, 89, 12324, No update data, 9g3qx2fr3k0m
Bird, MEX, bee7ac4a-7767-432b-a51f-54d06243a19d, 90, 12482, No update data, 9g3qx2fr3nfp
Bird, MEX, f2a77fec-f13f-4714-91c3-8b83edf00e55, 60, 7742, No update data, 9g3qx23fbe0d
Bird, MEX, 6f89ff95-03ef-4c42-b2b4-da205dbb2b1e, 92, 13527, No update data, 9g3qx3jg7sxb
Bird, MEX, ec93a8ad-2344-40f4-8e47-7a55efbe2166, 69, 9164, No update data, 9g3qx2q8tckq
