Bird, MEX, 504ad117-96ba-458e-b6cc-c35a286b887c, 67, 8848, No update data, 9g3qx2hjg8zu
Bird, MEX, a6e5ae3b-cdf8-4300-b70b-0ae889f5e680, 57, 7268, No update data, 9g3qx2ux92b7
Bird, MEX, f12b4e8b-e94a-4655-81b7-bdfb9f20ea13, 97, 14362, No update data, 9g3qx2wj0h8s
Bird, MEX, a9308dfa-1e4d-4b19-a6b9-e708f49e0654, 100, 14062, No update data, 9g3qx2wj0h8s
Bird, MEX, 1a04d845-16b4-4683-8983-83c0e8a91628, 98, 14529, No update data, 9g3qx2wj0h8s
Bird, MEX, 56f1ff43-cd45-443e-9df6-3c3568753d9b, 97, 14362, No update data, 9g3qx2wj0h8s
Bird, MEX, 6dd9e2d7-a065-407f-8454-adc02e1298da, 97, 14362, No update data, 9g3qx2wj0h8s
Bird, MEX, 630320b3-4db3-4e2e-8162-a758ec053c9c, 99, 13904, No update data, 9g3qx26tn8dt
Bird, MEX, f8c45f13-ad29-48e3-8899-c51f87e979d3, 53, 4956, No update data, 9g3qx25vshe1
Bird, MEX, 383eafc0-069b-4f7d-a51c-cd0063067214, 97, 14362, No update data, 9g3qx26g92v6
Bird, MEX, be104209-46e2-4927-9e95-4236b31ed02d, 58, 7849, No update data, 9g3qx25vnjcn
Bird, MEX, 47bad6b7-df98-4bdb-bade-758faee0d967, 19, 1336, No update data, 9g3qx26x002e
Bird, MEX, 4468e531-8c73-43db-a92d-d661ff5248a8, 88, 12166, No update data, 9g3qx2ghb2eg
Bird, MEX, 98b73a9d-abbe-49f9-8f75-2773560c76ce, 87, 12008, No update data, 9g3qx2d2qp94
Bird, MEX, b6c16e86-fc7a-4da1-bbe8-cebb9b5fd031, 91, 13360, No update data, 9g3qx26eeszg
Bird, MEX, e425a1ec-e115-4d71-a133-60ad52af7e74, 39, 4676, No update data, 9g3qx2h5zu42
Bird, MEX, 2b9fe56c-d1f7-4b52-82ae-0ca8e521e817, 61, 8350, No update data, 9g3qx2h5xf43
Bird, MEX, 18b1e6f9-e9dc-4269-b766-1f409d65c4ee, 72, 10187, No update data, 9g3qx2h5myk6
Bird, MEX, c9813102-9ee2-43c1-9d27-c74163baa51a, 90, 13193, No update data, 9g3qx26e2ggg
Bird, MEX, 0880a21c-93e4-4e0e-bdf8-417f7f3f5c23, 71, 10020, No update data, 9g3qx2h5mmdy
Bird, MEX, 7f4ca622-92db-4d06-b32b-2732cd88e5db, 83, 11376, No update data, 9g3qx2dr7epz
Bird, MEX, b09e2420-c45f-4fea-b3a0-310e7d842e05, 80, 10902, No update data, 9g3qx25n30dp
Bird, MEX, 33337cc0-eb2f-489c-9de0-cab5d5f7160a, 70, 9322, No update data, 9g3qx26qc30q
Bird, MEX, 3d94f1d0-97de-45f1-a81b-9859740c13ad, 46, 5530, No update data, 9g3qx25g39et
Bird, MEX, 19bfde22-cb56-48fe-9b3e-ed5f1e3fce70, 44, 5511, No update data, 9g3qx25kb0td
Bird, MEX, 7df1d82c-a271-4915-873c-73e0b45282cf, 47, 5688, No update data, 9g3qx2688hve
Bird, MEX, 3be3e45c-d897-4d73-a4a4-b0ebf6ead681, 100, 14863, No update data, 9g3qx2wrjtq4
Bird, MEX, 3666dca9-29c4-462a-a2bd-82d861f09b8d, 42, 4898, No update data, 9g3qx2wrrzx7
Bird, MEX, 82bb97e6-207d-4444-9a0b-bc0d1d1a56e8, 55, 7348, No update data, 9g3qx2wx2xzj
Bird, MEX, e4a481b4-f2bd-4f91-b04a-03c09aeac3aa, 64, 8851, No update data, 9g3qx2jvvzkm
Bird, MEX, 11bba3ec-65fc-4f15-bdf6-b1ec016b81ec, 51, 6320, No update data, 9g3qx2wx94p4
Bird, MEX, a1d171b9-52ca-4dd1-8c57-0d795c3fbae6, 88, 12166, No update data, 9g3qx2jvynpt
Bird, MEX, 8ee79905-806c-4735-8060-58cfd08f6b8d, 28, 2839, No update data, 9g3qx2njbr7v
Bird, MEX, 41be6249-b83c-4b11-9f93-28c1072a63b8, 56, 7515, No update data, 9g3qx3jbfwt0
Bird, MEX, 59dd7904-d00e-495a-a771-b06943de4065, 97, 14362, No update data, 9g3qx34c368k
Bird, MEX, 9addfaad-3210-42cc-95ef-73fdc32e64fa, 85, 11692, No update data, 9g3qx34c35fh
Bird, MEX, a001d9c2-c2d5-448b-a86c-8af59bc0877b, 98, 14529, No update data, 9g3qx34c25bs
Bird, MEX, 10f11c27-65de-4dbd-8a60-191796d0d62b, 57, 7682, No update data, 9g3qx348sqb0
Bird, MEX, c2e69d59-107f-4faf-b177-da9a0ff6b555, 84, 12191, No update data, 9g3qx2fquq80
Bird, MEX, afe47853-0451-4d2b-8131-88f44e24c7a3, 66, 9185, No update data, 9g3qx348uqb4
Bird, MEX, 487fdc36-4359-403c-a1c2-9f1ca3a0b620, 80, 10902, No update data, 9g3qx34f1b8q
Bird, MEX, a9121e9b-71ef-4820-96fa-f1e4d444d459, 61, 8350, No update data, 9g3qx35v2dyy
Bird, MEX, d757e5f9-449a-4c06-8717-1a4a488b5a88, 57, 7682, No update data, 9g3qx35ks20p
Bird, MEX, 75830915-c9de-4e4c-8599-5f0c7b7969a9, 87, 12008, No update data, 9g3qx2fru2yj
Bird, MEX, 64d7f118-619e-4b8e-9e3d-39d081cfba8a, 84, 11534, No update data, 9g3qx2fr3by8
Bird, MEX, 3b19a885-f72b-431e-b13b-4f7ba505fa9a, 73, 9796, No update data, 9g3qx24cx47g
Bird, MEX, d2b92387-ff28-4be1-87af-00dac8236dc8, 87, 12008, No update data, 9g3qx2fr3ub3
Bird, MEX, 38a3d427-41a4-4d20-bd07-9779bf566a83, 88, 12166, No update data, 9g3qx2fr3mj7
Bird, MEX, a630707b-eb33-4689-a62e-159595cb299d, 56, 7515, No update data, 9g3qx23fgw1t
Bird, MEX, 63b9a7b7-41aa-4379-b35d-d4a49adecd85, 76, 10855, No update data, 9g3qx3hnkv9r
Bird, MEX, 2834a400-5b1e-4abd-ba53-0b8718b8a2d9, 90, 12482, No update data, 9g3qx2fr8z7g
Bird, MEX, 88ecde63-0b08-498e-8e75-242bc9aa80f6, 66, 9185, No update data, 9g3qx2wzjy70
Bird, MEX, 68405086-dcb8-467e-93c0-02f5b30cb889, 69, 9164, No update data, 9g3qx2q8wjz9
Bird, MEX, 9d630ba8-dddb-49a5-959f-460948f5c59d, 35, 4008, No update data, 9g3qx2q8rps4
Bird, MEX, b8a406d0-21a3-47d2-8c38-904871c4fe0b, 88, 12166, No update data, 9g3qrrvrhxg3
Bird, MEX, f9c33066-dcaf-48b9-8540-2a6855576b61, 66, 9185, No update data, 9g3qx2xhfg7k
Bird, MEX, e47757a0-3f03-47ca-8cbc-a3970155b954, 43, 5344, No update data, 9g3qx2qb0qgu
Bird, MEX, 56b5bdf7-cef4-4a2e-9cb2-47caf1fb652f, 49, 6004, No update data, 9g3qx34e9bnx
Bird, MEX, 6a032e68-b1df-4b41-82cd-feb43aa81e9d, 65, 8532, No update data, 9g3qx2qb1jzn
Bird, MEX, c11ade85-8e1b-467c-80cc-c559b01f7118, 24, 2171, No update data, 9g3qx2xjhrb4
Bird, MEX, acb72495-837a-4590-93c2-3be5d54a5dda, 91, 13360, No update data, 9g3qx2397h2p
Bird, MEX, ffbe2be1-7255-4f38-8ca2-65a956a245e9, 53, 6636, No update data, 9g3qx2399z27
Bird, MEX, d2e665ee-e1b6-4fb3-bfe2-3facd4e7f588, 47, 6012, No update data, 9g3qx239cq0m
Bird, MEX, 6f961793-dfa1-41bb-9acf-4c85c6874784, 97, 13588, No update data, 9g3qx23d065x
Bird, MEX, 8318cad4-5af6-46ea-a25d-88b5393f0516, 70, 9853, No update data, 9g3qx239bnmx
Bird, MEX, 911e1f28-0317-4209-a629-28de638e2000, 55, 6952, No update data, 9g3qx23d0009
Bird, MEX, cbe17d51-31ab-4aa5-bba7-35074971a457, 84, 12191, No update data, 9g3qx233zmx4
