Bird, MEX, 4316d66d-6de0-44a8-9da3-5703cb0ac7e8, 89, 13026, No update data, 9g3qx26k0wbs
Bird, MEX, 9d0c26d7-da5f-4782-9391-60668393b103, 71, 10020, No update data, 9g3qx2wru7wq
Bird, MEX, 0c3b5bb2-5d31-4934-9871-aeae78a5d2fe, 47, 6012, No update data, 9g3qx2wrq7u7
Bird, MEX, e0a596a3-e210-4dce-863c-29a74008756c, 45, 5678, No update data, 9g3qx2wrw7uq
Bird, MEX, 0b8ea84b-a83a-4ed3-ad76-271301ca6c72, 53, 6636, No update data, 9g3qx2j7tqpg
Bird, MEX, ac7ac880-277c-464a-b701-1e8ec284409c, 88, 12859, No update data, 9g3qx26hsgcm
Bird, MEX, 0afed6fc-c9c9-4066-9f11-730f9caa82e3, 91, 13360, No update data, 9g3qx26j617e
Bird, MEX, 67654ec5-0fbc-493d-a9b5-a8a7e116eaa6, 49, 6346, No update data, 9g3qx29un9ft
Bird, MEX, a448f586-a424-4e6b-9f6f-d6243a7d038e, 62, 8058, No update data, 9g3qx2j7prc1
Bird, MEX, 866b8a89-85c5-482a-b400-15dc07432cb2, 69, 9164, No update data, 9g3qx29vz7rh
Bird, MEX, 96cb53e5-6153-4dba-a8db-e38dab5edfec, 55, 6952, No update data, 9g3qx2jvmdw5
Bird, MEX, 41f9e170-a5d0-4ace-bfe3-b1819f713df7, 47, 6012, No update data, 9g3qx2h8wks3
Bird, MEX, d2420534-be94-4b40-be32-1d7fb1a79c7f, 58, 7849, No update data, 9g3qx2f190ur
Bird, MEX, 04fc8eac-0ae7-413c-9765-4fb4b5c696f9, 73, 10354, No update data, 9g3qx3j9vkpc
Bird, MEX, 97f536f7-7fd5-4d5f-8ca6-681b95b662f4, 67, 9352, No update data, 9g3qx2wwww4e
Bird, MEX, 49976847-d981-4736-9265-295a8a448a00, 90, 12482, No update data, 9g3qrrupr5u5
Bird, MEX, 4caf17b2-5dfe-4e34-8ecc-03927add5088, 90, 13193, No update data, 9g3qx2ys22gb
Bird, MEX, a0336dc2-b55c-4bc7-b374-bca41585f67c, 90, 13193, No update data, 9g3qx2ys2x2c
Bird, MEX, e4121c64-ea6c-48b7-ad9a-dcb53a7a798f, 89, 12324, No update data, 9g3qx2frd92n
Bird, MEX, 7c0181d9-d157-4ceb-aea4-1e7064cc426e, 82, 11857, No update data, 9g3qx2ys4zg6
Bird, MEX, bee7ac4a-7767-432b-a51f-54d06243a19d, 90, 12482, No update data, 9g3qx2fr3q8m
Bird, MEX, 7bd2f498-2d2e-49be-88d4-7129528eb6f9, 44, 5511, No update data, 9g3qx2fny5rm
Bird, MEX, 2060f23d-dd30-4fad-9df9-51ae4afef0d6, 84, 12191, No update data, 9g3qx2ys7nyx
Bird, MEX, 2a5325db-3946-4d15-ac61-26abefd8c45e, 49, 6346, No update data, 9g3qx2yt1t59
Bird, MEX, 1be1df4a-da00-4da9-b129-a01fadab33e0, 88, 12859, No update data, 9g3qx2yt8x8v
Bird, MEX, 7a244aa2-c9d2-4e3d-9807-2434242c2bb6, 46, 5530, No update data, 9g3qx2wuxeuq
Bird, MEX, e697081f-a2a0-4f84-be17-971cd9c4372b, 93, 13694, No update data, 9g3qx2ythjgp
Bird, MEX, ec93a8ad-2344-40f4-8e47-7a55efbe2166, 67, 8848, No update data, 9g3qx2nxsk0p
Bird, MEX, c8042a6b-5832-412d-a797-ea6375a3937f, 65, 9018, No update data, 9g3qx23dwku7
Bird, MEX, 5c0c2710-6988-4724-83d3-75c0f4b4b4cf, 57, 7268, No update data, 9g3qx21yrpgu
Bird, MEX, f2a77fec-f13f-4714-91c3-8b83edf00e55, 58, 7426, No update data, 9g3qx23e58xv
Bird, MEX, 96c1323b-ce0d-44c7-9a44-6666db871a98, 78, 10586, No update data, 9g3qrrvmc7vr
Bird, MEX, 6f8130ff-0110-410a-a838-ad21ad88e88a, 94, 13114, No update data, 9g3qx21xrr8f
Bird, MEX, 72f06b9f-866d-4f91-ab4f-fbcf30e96930, 43, 5056, No update data, 9g3qx23d36t7
Bird, MEX, ca264705-8a9b-461c-be40-6b979e038e06, 60, 7742, No update data, 9g3qx2yy4340
Bird, MEX, d0823345-b8c6-476b-b399-8d00c4f8d406, 81, 11060, No update data, 9g3qx2z4f76h
Bird, MEX, ceb26f54-09ec-44b4-b928-476cf5a82926, 94, 13114, No update data, 9g3qx21xq03j
Bird, MEX, 8503c02f-45fd-4e79-8484-13c2a81e0f8c, 82, 11218, No update data, 9g3qx2z4fetn
Bird, MEX, 847e0733-5631-469d-a432-1495ff3996af, 92, 12798, No update data, 9g3qx21xn4x3
Bird, MEX, f63c3a17-2c22-4183-a7a7-ca571f3cb2c8, 66, 8690, No update data, 9g3qx2z564gy
Bird, MEX, 141481f8-d192-4ac9-adb3-e218dc7855d8, 80, 10902, No update data, 9g3qx2z568b0
Bird, MEX, bc03ac2e-02f6-4459-ae14-cd8f0f24e3de, 40, 4582, No update data, 9g3qx2ct718n
Bird, MEX, 24ad8133-a7fa-4cf0-8e41-66fac3d9959f, 93, 12956, No update data, 9g3qx21wuup8
Bird, MEX, b3c0b887-3039-41af-90d0-4625064ae431, 85, 11692, No update data, 9g3qx233pssn
Bird, MEX, 2e1ac500-e4b8-470c-9065-1f152038be2c, 81, 11060, No update data, 9g3qx2z57zuv
Bird, MEX, 3920bda7-b0f7-4ee7-ad10-1b8c92d03dea, 75, 10688, No update data, 9g3qx233vmfg
Bird, MEX, 1ba2076a-c5ee-4b15-8423-b3a3a18e9287, 98, 13746, No update data, 9g3qx233sz13
Bird, MEX, 4655d752-04a9-4028-962c-0beb1f5455f6, 87, 12008, No update data, 9g3qx233mpsd
Bird, MEX, c893effe-00ee-4387-8b1e-6a70390f84db, 87, 12008, No update data, 9g3qx233scps
Bird, MEX, 7181da95-aada-4f09-abc7-b0a9b22f0195, 91, 13360, No update data, 9g3qx233m4ut
Bird, MEX, aecb2517-a087-407e-a8f5-4d17b824c384, 91, 13360, No update data, 9g3qx23nw5zm
Bird, MEX, fab2725e-6ed9-4a78-9747-f58fc250f902, 74, 10521, No update data, 9g3qx290h2n1
Bird, MEX, eb0a9af9-09bb-4a85-9b1f-37d0512f7ceb, 83, 11376, No update data, 9g3qx2336b7j
Bird, MEX, b2e3c829-5ace-41a0-a656-23f18e4fb866, 79, 11356, No update data, 9g3qx2z37bub
Bird, MEX, 8e795b2b-05cb-41d7-8077-176ae8687cbd, 90, 13193, No update data, 9g3qx23p5t9s
Bird, MEX, d80dd3a9-e8bc-4c1e-ab47-0b0ab0006477, 40, 4582, No update data, 9g3qx3nmbcu5
Bird, MEX, 5b07c2c0-a805-445d-b168-01ac8898e484, 90, 13193, No update data, 9g3qx2331rjq
Bird, MEX, 343b86cf-a61f-47db-b949-f5b789405418, 84, 12191, No update data, 9g3qx23n4z5n
Bird, MEX, 8c3bbb45-954b-4824-be25-c5bec69281c7, 85, 11692, No update data, 9g3qx291ck02
Bird, MEX, b653854b-733e-4c4c-8e76-3b570ba90c22, 65, 9018, No update data, 9g3qx2zpc6v3
