Bird, MEX, 98b73a9d-abbe-49f9-8f75-2773560c76ce, 85, 11692, No update data, 9g3qx25w8nje
Bird, MEX, 504ad117-96ba-458e-b6cc-c35a286b887c, 66, 8690, No update data, 9g3qx25vr1sj
Bird, MEX, 101a6b27-312c-4dcb-9176-86f113b72395, 30, 3173, No update data, 9g3qx26x45g9
Bird, MEX, 383eafc0-069b-4f7d-a51c-cd0063067214, 93, 13694, No update data, 9g3qx26x3f23
Bird, MEX, 3d94f1d0-97de-45f1-a81b-9859740c13ad, 46, 5530, No update data, 9g3qx25v3kmr
Bird, MEX, 630320b3-4db3-4e2e-8162-a758ec053c9c, 97, 13588, No update data, 9g3qx26sukyn
Bird, MEX, a6e5ae3b-cdf8-4300-b70b-0ae889f5e680, 56, 7110, No update data, 9g3qx3h817b3
Bird, MEX, be104209-46e2-4927-9e95-4236b31ed02d, 55, 7348, No update data, 9g3qx25uzdu0
Bird, MEX, d4ab1c93-6e74-443b-af09-55c20f013802, 85, 11692, No update data, 9g3qx2gxc0d5
Bird, MEX, e425a1ec-e115-4d71-a133-60ad52af7e74, 36, 4175, No update data, 9g3qx2hhn6u6
Bird, MEX, f8c45f13-ad29-48e3-8899-c51f87e979d3, 51, 4720, No update data, 9g3qx25u7srz
Bird, MEX, 10f30ae3-ee9e-421d-bce2-ca702bc4dff7, 98, 14529, No update data, 9g3qx2h5zmz5
Bird, MEX, d9b72058-746f-4433-b99f-bcee78997aaf, 94, 13114, No update data, 9g3qx2h5xqp5
Bird, MEX, 2b9fe56c-d1f7-4b52-82ae-0ca8e521e817, 58, 7849, No update data, 9g3qx2h5wj3p
Bird, MEX, 1e8912d3-a4bd-49f8-98db-72459de02892, 94, 13861, No update data, 9g3qx2h5tfur
Bird, MEX, 7fd024c6-7511-43e8-b890-0ceae6c363fb, 97, 14362, No update data, 9g3qx2h5qsz8
Bird, MEX, 00fa3925-6cf5-43af-94fc-bc0474e49bd9, 84, 12191, No update data, 9g3qx2gnf61v
Bird, MEX, 8be5fd41-5102-44cf-8112-b2105dd2c2a5, 97, 14362, No update data, 9g3qx2h5hskk
Bird, MEX, 19bfde22-cb56-48fe-9b3e-ed5f1e3fce70, 40, 4843, No update data, 9g3qx25m08bx
Bird, MEX, 0880a21c-93e4-4e0e-bdf8-417f7f3f5c23, 67, 9352, No update data, 9g3qx2h51cbs
Bird, MEX, 211b1584-a5cb-439d-b24c-77633ec22ad0, 98, 14529, No update data, 9g3qx2h4upep
Bird, MEX, 7f4ca622-92db-4d06-b32b-2732cd88e5db, 82, 11218, No update data, 9g3qx2dq306n
Bird, MEX, b09e2420-c45f-4fea-b3a0-310e7d842e05, 79, 10744, No update data, 9g3qx25jdf77
Bird, MEX, c18697e4-4798-4c2e-9bd4-a884ebeb7e16, 49, 6346, No update data, 9g3qx26mbbeg
Bird, MEX, 1870b9ff-0d74-47be-bf9c-edd054a07089, 79, 8024, No update data, 9g3qx2y23gbe
Bird, MEX, 36492f57-4509-4243-9869-ffa9bc263ba8, 74, 9954, No update data, 9g3qx24y9vb3
Bird, MEX, 18b1e6f9-e9dc-4269-b766-1f409d65c4ee, 69, 9686, No update data, 9g3qx25f7csv
Bird, MEX, 33337cc0-eb2f-489c-9de0-cab5d5f7160a, 67, 8848, No update data, 9g3qx26k0q78
Bird, MEX, 41be6249-b83c-4b11-9f93-28c1072a63b8, 53, 7014, No update data, 9g3qx2vxy5xx
Bird, MEX, 6b9dedd2-df91-4d53-beca-79a341cdc811, 49, 6004, No update data, 9g3qx25752ux
Bird, MEX, 3be3e45c-d897-4d73-a4a4-b0ebf6ead681, 97, 14362, No update data, 9g3qx2wrqgjz
Bird, MEX, d5c92ecc-10ca-4b2d-9ef0-89657686a51b, 65, 9018, No update data, 9g3qx2dp4gg3
Bird, MEX, 62442278-b68a-472b-b413-dfd6b89600a7, 53, 7014, No update data, 9g3qx2dnce5d
Bird, MEX, c9813102-9ee2-43c1-9d27-c74163baa51a, 88, 12859, No update data, 9g3qx26hdet5
Bird, MEX, b6c16e86-fc7a-4da1-bbe8-cebb9b5fd031, 89, 13026, No update data, 9g3qx26hc6mq
Bird, MEX, e4a481b4-f2bd-4f91-b04a-03c09aeac3aa, 61, 8350, No update data, 9g3qx2jvmsnj
Bird, MEX, 6f3236d1-f951-4943-9382-cabff4112af0, 85, 11692, No update data, 9g3qx2h2qs4s
Bird, MEX, 10f11c27-65de-4dbd-8a60-191796d0d62b, 55, 7348, No update data, 9g3qx34bb9yg
Bird, MEX, a1d171b9-52ca-4dd1-8c57-0d795c3fbae6, 85, 11692, No update data, 9g3qx2jvndzd
Bird, MEX, 690e6aea-1bd3-48bf-af61-a1c18606a1d6, 97, 13588, No update data, 9g3qx2ykg1w9
Bird, MEX, afe47853-0451-4d2b-8131-88f44e24c7a3, 63, 8684, No update data, 9g3qx348vwy4
Bird, MEX, 59dd7904-d00e-495a-a771-b06943de4065, 94, 13861, No update data, 9g3qx349nzjy
Bird, MEX, a001d9c2-c2d5-448b-a86c-8af59bc0877b, 94, 13861, No update data, 9g3qx349q9xw
Bird, MEX, 9addfaad-3210-42cc-95ef-73fdc32e64fa, 84, 11534, No update data, 9g3qx349qqk7
Bird, MEX, 7dc39c91-c82a-44fd-b235-ee0218fa2317, 29, 3006, No update data, 9g3qx3j7x4kh
Bird, MEX, 3b19a885-f72b-431e-b13b-4f7ba505fa9a, 72, 9638, No update data, 9g3qx251c2bk
Bird, MEX, 38a3d427-41a4-4d20-bd07-9779bf566a83, 87, 12008, No update data, 9g3qx2fr4wbh
