Bird, MEX, 63da3376-1319-4d90-826b-e97b58a1183d, 97, 13588, No update data, 9g3qx21x04t9
Bird, MEX, 9576e053-4a88-4170-9005-5cc00cd21a4d, 70, 9853, No update data, 9g3qx2r3cw7x
Bird, MEX, 7b5ad11d-ad48-4430-818e-5de19fa666b8, 87, 12008, No update data, 9g3qx21rt4hd
Bird, MEX, 6818b21a-e145-48ee-a58b-836e05a1fe7d, 47, 5688, No update data, 9g3qx21rgspb
Bird, MEX, d27c6162-2656-4c21-b8d2-16f210d8d32e, 87, 12008, No update data, 9g3qx290c8gm
Bird, MEX, 5510831d-1709-49e9-8cf6-f7180138e935, 98, 14529, No update data, 9g3qx21rj2zz
Bird, MEX, fa9bab13-48c3-4136-a8b9-349f4284971a, 98, 14529, No update data, 9g3qx21rgd3w
Bird, MEX, 12e2fe21-97f4-4e9b-a56b-f7dcd8f203d4, 100, 14863, No update data, 9g3qx21rgh24
Bird, MEX, bbf0f4f3-34f4-44d6-8cdc-a2caa828a858, 76, 10855, No update data, 9g3qx232c544
Bird, MEX, d2abcbca-180a-4711-b3eb-a88b7adba4c2, 94, 13861, No update data, 9g3qx231xkpp
Bird, MEX, 84c58f67-767b-43d3-a648-1760f654ddf2, 28, 2839, No update data, 9g3qx3nsh150
Bird, MEX, 26187cd1-9b1d-4048-a8f2-e202479c8752, 98, 13746, No update data, 9g3qx2zm2m5g
Bird, MEX, 2bdaf6c5-2def-4ebd-9e3d-1bf08b218c65, 98, 14529, No update data, 9g3qx21rcwg3
Bird, MEX, 9dbb8d37-8eec-41d8-8d42-da22c0d7a8a3, 99, 14696, No update data, 9g3qx21r6s2p
Bird, MEX, c0fe1b03-bcf5-436f-a8b3-0df4ebad4766, 100, 14863, No update data, 9g3qx21r9z27
Bird, MEX, a55068d0-98e4-43c2-8020-d3f8b8f927a4, 100, 14062, No update data, 9g3qx21qg8xf
Bird, MEX, af76bb47-f9ce-4f93-ae1f-cf6e72f1b362, 97, 14362, No update data, 9g3qx21r93b2
Bird, MEX, 4048c69a-9e8b-4883-8910-f3a23b6da33e, 97, 13588, No update data, 9g3qx3k7sy1k
Bird, MEX, 2e1ac500-e4b8-470c-9065-1f152038be2c, 98, 13746, No update data, 9g3qx2zmbgsp
Bird, MEX, e02162db-4e96-43c8-a9f2-46624143c2b4, 97, 14362, No update data, 9g3qx2zm3y8t
Bird, MEX, 42f65879-1bc3-4d84-96c2-5a32cae52259, 87, 12008, No update data, 9g3qx28cy1c4
Bird, MEX, 66fb0ca9-d980-4b02-8fa0-66d9ae0031fb, 98, 13746, No update data, 9g3qx21kx15u
Bird, MEX, 843087ca-7338-4d85-be2b-1e0a3091cda2, 100, 14062, No update data, 9g3qx230uzxx
Bird, MEX, a4ffe11d-1d85-4722-bb60-3c451994c602, 100, 14062, No update data, 9g3qx2317yuy
Bird, MEX, 0a798980-a0ca-4c04-8533-da3a1dcbc92e, 96, 14195, No update data, 9g3qx2zq946k
Bird, MEX, bcd6df1f-86f5-4284-91d2-18397d23241e, 96, 14195, No update data, 9g3qx230n5pk
Bird, MEX, 4c739442-f5c6-42d2-b146-ffef2a38a91f, 98, 13746, No update data, 9g3qx21m7kkx
Bird, MEX, afd83cfb-b402-4464-ac5a-a442532379b7, 99, 13904, No update data, 9g3qx21mh55h
Bird, MEX, f841c4bc-90d1-49de-a599-1daa3eca04b1, 98, 13746, No update data, 9g3qx230kpgh
Bird, MEX, a027955f-3471-418c-9c66-26191f050f19, 100, 14062, No update data, 9g3qx2zkxqrm
Bird, MEX, 86ec64a2-fe4e-4b0a-9242-2cd4cc94ee4a, 87, 12008, No update data, 9g3qx28f6r3b
Bird, MEX, 5ae649f8-abe1-45c3-93d7-3922bfd013c4, 100, 14863, No update data, 9g3qx2zmw4rs
Bird, MEX, 270c39fb-f9e7-4950-bdce-db9a6067f1c9, 97, 14362, No update data, 9g3qx2zmwddw
Bird, MEX, 8503c02f-45fd-4e79-8484-13c2a81e0f8c, 99, 13904, No update data, 9g3qx2zs30rn
Bird, MEX, 19e2a7fa-ea4c-4521-afcb-290f3edb2688, 100, 14062, No update data, 9g3qx2zt0s2v
Bird, MEX, 2dc04c41-4482-4115-b69c-f24930a7fb8a, 99, 13904, No update data, 9g3qx28fbsnb
Bird, MEX, 8d8428e9-90d6-42cd-b265-826edfd1a094, 97, 14362, No update data, 9g3qx2zt2pm9
Bird, MEX, 3a75aa6a-4145-4766-81a2-61779dd4784a, 99, 14696, No update data, 9g3qx2zt1mtm
Bird, MEX, 4b3bbe0b-bb51-44d1-9ad7-557e2634e218, 97, 14362, No update data, 9g3qx2zs6z73
Bird, MEX, 85b5ec15-83dd-4362-905a-9b4396583619, 98, 13746, No update data, 9g3qx2zsec0h
Bird, MEX, bcdaca3f-ff56-4f84-b21a-033f72230a6b, 98, 13746, No update data, 9g3qx20zw4zr
Bird, MEX, 90b4f26d-97a2-497b-8244-1fb9f1ea8687, 57, 7682, No update data, 9g3qx2bffpub
Bird, MEX, bdf73438-8d47-40fc-bf01-1bff6bb08fe7, 96, 14195, No update data, 9g3qx21hkf97
Bird, MEX, e3375cd3-963a-48af-af18-237859a9535b, 99, 14696, No update data, 9g3qx215vsmf
Bird, MEX, eb0a9af9-09bb-4a85-9b1f-37d0512f7ceb, 99, 13904, No update data, 9g3qx20zt5se
Bird, MEX, 77000fce-8914-48b2-9eeb-d4c4568dff7d, 100, 14062, No update data, 9g3qx21hhc33
Bird, MEX, 1de46640-3af7-4775-b2eb-17a5b3710166, 100, 14863, No update data, 9g3qx215ttmz
Bird, MEX, 4bdf4808-a01f-4f4f-b4fd-d8f5e192cad1, 98, 13746, No update data, 9g3qx215uz3m
Bird, MEX, 277c32ea-cf96-4c35-a814-7cbd4dbc0c25, 97, 13588, No update data, 9g3qx21hh57n
Bird, MEX, 116417a6-7e94-485a-896a-29d8fbc85142, 100, 14062, No update data, 9g3qx215gzsz
Bird, MEX, fd5a2837-3e18-416e-8a88-19bd4403f0b4, 51, 6320, No update data, 9g3qx2zwjq6c
Bird, MEX, 74a49725-ba91-4939-b772-7771130ff79c, 99, 14696, No update data, 9g3qx21h6psf
Bird, MEX, 4bdd6ec9-f06c-4393-b7fb-1a12edd7eae6, 84, 12191, No update data, 9g3qx28s663c
Bird, MEX, a7e8f439-f12f-4497-81be-216480d0fa4e, 99, 14696, No update data, 9g3qx21h669g
Bird, MEX, bf956252-d541-4d7d-a779-dcb1d9327ce8, 99, 13904, No update data, 9g3qx2ztz8s7
Bird, MEX, 58442098-3fe4-4c93-8287-d6fc8b3ba4c7, 98, 14529, No update data, 9g3qx20vqv8w
Bird, MEX, 39298bbd-04c3-47e1-9e44-aba7ba98b4bd, 89, 12324, No update data, 9g3qx2zybxz0
Bird, MEX, 21fb9d79-bce4-4b19-8b49-5d9d7f29886b, 99, 13904, No update data, 9g3qx2zvhurv
Bird, MEX, e16d5b52-9ca1-47a8-af79-8cf248993a3e, 78, 10586, No update data, 9g3qx2zvvtq0
Bird, MEX, 46abce90-bd75-4b92-b165-d46e06a59f39, 70, 9322, No update data, 9g3qx2zysmy6
Bird, MEX, 85c08534-d42f-4372-921e-8f780aca6702, 98, 13746, No update data, 9g3qx20trrzh
Bird, MEX, b1c71a58-cbee-4c5d-abba-5540c32ada14, 99, 13904, No update data, 9g3qx2zvywzd
Bird, MEX, a6dbbfa9-aac9-4ca6-a1c4-ae131ca613ff, 100, 14062, No update data, 9g3qx2zzkj55
Bird, MEX, 52508a64-621c-4214-a836-fafa4cdfc11b, 67, 8848, No update data, 9g3qx8bj0xz4
Bird, MEX, 594557b2-0a49-4271-b3ef-77ec6e7b8935, 61, 7900, No update data, 9g3qx2zvzwu6
Bird, MEX, b7576de8-8d6e-4d24-89d4-43ccc20e86b6, 97, 10148, No update data, 9g3qx8bj36j2
Bird, MEX, 6ea3f822-f297-4b9f-88f6-b29e1ebd742f, 91, 13360, No update data, 9g3qx8bjd9v0
Bird, MEX, def394a3-a092-443a-b6ba-c5621fa758de, 97, 14362, No update data, 9g3qx3pf94p6
Bird, MEX, 8cecfe6c-790f-4cba-a768-503288c6a2ca, 99, 14696, No update data, 9g3qx8bnd5gy
Bird, MEX, 7698dc2a-c1c9-46a3-958e-1329429632c5, 85, 11692, No update data, 9g3qx3pf508q
Bird, MEX, 788616d6-9208-418d-8388-f1084bc84ee7, 91, 13360, No update data, 9g3qx8bndf7k
Bird, MEX, 6ae85719-5242-47f6-9d8f-c1af39081af5, 100, 14062, No update data, 9g3qx20qxrby
Bird, MEX, 22c0a4fc-5038-407e-b358-c264315749ed, 99, 13904, No update data, 9g3qx3pbxcpm
Bird, MEX, bcd776c2-5216-4152-9cc8-6ad858a8a132, 97, 14362, No update data, 9g3qx3pfkk0n
Bird, MEX, 4a21459e-4651-4cb8-abac-ca0444649bb6, 97, 13588, No update data, 9g3qx20mygtw
Bird, MEX, 13ad7556-d6e6-48db-9a9b-845655ee7da2, 100, 14062, No update data, 9g3qx8bnmkfc
