Bird, MEX, 11bba3ec-65fc-4f15-bdf6-b1ec016b81ec, 49, 6004, No update data, 9g3qx2y0j7rz
Bird, MEX, 8be5fd41-5102-44cf-8112-b2105dd2c2a5, 99, 14696, No update data, 9g3qx2h53u0t
Bird, MEX, 18b1e6f9-e9dc-4269-b766-1f409d65c4ee, 71, 10020, No update data, 9g3qx2h52kgb
Bird, MEX, 7f4ca622-92db-4d06-b32b-2732cd88e5db, 83, 11376, No update data, 9g3qx2dq6qcz
Bird, MEX, 1870b9ff-0d74-47be-bf9c-edd054a07089, 81, 8260, No update data, 9g3qx2y0qdrd
Bird, MEX, 0880a21c-93e4-4e0e-bdf8-417f7f3f5c23, 70, 9853, No update data, 9g3qx2h508nc
Bird, MEX, 211b1584-a5cb-439d-b24c-77633ec22ad0, 100, 14863, No update data, 9g3qx2h4bwqz
Bird, MEX, 33337cc0-eb2f-489c-9de0-cab5d5f7160a, 69, 9164, No update data, 9g3qx26nxvf3
Bird, MEX, 19bfde22-cb56-48fe-9b3e-ed5f1e3fce70, 43, 5344, No update data, 9g3qx25hvqrz
Bird, MEX, 7df1d82c-a271-4915-873c-73e0b45282cf, 47, 5688, No update data, 9g3qx268b2ed
Bird, MEX, 6b9dedd2-df91-4d53-beca-79a341cdc811, 49, 6004, No update data, 9g3qx25779zz
Bird, MEX, 41be6249-b83c-4b11-9f93-28c1072a63b8, 55, 7348, No update data, 9g3qx2vxz1u5
Bird, MEX, b6c16e86-fc7a-4da1-bbe8-cebb9b5fd031, 91, 13360, No update data, 9g3qx26j73ke
Bird, MEX, 3666dca9-29c4-462a-a2bd-82d861f09b8d, 42, 4898, No update data, 9g3qx2wtctgs
Bird, MEX, c9813102-9ee2-43c1-9d27-c74163baa51a, 90, 13193, No update data, 9g3qx26j54w3
Bird, MEX, 3be3e45c-d897-4d73-a4a4-b0ebf6ead681, 99, 14696, No update data, 9g3qx2y2r8kq
Bird, MEX, 8ee79905-806c-4735-8060-58cfd08f6b8d, 27, 2672, No update data, 9g3qx2jvyjze
Bird, MEX, a1d171b9-52ca-4dd1-8c57-0d795c3fbae6, 88, 12166, No update data, 9g3qx2jvsf1d
Bird, MEX, b09e2420-c45f-4fea-b3a0-310e7d842e05, 80, 10902, No update data, 9g3qx24u9j6p
Bird, MEX, 239114d1-ebd4-4036-a601-bc261e1f6ce3, 47, 6012, No update data, 9g3qx3j6eqg8
Bird, MEX, e4a481b4-f2bd-4f91-b04a-03c09aeac3aa, 63, 8684, No update data, 9g3qx2jvq497
Bird, MEX, 10f11c27-65de-4dbd-8a60-191796d0d62b, 57, 7682, No update data, 9g3qx34bckm6
Bird, MEX, 690e6aea-1bd3-48bf-af61-a1c18606a1d6, 98, 13746, No update data, 9g3qx2ym1b2s
Bird, MEX, 487fdc36-4359-403c-a1c2-9f1ca3a0b620, 79, 10744, No update data, 9g3qx34csxk7
Bird, MEX, a87c2eb5-b188-484d-b52c-080a9801ef36, 94, 13861, No update data, 9g3qx2ykfk64
Bird, MEX, afe47853-0451-4d2b-8131-88f44e24c7a3, 65, 9018, No update data, 9g3qx34c0jbx
Bird, MEX, 8ffe670f-4182-43fb-9adb-1ec778780724, 30, 3173, No update data, 9g3qx3jdbhts
Bird, MEX, a001d9c2-c2d5-448b-a86c-8af59bc0877b, 97, 14362, No update data, 9g3qx349pzd2
Bird, MEX, 59dd7904-d00e-495a-a771-b06943de4065, 97, 14362, No update data, 9g3qx34c2n8t
Bird, MEX, 3b19a885-f72b-431e-b13b-4f7ba505fa9a, 73, 9796, No update data, 9g3qx251cr2m
Bird, MEX, 9addfaad-3210-42cc-95ef-73fdc32e64fa, 85, 11692, No update data, 9g3qx349x30v
Bird, MEX, 2834a400-5b1e-4abd-ba53-0b8718b8a2d9, 89, 12324, No update data, 9g3qx2fr4tvp
Bird, MEX, d2b92387-ff28-4be1-87af-00dac8236dc8, 85, 11692, No update data, 9g3qx2frdg76
Bird, MEX, c2e69d59-107f-4faf-b177-da9a0ff6b555, 83, 12024, No update data, 9g3qx2frd47s
Bird, MEX, 64d7f118-619e-4b8e-9e3d-39d081cfba8a, 84, 11534, No update data, 9g3qx2fr9gqd
Bird, MEX, 75830915-c9de-4e4c-8599-5f0c7b7969a9, 87, 12008, No update data, 9g3qx2fr8fey
Bird, MEX, 63b9a7b7-41aa-4379-b35d-d4a49adecd85, 75, 10688, No update data, 9g3qx3hneuuu
Bird, MEX, 38a3d427-41a4-4d20-bd07-9779bf566a83, 88, 12166, No update data, 9g3qx2fr8hbs
Bird, MEX, 88ecde63-0b08-498e-8e75-242bc9aa80f6, 65, 9018, No update data, 9g3qx2wzwddw
Bird, MEX, 68405086-dcb8-467e-93c0-02f5b30cb889, 67, 8848, No update data, 9g3qx2q8pfz6
Bird, MEX, e47757a0-3f03-47ca-8cbc-a3970155b954, 42, 5177, No update data, 9g3qx2qb2ez5
Bird, MEX, 6a032e68-b1df-4b41-82cd-feb43aa81e9d, 65, 8532, No update data, 9g3qx2qb0fhp
Bird, MEX, 9d630ba8-dddb-49a5-959f-460948f5c59d, 35, 4008, No update data, 9g3qx2qb1859
Bird, MEX, d2c0650a-83c1-4f71-9d2c-923176153731, 39, 4676, No update data, 9g3qx34vz60v
Bird, MEX, c11ade85-8e1b-467c-80cc-c559b01f7118, 22, 1837, No update data, 9g3qx2xhuvxf
Bird, MEX, b8a406d0-21a3-47d2-8c38-904871c4fe0b, 87, 12008, No update data, 9g3qrrvqp7c0
Bird, MEX, 9c49f51f-daaf-49ba-89db-bc6e4a0f8077, 48, 5846, No update data, 9g3qx29kgjq2
Bird, MEX, 7d204c1d-ab3d-449c-8619-285679ce15e2, 98, 13746, No update data, 9g3qx2yuqymg
Bird, MEX, d2e665ee-e1b6-4fb3-bfe2-3facd4e7f588, 46, 5845, No update data, 9g3qx236ptk4
Bird, MEX, 37d836aa-f449-4252-a701-725849789c72, 56, 7515, No update data, 9g3qx2yyhqyk
Bird, MEX, 6f961793-dfa1-41bb-9acf-4c85c6874784, 96, 13430, No update data, 9g3qx233zngc
Bird, MEX, a630707b-eb33-4689-a62e-159595cb299d, 55, 7348, No update data, 9g3qx233wc2y
Bird, MEX, a3d23b7e-90ea-4377-8b6f-e946a9d30d42, 73, 10354, No update data, 9g3qx2zhc9e9
Bird, MEX, cbe17d51-31ab-4aa5-bba7-35074971a457, 83, 12024, No update data, 9g3qx236j8mg
Bird, MEX, 911e1f28-0317-4209-a629-28de638e2000, 54, 6794, No update data, 9g3qx236kcre
Bird, MEX, acb72495-837a-4590-93c2-3be5d54a5dda, 91, 13360, No update data, 9g3qx233vmzg
Bird, MEX, 7fa226d7-bd68-493d-b1f7-c7058b5b7b97, 65, 9018, No update data, 9g3qx233q9dt
Bird, MEX, f24df0e6-f155-4c23-a342-7d136a7ffede, 66, 8690, No update data, 9g3qx2zj8zsj
Bird, MEX, ffbe2be1-7255-4f38-8ca2-65a956a245e9, 52, 6478, No update data, 9g3qx233t4ks
Bird, MEX, 8318cad4-5af6-46ea-a25d-88b5393f0516, 70, 9853, No update data, 9g3qx236h171
Bird, MEX, 2e65fb24-4470-4ab5-9f44-e3817e41b7ee, 96, 14195, No update data, 9g3qx3m1mjsx
Bird, MEX, 1437ffdf-27d5-4bbc-9b19-d9db89d21270, 97, 13588, No update data, 9g3qx2z63jrj
Bird, MEX, 75b3e13f-1c08-472b-96b5-07763bc3b599, 83, 11376, No update data, 9g3qx291fz7j
Bird, MEX, 69ba4f0f-2047-4769-ba41-bdb24a8ddce8, 94, 13861, No update data, 9g3qx3m1v2xg
Bird, MEX, 0898457d-6c07-49ce-bbc3-0a101e078f0f, 35, 4008, No update data, 9g3qx31gppqp
Bird, MEX, 41ebf7cc-e421-4243-99f1-8a33edc7bb43, 99, 13904, No update data, 9g3qx3m1y59r
Bird, MEX, 03e18611-207f-4ffe-813a-dbe461066000, 31, 3340, No update data, 9g3qx21fkk0j
Bird, MEX, 511f5f15-ec98-4c5b-894f-b296d674bd27, 98, 13746, No update data, 9g3qx2zp3g28
Bird, MEX, 793755ef-d92e-4edf-847e-ac6a67ee925c, 96, 13430, No update data, 9g3qx2zk1wgs
Bird, MEX, aeff1c5d-3f89-49d9-a258-0f6a8edd86fa, 73, 9796, No update data, 9g3qx28fpc63
Bird, MEX, ddd327f8-abc8-44c8-b1e1-fa8a772368f1, 93, 13694, No update data, 9g3qx28cxc6q
Bird, MEX, 0b5e2905-ce2c-46d1-8010-5b5f23f7e487, 90, 13193, No update data, 9g3qx28fptun
Bird, MEX, f329af01-98b4-4be2-80cc-02410e17ce51, 39, 4424, No update data, 9g3qx21mws4x
Bird, MEX, 8687f5b9-f008-49ea-96d9-2c85cfc3b123, 49, 6346, No update data, 9g3qx2xd7ub1
Bird, MEX, c0ffc683-70aa-4e6e-88fa-bbd6c919d43e, 60, 8183, No update data, 9g3qx28cqz28
Bird, MEX, 2ecd13ae-57a3-4c6a-9f9c-926263a4652d, 76, 10270, No update data, 9g3qx3nez7rm
Bird, MEX, b165a585-34ef-49ee-9a32-6246522edc71, 96, 13430, No update data, 9g3qx2zpszxv
Bird, MEX, 1b150f3c-a6f3-4f89-998e-4636d7814d3e, 89, 13026, No update data, 9g3qx28gjbh1
Bird, MEX, f0508f32-3439-45d8-9ad6-c136bca1de5e, 93, 12956, No update data, 9g3qx231k175
Bird, MEX, ad296b06-3371-48ac-a6ce-f772c7fbf666, 45, 5678, No update data, 9g3qx230su93
Bird, MEX, c1ed9555-d7ce-4c0a-8d50-dcaccdcc6a96, 92, 12798, No update data, 9g3qx2zq65gg
Bird, MEX, e65bd957-cef3-42fb-a6f8-d30953fd8793, 100, 14062, No update data, 9g3qx3m6ug3t
Bird, MEX, c42b12d0-d825-46fb-b7b8-5e7e3e40b045, 96, 13430, No update data, 9g3qx230kbpe
Bird, MEX, f4cc32c2-fa44-4d7b-b3ce-cc7a907caf84, 91, 13360, No update data, 9g3qx2zs22gb
Bird, MEX, b65804ec-46ae-47f3-bfd1-a890295b5f9e, 100, 14062, No update data, 9g3qx3m7d5eu
Bird, MEX, 4e1e5499-0d88-4599-b5c0-0bfd898545a6, 97, 13588, No update data, 9g3qx23050wm
Bird, MEX, b96e0327-1eda-40dc-8df5-616d5a0869b4, 100, 14062, No update data, 9g3qx3m79y2w
Bird, MEX, 42865ed9-bfba-4880-88a7-4bf1e0c3ba9f, 93, 13694, No update data, 9g3qx3m7qdds
Bird, MEX, 729d35bf-6723-4162-b83b-f33d3de30b12, 63, 8684, No update data, 9g3qx2xxxm1n
Bird, MEX, 39809edf-8d8c-4cf9-abdb-5c9f19b5c48a, 54, 6794, No update data, 9g3qx3me1r83
Bird, MEX, 85218d49-6f05-4e7b-a307-cf9d7ceed076, 47, 5688, No update data, 9g3qx31yttvf
Bird, MEX, 61878a4d-6e9f-4315-a33f-d85be43f0544, 45, 5372, No update data, 9g3qx2xghtek
