Bird, MEX, 10f11c27-65de-4dbd-8a60-191796d0d62b, 55, 7348, No update data, 9g3qx34c027u
Bird, MEX, a87c2eb5-b188-484d-b52c-080a9801ef36, 93, 13694, No update data, 9g3qx2ykfsm4
Bird, MEX, 3b19a885-f72b-431e-b13b-4f7ba505fa9a, 72, 9638, No update data, 9g3qx2542ygy
Bird, MEX, afe47853-0451-4d2b-8131-88f44e24c7a3, 64, 8851, No update data, 9g3qx34c0p88
Bird, MEX, a001d9c2-c2d5-448b-a86c-8af59bc0877b, 96, 14195, No update data, 9g3qx34c2j0e
Bird, MEX, 59dd7904-d00e-495a-a771-b06943de4065, 96, 14195, No update data, 9g3qx349xeun
Bird, MEX, 487fdc36-4359-403c-a1c2-9f1ca3a0b620, 79, 10744, No update data, 9g3qx34fsvpw
Bird, MEX, 9addfaad-3210-42cc-95ef-73fdc32e64fa, 84, 11534, No update data, 9g3qx349w6sq
Bird, MEX, 23f85903-9a21-4254-8724-f58337e6b2cb, 78, 10586, No update data, 9g3qx24pqcvz
Bird, MEX, a3d23b7e-90ea-4377-8b6f-e946a9d30d42, 72, 10187, No update data, 9g3qx2ys3c2s
Bird, MEX, 75830915-c9de-4e4c-8599-5f0c7b7969a9, 85, 11692, No update data, 9g3qx2frdg76
Bird, MEX, c2e69d59-107f-4faf-b177-da9a0ff6b555, 82, 11857, No update data, 9g3qx2frdwmn
Bird, MEX, 38a3d427-41a4-4d20-bd07-9779bf566a83, 87, 12008, No update data, 9g3qx2fr8sqb
Bird, MEX, 88ecde63-0b08-498e-8e75-242bc9aa80f6, 64, 8851, No update data, 9g3qx2wzk3wq
Bird, MEX, 2834a400-5b1e-4abd-ba53-0b8718b8a2d9, 89, 12324, No update data, 9g3qx2frbe8x
Bird, MEX, 6b706d64-0df8-4829-b7f2-19558573cfcd, 69, 9686, No update data, 9g3qx35hghn3
Bird, MEX, 7d204c1d-ab3d-449c-8619-285679ce15e2, 97, 13588, No update data, 9g3qx2yt6wbp
Bird, MEX, 63b9a7b7-41aa-4379-b35d-d4a49adecd85, 74, 10521, No update data, 9g3qx3hngw98
Bird, MEX, f24df0e6-f155-4c23-a342-7d136a7ffede, 66, 8690, No update data, 9g3qx2ysumw6
Bird, MEX, c11ade85-8e1b-467c-80cc-c559b01f7118, 21, 1670, No update data, 9g3qx2xj387w
Bird, MEX, 37d836aa-f449-4252-a701-725849789c72, 53, 7014, No update data, 9g3qx2ytqymg
Bird, MEX, e47757a0-3f03-47ca-8cbc-a3970155b954, 40, 4843, No update data, 9g3qx2qb07gb
Bird, MEX, 6a032e68-b1df-4b41-82cd-feb43aa81e9d, 64, 8374, No update data, 9g3qx2nxzg6k
Bird, MEX, 9d630ba8-dddb-49a5-959f-460948f5c59d, 34, 3841, No update data, 9g3qx2qb4mdh
Bird, MEX, 68405086-dcb8-467e-93c0-02f5b30cb889, 66, 8690, No update data, 9g3qx2nz2tp5
Bird, MEX, d2c0650a-83c1-4f71-9d2c-923176153731, 38, 4509, No update data, 9g3qx35n3wgx
Bird, MEX, b8a406d0-21a3-47d2-8c38-904871c4fe0b, 85, 11692, No update data, 9g3qrrvmwezt
Bird, MEX, d2e665ee-e1b6-4fb3-bfe2-3facd4e7f588, 45, 5678, No update data, 9g3qx2392wyy
Bird, MEX, acb72495-837a-4590-93c2-3be5d54a5dda, 89, 13026, No update data, 9g3qx233xf6k
Bird, MEX, 7fa226d7-bd68-493d-b1f7-c7058b5b7b97, 64, 8851, No update data, 9g3qx236nfbg
Bird, MEX, a630707b-eb33-4689-a62e-159595cb299d, 54, 7181, No update data, 9g3qx233xkpp
Bird, MEX, 9c49f51f-daaf-49ba-89db-bc6e4a0f8077, 48, 5846, No update data, 9g3qx29hr7bg
Bird, MEX, ffbe2be1-7255-4f38-8ca2-65a956a245e9, 52, 6478, No update data, 9g3qx233y514
Bird, MEX, 0cf2fd66-b439-4624-9d9c-aa8d0078e893, 33, 3674, No update data, 9g3qrrugy4c2
Bird, MEX, cbe17d51-31ab-4aa5-bba7-35074971a457, 82, 11857, No update data, 9g3qx233w2hq
Bird, MEX, a428309e-32dd-4b83-8d2e-1898ddc18a04, 92, 13527, No update data, 9g3qx3m0vys2
Bird, MEX, 891fc6a9-d894-4669-a06a-d0e2a7c8db33, 88, 12166, No update data, 9g3qx2r4qt6t
Bird, MEX, 6f961793-dfa1-41bb-9acf-4c85c6874784, 96, 13430, No update data, 9g3qx233ush2
Bird, MEX, 911e1f28-0317-4209-a629-28de638e2000, 54, 6794, No update data, 9g3qx233j7fb
Bird, MEX, 1bd33212-824d-4683-97ca-9f9efbc02fdf, 48, 5846, No update data, 9g3qx2r1ydf8
Bird, MEX, 1437ffdf-27d5-4bbc-9b19-d9db89d21270, 97, 13588, No update data, 9g3qx2z4zdu3
Bird, MEX, 69ba4f0f-2047-4769-ba41-bdb24a8ddce8, 93, 13694, No update data, 9g3qx3m1m6xu
Bird, MEX, 793755ef-d92e-4edf-847e-ac6a67ee925c, 94, 13114, No update data, 9g3qx2z6b5tw
Bird, MEX, 8ee4d6a4-c78a-456c-a92a-23478e3b05e3, 54, 7181, No update data, 9g3qx232epyr
Bird, MEX, 511f5f15-ec98-4c5b-894f-b296d674bd27, 97, 13588, No update data, 9g3qx2znmpsg
Bird, MEX, 0b5e2905-ce2c-46d1-8010-5b5f23f7e487, 88, 12859, No update data, 9g3qx29185bw
Bird, MEX, b1ce5df1-99c2-4c10-88e2-ba5175042ffe, 37, 4342, No update data, 9g3qx2zpf8bj
Bird, MEX, aeff1c5d-3f89-49d9-a258-0f6a8edd86fa, 73, 9796, No update data, 9g3qx28cr55z
Bird, MEX, f01b6072-8cec-4a8f-a633-844c23e827c2, 82, 11857, No update data, 9g3qx2z7jdy5
Bird, MEX, 1b150f3c-a6f3-4f89-998e-4636d7814d3e, 87, 12692, No update data, 9g3qx28cw0pq
Bird, MEX, c42b12d0-d825-46fb-b7b8-5e7e3e40b045, 94, 13114, No update data, 9g3qx230w531
Bird, MEX, ad296b06-3371-48ac-a6ce-f772c7fbf666, 44, 5511, No update data, 9g3qx230ubzs
Bird, MEX, e65bd957-cef3-42fb-a6f8-d30953fd8793, 100, 14062, No update data, 9g3qx3m6tqpu
Bird, MEX, 8f131170-e4a6-4a11-804c-9c5ceefad428, 61, 7900, No update data, 9g3qrrvd7q58
Bird, MEX, b96e0327-1eda-40dc-8df5-616d5a0869b4, 100, 14062, No update data, 9g3qx3m7kbz8
Bird, MEX, 2ecd13ae-57a3-4c6a-9f9c-926263a4652d, 75, 10112, No update data, 9g3qx3nu9f0e
Bird, MEX, 729d35bf-6723-4162-b83b-f33d3de30b12, 62, 8517, No update data, 9g3qx2xxqqux
Bird, MEX, 42865ed9-bfba-4880-88a7-4bf1e0c3ba9f, 93, 13694, No update data, 9g3qx3m7qdds
Bird, MEX, 03e18611-207f-4ffe-813a-dbe461066000, 31, 3340, No update data, 9g3qx218xkx1
Bird, MEX, f0508f32-3439-45d8-9ad6-c136bca1de5e, 92, 12798, No update data, 9g3qx2303dgm
Bird, MEX, b65804ec-46ae-47f3-bfd1-a890295b5f9e, 100, 14062, No update data, 9g3qx3m7us77
Bird, MEX, e8dc60fe-4f60-4ecf-a47d-aa6a5e96bf58, 43, 5344, No update data, 9g3qrrvdjbh3
Bird, MEX, 50b8ba47-732f-4d7a-bf7c-369e636aa2e0, 49, 6004, No update data, 9g3qx22v4d81
Bird, MEX, 4e1e5499-0d88-4599-b5c0-0bfd898545a6, 97, 13588, No update data, 9g3qx21pbu5b
Bird, MEX, 39809edf-8d8c-4cf9-abdb-5c9f19b5c48a, 54, 6794, No update data, 9g3qx3meb8zj
Bird, MEX, 85218d49-6f05-4e7b-a307-cf9d7ceed076, 47, 5688, No update data, 9g3qx31yy7sr
Bird, MEX, 234939d4-0e76-49a8-9988-f35b2126ef93, 90, 13193, No update data, 9g3qx3nx7d3f
Bird, MEX, 9dd2950e-bd9c-442e-b074-2eb8848634e0, 76, 10855, No update data, 9g3qx3ms1wee
Bird, MEX, fb52da94-f44b-458a-8632-187ccdb61cfa, 89, 13026, No update data, 9g3qx2zthvcx
Bird, MEX, a02efcf0-fc53-4f4d-8aa5-5c1ee4ec80cc, 93, 13694, No update data, 9g3qx215w1z2
Bird, MEX, de2944d3-94f9-4107-af70-1ee60190e231, 96, 13430, No update data, 9g3qx215v7dy
Bird, MEX, 0a34d547-8ca3-43b2-a758-1d1843af36a2, 72, 10187, No update data, 9g3qx2zsytr8
Bird, MEX, 3f085527-7040-43a2-881b-f4bbaa1c28e4, 96, 13430, No update data, 9g3qx215sbzd
Bird, MEX, 5f7c89ea-5d6b-4c48-b6ca-d687f930ea53, 56, 7515, No update data, 9g3qrrf9nrhm
Bird, MEX, c75ea55e-31b7-42e1-8d7e-37ca7b941116, 94, 13861, No update data, 9g3qx215jbk5
Bird, MEX, baab2632-4df5-42b7-be7a-feff70750bf0, 84, 11534, No update data, 9g3qx215kmqh
Bird, MEX, 93ccd576-eaae-4e55-9daa-d3652f5db242, 29, 3006, No update data, 9g3qrrf67t1d
Bird, MEX, ca1f835a-93b4-4075-a803-5b1c3d935b15, 97, 13588, No update data, 9g3qx21471wm
Bird, MEX, 3f30d8c9-69b7-478c-a540-a10464cfbe1e, 84, 11534, No update data, 9g3qx3p9t9y0
Bird, MEX, 06fed0a0-de36-4f54-8d7a-1846e6a5be68, 60, 8183, No update data, 9g3qx2zysr25
Bird, MEX, 5e7d130a-4151-46d4-8783-0fb31f901903, 80, 10902, No update data, 9g3qx3654k1g
Bird, MEX, 29c8c95c-0b4e-4798-9860-ec0efff74898, 62, 8058, No update data, 9g3qx2zvxudd
Bird, MEX, 6decf21c-bc58-4f07-82b6-2673eaecbcc8, 57, 7682, No update data, 9g3qx8bjbwbf
Bird, MEX, b0d54c9f-a0e5-4398-a900-7abbd4021438, 52, 6847, No update data, 9g3qx8bj6n7g
