Bird, MEX, 721e59a9-d26b-429a-b3ca-fecad8167953, 100, 14062, No update data, 9g3qx2yyj7pv
Bird, MEX, 438c5d35-cf11-4d31-99ef-dc83df7eb073, 97, 14362, No update data, 9g3qx21wqpch
Bird, MEX, b1d00107-9c0b-44bc-b84d-a3b388b688d6, 100, 14062, No update data, 9g3qx236n3um
Bird, MEX, 1be1df4a-da00-4da9-b129-a01fadab33e0, 67, 9352, No update data, 9g3qx2c7htuq
Bird, MEX, 1a7341a8-54b5-422e-882c-6a9a60a32fdc, 61, 7900, No update data, 9g3qx233u6y0
Bird, MEX, 320381ba-5bfd-4feb-8df4-0df6e84ff3c8, 65, 8532, No update data, 9g3qx21tfnhv
Bird, MEX, 231cc8f7-fe60-4162-ba58-c2a5334c1c0f, 100, 14062, No update data, 9g3qx28bxy47
Bird, MEX, de0074f8-dfba-47dd-8a7b-2c4f0a7acf2f, 93, 13694, No update data, 9g3qx21mr9sj
Bird, MEX, ae02b51b-123a-4953-b879-ccdd4f8d7c0c, 100, 14863, No update data, 9g3qx2znvq4y
Bird, MEX, b6b2e6b0-2bad-431a-99d0-a1ea379fe53e, 100, 14062, No update data, 9g3qx28bxqxp
Bird, MEX, b32768e5-a9c6-4f84-8d1d-a5dbb3358e22, 100, 14062, No update data, 9g3qx28cr0gb
Bird, MEX, df75c92d-d578-4bed-b538-e4872918c86f, 96, 14195, No update data, 9g3qx21mq5z7
Bird, MEX, b5cd7192-78e7-45dd-a081-58caacc5e8e9, 96, 14195, No update data, 9g3qx21mqj9n
Bird, MEX, 86ec64a2-fe4e-4b0a-9242-2cd4cc94ee4a, 100, 14062, No update data, 9g3qx28cnmh2
Bird, MEX, 4568dccb-1d47-46a5-b355-738704fd1ab0, 100, 14062, No update data, 9g3qx231sy5e
Bird, MEX, fd5a2837-3e18-416e-8a88-19bd4403f0b4, 100, 14062, No update data, 9g3qx2zpnjre
Bird, MEX, 3b9aa98a-f776-425d-977a-2cb9db63cb91, 82, 11857, No update data, 9g3qx2z8crmq
Bird, MEX, 5e0012f4-cf1b-496f-8e47-337dd9dbf496, 93, 12956, No update data, 9g3qx21mjdvf
Bird, MEX, 6bb32e49-e86c-4e57-a7e5-5c020bea363e, 100, 14062, No update data, 9g3qx230v6fb
Bird, MEX, 41f54773-ba15-4d2b-b496-7e0ab99dafff, 99, 14696, No update data, 9g3qx21mkjxy
