Bird, MEX, b80aaae5-94e7-4592-b87c-8780eb718089, 79, 11356, No update data, 9g3qrrwyejb2
Bird, MEX, 521093e4-dc2d-40c1-b7ff-18f12d909e25, 74, 10521, No update data, 9g3qx205rmrh
Bird, MEX, 6a306aa7-5d9f-43b5-8b9f-3919d88d8838, 90, 13193, No update data, 9g3qx205vwjv
Bird, MEX, 10d1ce59-d4b5-4257-8c3b-a1030d1e62ff, 51, 6680, No update data, 9g3qx20hk9ur
Bird, MEX, 4730edd5-6799-4b48-be93-48203ec26745, 65, 8532, No update data, 9g3qrr9vbcgf
Bird, MEX, a83e31e1-4970-4fa9-b4d2-0720a5ed4d7f, 94, 13861, No update data, 9g3qx3e5ync5
Bird, MEX, 64133e30-0da4-4ec8-ae3c-5972a077901f, 56, 7515, No update data, 9g3qrrsb71ws
Bird, MEX, 1f40a2ca-af10-433f-8b3e-f41958fc290d, 74, 9954, No update data, 9g3qx20j9kjp
Bird, MEX, 41841e98-dd02-4244-9a70-f5c0a2dc348b, 88, 12166, No update data, 9g3qx20j4801
Bird, MEX, 84fa1fe7-5bed-4b58-85e8-897024785305, 81, 11060, No update data, 9g3qx20j3cqe
Bird, MEX, 786abcfe-46b9-4225-a741-6d73bc9fc925, 94, 13861, No update data, 9g3qx3ehn7s2
Bird, MEX, e9041c55-aa4a-423f-a642-3a56b81f061c, 49, 6346, No update data, 9g3qrr9tyct8
Bird, MEX, ba3c36a0-2733-4cac-bf52-72101d2fd26f, 83, 12024, No update data, 9g3qrr9v2v7u
Bird, MEX, 555150d1-96e8-49a7-b12f-9771a82641da, 79, 11356, No update data, 9g3qx908cuqf
Bird, MEX, 7c0181d9-d157-4ceb-aea4-1e7064cc426e, 89, 13026, No update data, 9g3qx0pykgc7
Bird, MEX, 436f7305-3e18-4261-b57f-fd77d6901b7d, 45, 5372, No update data, 9g3qx32ghtur
Bird, MEX, 98d0806b-e079-4a0a-a9c1-4c9f69b8f6be, 66, 9185, No update data, 9g3qx908npx8
Bird, MEX, b5e67f67-da21-4183-9ebc-b68e05bb4798, 62, 8517, No update data, 9g3qx33q2dyy
Bird, MEX, 20546d3f-f42d-4194-970a-3ffdb5b21e06, 79, 11356, No update data, 9g3qrr9gd4gx
Bird, MEX, b498efa9-e1b3-4e5d-b25d-6f9fae0ff3f2, 90, 12482, No update data, 9g3qx89p1b8t
Bird, MEX, 3a253315-22c0-4190-b7ae-4446f7fae3e3, 69, 9164, No update data, 9g3qrr9g4ne9
Bird, MEX, ef4f7d1d-dee0-4495-aebe-55222feb35c5, 88, 12166, No update data, 9g3qrrkq4cgk
Bird, MEX, c97a2b50-b5be-40ab-bb18-0052a349595c, 82, 11857, No update data, 9g3qrrw3hyzg
Bird, MEX, cb40c718-e0c4-4168-afc9-7f333dc7e1ed, 51, 6680, No update data, 9g3qrr97wctx
Bird, MEX, bdea0c6a-8de6-4bf9-a6e6-45c9545125ab, 57, 7268, No update data, 9g3qrrxmhuru
Bird, MEX, 7dcae05c-57ee-4587-95a8-cc788984cb61, 81, 11060, No update data, 9g3qx3u27jb2
Bird, MEX, 0897457f-20df-4e3f-a974-55ebe46a1a1a, 43, 5344, No update data, 9g3qx8chhgzc
Bird, MEX, c3c14471-824a-455a-a662-b88719af3bd0, 79, 10744, No update data, 9g3qx90cnpzd
Bird, MEX, 5927a50c-aabf-44a1-8433-8eb80c6d0b65, 69, 9164, No update data, 9g3qx8c5q8fb
Bird, MEX, 44d07070-b3ad-4878-afb9-e82209367756, 20, 1503, No update data, 9g3qrr7umnse
Bird, MEX, 0e072fb4-261a-4445-af94-4a084fb2473b, 87, 12692, No update data, 9g3qx3ep9gwt
Bird, MEX, 301fdafb-9156-4f03-a87b-d3b71699631d, 82, 11218, No update data, 9g3qrr7u80b9
Bird, MEX, 0cea28f5-7ebb-4016-bf25-a883a08d2158, 62, 8517, No update data, 9g3qrr7sqytg
Bird, MEX, 1564aa3a-d67b-4308-8c6d-0f1ca60dab88, 76, 10855, No update data, 9g3qx90crxk3
Bird, MEX, 310ad17e-0864-41bb-bd64-10f8ba2f9529, 56, 7515, No update data, 9g3qx90cxc6x
Bird, MEX, ca16afad-fb5f-4e4a-82a5-b2cd4fa2a4c2, 72, 10187, No update data, 9g3qx92h5w3c
Bird, MEX, bbd15dba-d59c-4d70-9583-9b62abdce6cd, 89, 12324, No update data, 9g3qx92h5v8j
Bird, MEX, fe1875d4-96f9-40c9-bf94-f709bc436c9c, 49, 6346, No update data, 9g3qx0pecmt1
Bird, MEX, d444da05-24ab-400d-9fd9-3c7e35e92ec6, 79, 11356, No update data, 9g3qx92hhxe3
Bird, MEX, ba08b0ac-b5e2-4ca1-b1fc-dbd068adaa8b, 100, 14062, No update data, 9g3qrr997guf
Bird, MEX, 45eecc90-326d-4000-b14a-f995400c5d2b, 30, 3173, No update data, 9g3qrxb0skb5
Bird, MEX, beb97eb3-8b97-4d75-8a71-27c7a351191c, 100, 14863, No update data, 9g3qrr98vqzc
Bird, MEX, 7efa313b-b2d4-428e-9c13-9a6b08b5e3d7, 100, 14863, No update data, 9g3qrr98v8vu
Bird, MEX, 0ba1cf18-359b-434a-a0a6-90e6d4848d93, 90, 12482, No update data, 9g3qrxb0y7st
Bird, MEX, 3d5bb277-0baa-4567-8d7e-2f1e978d3b4c, 92, 13527, No update data, 9g3qx8c3s7wk
Bird, MEX, bba7f93d-d5c4-4fff-9928-8f098452b102, 72, 9638, No update data, 9g3qx89rtfen
Bird, MEX, ff21006b-8547-4524-ac33-65db37873889, 93, 13694, No update data, 9g3qrxb0mkfb
Bird, MEX, 005c9142-b44c-4c54-acb3-0e8d9f1678c1, 81, 11690, No update data, 9g3qx0pdb9ny
Bird, MEX, 32e222b0-acd1-4cef-b59c-af0238d4195d, 74, 9954, No update data, 9g3qrrkgx9h5
Bird, MEX, 19febfba-3469-48dd-a75f-f1fb64ec34b9, 72, 10187, No update data, 9g3qx92huzzb
Bird, MEX, 2d9a30b6-c4f0-432b-8176-36d6bb701c48, 66, 9185, No update data, 9g3qx0p7pb43
Bird, MEX, 3ae2b625-cd6c-48f4-a479-30ccd5404085, 97, 13588, No update data, 9g3qrxb0q4r9
Bird, MEX, e8285d41-3f5b-4910-a11e-d62040b8b218, 72, 9638, No update data, 9g3qx0rp4hsy
Bird, MEX, c6223c71-f925-4904-920a-d205cdff2a6d, 83, 12024, No update data, 9g3qrx8pvtnp
Bird, MEX, 33c2d799-fa8c-4108-a031-5aba530e3786, 91, 13360, No update data, 9g3qx92jn51q
Bird, MEX, 8a9264b0-56cc-4ab4-84c8-3c17203abf7d, 52, 6478, No update data, 9g3qx92jmnuz
Bird, MEX, 997e7973-5a29-4db6-ac84-68aa930a99f9, 78, 11189, No update data, 9g3qx914m6eh
Bird, MEX, 3d34caa5-82dc-441b-bae7-6364bbeee990, 47, 6012, No update data, 9g3qx810f1gf
Bird, MEX, 4839d852-1d85-4016-81c3-aa58f7b13957, 83, 12024, No update data, 9g3qx914nbjf
Bird, MEX, a93b4e0d-00de-44c0-9f42-e658d828bcf1, 29, 3006, No update data, 9g3qrpzu3z86
