Bird, MEX, b986ab2d-8533-4988-b01d-3cf295960e8f, 63, 8216, No update data, 9g3qx8bnc0zm
Bird, MEX, f7ecde43-2936-44e7-a645-c8034b977dd9, 94, 13114, No update data, 9g3qx8bnd6dn
Bird, MEX, cab00e91-b892-4426-8347-ddc609491f33, 84, 11534, No update data, 9g3qx3r0wrhd
Bird, MEX, 5fbb0cfb-2012-45fb-96de-f912921b3293, 91, 12640, No update data, 9g3qx8bnenqw
Bird, MEX, 622320ac-250e-4894-bfd4-dcb90ef9bb81, 49, 6004, No update data, 9g3qx80pkfjr
Bird, MEX, 1c86c21a-e351-4dd5-946f-083fcdd2f879, 92, 12798, No update data, 9g3qrrdpsgxe
Bird, MEX, c3ffb957-d369-49dd-99cd-c7ed879fe799, 53, 6636, No update data, 9g3qx8277s3z
Bird, MEX, 5d64aa1e-c53d-45a6-9422-cc6e6642aafd, 52, 6478, No update data, 9g3qx20mu5dy
Bird, MEX, 9e4d8faf-4321-4b9a-ad2d-98872ccd6ca3, 66, 8690, No update data, 9g3qrrbyg838
Bird, MEX, c0331136-955c-4c1d-bf9f-0c3c797c9635, 94, 13114, No update data, 9g3qx20mc7mh
Bird, MEX, 6015a551-c4a5-41f4-8a61-abf92a099f7f, 57, 7682, No update data, 9g3qx3r4y8de
Bird, MEX, b0ff9900-d17d-4880-b2dd-67125dad6f36, 48, 5846, No update data, 9g3qx2bnxgfq
Bird, MEX, 2cb62d98-bc56-4b8d-b42f-bd1e03bf4c50, 91, 12640, No update data, 9g3qrrecfb72
Bird, MEX, fae676a3-80b3-45b4-8b84-ab33bb6ea644, 97, 13588, No update data, 9g3qx20m2kg9
Bird, MEX, 9216a4bc-ecdb-4569-8679-634d6e5b7025, 91, 13360, No update data, 9g3qx20jwfme
Bird, MEX, 363b103e-5edc-4349-8913-397182e4d399, 46, 5530, No update data, 9g3qrrdk5ysc
Bird, MEX, aee51c04-dfcd-4389-ac13-3df082c63249, 48, 5846, No update data, 9g3qx202zhgv
Bird, MEX, 15715a2e-6726-43bd-9922-236a169cf519, 67, 8848, No update data, 9g3qx202yms3
Bird, MEX, b8d880a7-81bd-4480-b331-113b3ca58fce, 93, 12956, No update data, 9g3qx3rj8kgu
Bird, MEX, d0c3498a-931a-4849-8659-93aa44f30d7d, 88, 12166, No update data, 9g3qrrbx61kg
Bird, MEX, d91c98e7-2aa1-44ca-b0c6-c93885106c0b, 57, 7682, No update data, 9g3qrrbx3rm0
Bird, MEX, abb16bc6-8bee-460a-bec6-00551aa50640, 94, 13114, No update data, 9g3qx202vsbv
Bird, MEX, 79eff638-dcdd-4cae-9826-7c9da1a4ca2c, 53, 6636, No update data, 9g3qx8bwbbk1
Bird, MEX, 5e0be0da-7af7-4766-ad27-75d50f6cdb62, 98, 13746, No update data, 9g3qx3ehn7u6
Bird, MEX, 888b195a-e8de-42cc-987f-eb0972eb1866, 42, 4898, No update data, 9g3qrrbrjsty
Bird, MEX, 661f3bcf-0e13-4163-a94d-5e63fdeedbca, 57, 7268, No update data, 9g3qrr9r5epu
Bird, MEX, 56a74912-733c-4441-9dd4-57c875b0dfc1, 79, 10744, No update data, 9g3qx8bxke72
Bird, MEX, 5ad35b71-5724-49c1-9ffb-f4ef2169bd5f, 63, 8216, No update data, 9g3qx88gpxs2
Bird, MEX, fb938b7a-226f-4420-a630-90771cb70dea, 92, 12798, No update data, 9g3qrr9qfr9z
