Bird, MEX, 6a4caf95-892c-4778-9a9d-37ac40018f87, 40, 4582, No update data, 9g3qrr7vjpht
Bird, MEX, 5e1a46b2-1eb9-4a19-81d1-fba2e32ff70b, 69, 9164, No update data, 9g3qx90syumg
Bird, MEX, 2b6047ff-900f-4b79-92d5-d7d63149c230, 94, 13114, No update data, 9g3qx90u0tr5
Bird, MEX, d4ffbb54-d3eb-4811-91dc-9b98d61e8ca3, 78, 10586, No update data, 9g3qrr7u2kgb
Bird, MEX, bda16c95-58b9-4693-ae77-01b51087607a, 76, 10270, No update data, 9g3qrr96rth4
Bird, MEX, 602f512f-30a2-4dd8-bf9a-80f233f1967e, 76, 10270, No update data, 9g3qx89rzhdu
Bird, MEX, 90e167cc-a284-40f3-ab95-aa8b1a1a632e, 82, 11218, No update data, 9g3qrrkgnvmc
Bird, MEX, d03a9514-0e9e-4df7-96d3-35f3d7116f00, 78, 10586, No update data, 9g3qx0x12nm7
Bird, MEX, 9d314b86-06e0-43af-abff-d7cb11dcb7c2, 47, 5688, No update data, 9g3qx833q3ux
Bird, MEX, 8b04fc6d-d093-480c-8f6b-269e9d5d12b3, 30, 3002, No update data, 9g3qx39yt4kt
Bird, MEX, 191cd4de-4b08-4f67-9c2a-6e71cc6b9e8e, 90, 12482, No update data, 9g3qrr7cfy5k
Bird, MEX, d7603a20-bdf5-4c56-8cd6-c1a15b8606fc, 58, 7426, No update data, 9g3qrr6fwwdw
Bird, MEX, 2875e10b-f1d7-46ae-9d02-a9df47893a79, 91, 12640, No update data, 9g3qrrk1qfvu
Bird, MEX, a8b4e8fa-949a-44bb-a931-45aeeb79e9ab, 80, 11523, No update data, 9g3qx389y3s6
Bird, MEX, 680a4e60-43b6-4323-858f-4af8e15b3b3e, 62, 8517, No update data, 9g3qx389ye6t
Bird, MEX, 92a7c024-b5e8-4eb2-ad50-d10dfb5da9d6, 45, 5372, No update data, 9g3qrr3whrnj
Bird, MEX, 3a89692e-e82f-4164-abb9-42d1fadca724, 79, 10744, No update data, 9g3qrrxf7w1b
Bird, MEX, cdf1a39f-7ec0-4b16-be6b-7b0c364f09c4, 45, 5372, No update data, 9g3qrrk22tnf
Bird, MEX, 9f6f21e0-d30f-4847-b54c-4e1de6e59391, 47, 6012, No update data, 9g3qx83y5dwc
Bird, MEX, b90c1638-fa3f-4517-83e4-1a54102cea86, 88, 12166, No update data, 9g3qrrk209yu
Bird, MEX, 9f4b80fd-e297-4781-ac82-695840ea2af4, 34, 3634, No update data, 9g3qx1p18syu
Bird, MEX, 2640b6ff-78e0-44eb-bc71-4980ed10610d, 90, 12482, No update data, 9g3qrrhrvpks
Bird, MEX, adf6fe80-3821-46ff-a65a-886991c1695c, 80, 10902, No update data, 9g3qrr66df77
Bird, MEX, a6ab387c-c178-4787-8034-3a4f7692d504, 67, 8848, No update data, 9g3qx3f6vemv
Bird, MEX, 6b0025d4-8011-4190-a878-6ea62ec6ce1a, 64, 8374, No update data, 9g3qrrhrmrzg
Bird, MEX, 7c906dcf-51d2-45d5-91fd-c0c9ccda7a7b, 63, 8216, No update data, 9g3qrrhnfn7w
Bird, MEX, 2decf237-4f7d-4944-8d89-3939fbef0fd9, 82, 11218, No update data, 9g3qrrhnbd2v
Bird, MEX, a962e32f-1896-4870-ace0-48bae169446f, 71, 9480, No update data, 9g3qrrhn9mb2
Bird, MEX, 32261fab-970d-48bf-9815-542af9468f29, 82, 11218, No update data, 9g3qrrqfy093
Bird, MEX, d6c3969d-fd00-4ed5-a276-b423f443d07d, 51, 6320, No update data, 9g3qrr3j882x
Bird, MEX, 52a290a1-5c11-4e43-a503-c41eb43248bc, 45, 5372, No update data, 9g3qx8djn5rx
Bird, MEX, 32abc7f8-b895-4a02-9e42-be22720f51a2, 63, 8216, No update data, 9g3qrrqfqjpd
Bird, MEX, 5757cb9e-c12a-45e5-b582-769465856fe1, 80, 10902, No update data, 9g3qrr82dz74
Bird, MEX, 2d8e803d-27e4-4d51-b2ee-7a081954ceac, 28, 2686, No update data, 9g3qrr2x4fgd
Bird, MEX, 8ed54e8f-d062-4ad6-b978-e50b3b9823cf, 52, 6478, No update data, 9g3qrrrknvtg
Bird, MEX, 959aaa7d-07f6-4d55-ad45-c44b9987c957, 47, 5688, No update data, 9g3qrr5jv0ue
Bird, MEX, a832c3a3-648d-4169-a2ca-9e2267e9779b, 53, 6636, No update data, 9g3qrr4v7p83
Bird, MEX, 9c8c59b6-a5c0-46ef-91b3-6c5e76041990, 73, 9796, No update data, 9g3qrr4vhp7p
Bird, MEX, 7e603b4d-03ab-428e-9779-963c1277a9bf, 44, 5214, No update data, 9g3qx0wpkv9r
Bird, MEX, fa8545fd-8e56-49d1-bee6-68f252914e46, 42, 4898, No update data, 9g3qrpxcsg97
Bird, MEX, a9848a78-4d3a-4ed0-88c9-c9038a64be2d, 46, 5530, No update data, 9g3qx8fkgsqf
Bird, MEX, 12acc1cc-36b8-4652-b88a-69d672758c2e, 21, 1580, No update data, 9g3qx1xute2g
Bird, MEX, 48f0eec5-2830-4de3-ad87-16ad9cc65d9f, 49, 6004, No update data, 9g3qx8fd9z2e
Bird, MEX, eb0a0c60-a150-44a5-9b70-8424fc44270c, 46, 5530, No update data, 9g3qx8d8ubzv
Bird, MEX, f5b148fc-11ff-48a7-99fc-c6c63a8b44d3, 58, 7426, No update data, 9g3qx9b197j3
Bird, MEX, 7e3772cd-373c-4896-aad1-e19dc9a1c5eb, 70, 9322, No update data, 9g3qrrh40x2y
Bird, MEX, d93fe58b-091c-4157-913f-415a62fe7b15, 58, 7426, No update data, 9g3qrx94u2q2
Bird, MEX, 5f527278-2a4c-403b-968a-9749149a89ea, 74, 10521, No update data, 9g3qx98wn432
Bird, MEX, 4875b0e8-20eb-4f8a-ac6c-ae78d93be97f, 48, 5846, No update data, 9g3qrr1pwmkq
Bird, MEX, c13c1639-b829-4204-9339-064748d54588, 89, 12324, No update data, 9g3qrprxr20g
Bird, MEX, 0531e298-8d5f-47d9-b496-99d7fe665e9a, 46, 5530, No update data, 9g3qrr1uquju
Bird, MEX, d3c72a91-a20a-4f51-8654-bce7e73dabb7, 96, 13430, No update data, 9g3qrprxp38f
Bird, MEX, c98f7f21-3f96-4123-ab06-e30cf61e24f0, 93, 12956, No update data, 9g3qrprwz6xp
Bird, MEX, f59dcbf5-5cd5-4546-a2aa-35f2570c8c1f, 54, 7181, No update data, 9g3qx0vug021
Bird, MEX, 3d3d2d16-b263-49cc-b584-6d57ee169a2a, 52, 6478, No update data, 9g3qx99hkrbj
Bird, MEX, ecb0b02f-506d-46ed-868f-e6cd45f62fe1, 71, 9480, No update data, 9g3qrr2957he
Bird, MEX, 44b3f687-3522-4fde-9b44-40d840a6e61c, 67, 8848, No update data, 9g3qrr294fe0
Bird, MEX, 4368843b-82b6-4d6c-944e-cf63b26565c4, 75, 10112, No update data, 9g3qrrn4m24f
Bird, MEX, 0ceae40a-2c94-4360-a251-e002e3347c36, 56, 7110, No update data, 9g3qrrhb7spg
Bird, MEX, 169ce11f-2574-46c5-a883-bbecbab77511, 30, 3002, No update data, 9g3qx6jge6ex
Bird, MEX, f9c55a55-ede5-4130-8cbb-efb65c98a921, 93, 12956, No update data, 9g3qrrh8p9s1
Bird, MEX, 7b0c8401-14e0-4330-9a9e-131cb49609e3, 70, 9322, No update data, 9g3qx1xmh5ff
Bird, MEX, fe00a8b3-8c42-4d94-a671-e00646388b71, 60, 7742, No update data, 9g3qx6ju0yh0
Bird, MEX, 0183fdae-bd6e-4850-ae9d-647a88c78078, 84, 11534, No update data, 9g3qx65jnn10
Bird, MEX, 58df12d9-09c8-476d-9b0e-4050fae7ff25, 81, 11060, No update data, 9g3qx65jm2pv
Bird, MEX, 991c36de-36a1-4e97-930a-22f29dcc391c, 73, 9796, No update data, 9g3qrr418n8w
Bird, MEX, 8503c02f-45fd-4e79-8484-13c2a81e0f8c, 70, 9322, No update data, 9g3qrqgp72ks
Bird, MEX, 2a8b474e-8c05-4184-9143-1bc314f90178, 85, 11692, No update data, 9g3qrqgq4e05
Bird, MEX, c724bb63-1df9-414e-99cb-e16545366c4d, 46, 5530, No update data, 9g3qrr16h8sk
Bird, MEX, 3ecbfd4e-07b7-49c4-95b1-18de4a205226, 34, 3634, No update data, 9g3qx96c87fy
Bird, MEX, 7ddebdbe-5700-484b-a175-223446fd85c5, 72, 9638, No update data, 9g3qrrp01z2w
Bird, MEX, b23a5dd2-4c01-4c59-94da-1595e0a62f33, 44, 5214, No update data, 9g3qrr0n1dg3
Bird, MEX, cc247f4d-4cf9-40e3-8069-ca1c1e7af023, 40, 4582, No update data, 9g3qrqym8vhh
Bird, MEX, 4af58471-1aee-4dd0-a650-c72109101201, 61, 7900, No update data, 9g3qx1z775q3
Bird, MEX, 901dcac6-0966-430c-b1a2-293623ae26c7, 46, 5530, No update data, 9g3qrqymx5k0
Bird, MEX, de05ba13-f89b-4ac8-b51c-efcf4070371b, 84, 11534, No update data, 9g3qx9d2y5rt
Bird, MEX, 0ccc456b-def5-4c6b-93c0-dbdac4dbcafb, 87, 12008, No update data, 9g3qx9d2y7kt
Bird, MEX, fa63dc3e-e96f-404d-a2e0-6bf295e471db, 92, 12798, No update data, 9g3qx9d2ygwp
Bird, MEX, 45140a98-0b34-4367-96e9-1a90cd0caa58, 63, 8216, No update data, 9g3qrqufbptw
Bird, MEX, 2adb12fb-aae4-4a46-90ef-119c6b4e0c18, 85, 11692, No update data, 9g3qrqcr8528
Bird, MEX, 643a6993-af4e-4c94-9105-f049d8ad6d2e, 45, 5372, No update data, 9g3qrqcr810e
Bird, MEX, c07616df-18ea-4029-b721-8013ed7b6206, 81, 11060, No update data, 9g3qrqfeup54
Bird, MEX, 094186c1-0dc7-4d1b-b6ed-b529dc469acb, 67, 9352, No update data, 9g3qrx3eyjze
Bird, MEX, fe719244-67b9-4ede-aa8d-d977d423d6c4, 83, 11376, No update data, 9g3qrqfeb80x
Bird, MEX, c0544952-e404-4fa7-9b18-7094569f4845, 46, 5845, No update data, 9g3qrqf7f80p
Bird, MEX, 71d4b8c0-310e-428d-9a31-0132a26d21fc, 75, 10112, No update data, 9g3qrqbzt9mu
Bird, MEX, ce59040d-59ed-416a-acac-73ffdbb950cf, 90, 12482, No update data, 9g3qrqy450n8
Bird, MEX, acaee680-ab8a-4d18-aa9e-674c746202ea, 87, 12008, No update data, 9g3qrqy1g8xc
Bird, MEX, b90794eb-6196-450f-aaaf-49dccc979004, 85, 11692, No update data, 9g3qrqy1tput
Bird, MEX, 62b26a52-d698-45f6-8034-32d23c107a28, 79, 10744, No update data, 9g3qrpq9nvbt
Bird, MEX, f5e40aa5-e9d5-4bdf-8527-614e4bd1e14b, 40, 4582, No update data, 9g3qrqzkh4g1
Bird, MEX, 659027f9-9477-4019-862c-034bc17badae, 80, 10902, No update data, 9g3qrppk7e98
Bird, MEX, 64878573-a8b2-4b76-9889-52d1411bbce1, 84, 11534, No update data, 9g3qrx3buw7q
