Bird, MEX, 98a70388-fd0b-4a6c-8f63-15ae419f4d3d, 54, 6794, No update data, 9g3qrnyvf2cg
Bird, MEX, bf956252-d541-4d7d-a779-dcb1d9327ce8, 58, 7426, No update data, 9g3qrpkvbqg8
Bird, MEX, 4b3ad5bf-564e-492f-979a-7286f89b6f18, 42, 4898, No update data, 9g3qrwfnf4ez
Bird, MEX, 5124fad0-f236-4aa3-aab4-74a935d7e8e3, 75, 10112, No update data, 9g3qrqw9qvjc
Bird, MEX, 85b2faf0-bf39-4d8e-b316-e423910f3cc2, 85, 11692, No update data, 9g3qrqw05w9b
Bird, MEX, c46a5db9-e572-4f78-a8c6-034d7a81d5fd, 80, 10902, No update data, 9g3qrq8gpz4k
Bird, MEX, e7d8d72a-86e6-4863-9535-aa8a733dbb05, 84, 11534, No update data, 9g3qrwc1qwrc
Bird, MEX, 0485859b-cb57-40d5-92c6-cb42108e4902, 65, 8532, No update data, 9g3qrpjcyqhh
Bird, MEX, 9fd728a8-d70e-4e48-94db-8fe585f60070, 30, 3002, No update data, 9g3qrq94keu3
Bird, MEX, d9065476-c2ce-48f4-84f4-92104f7ca671, 49, 6004, No update data, 9g3qrx4ghmbm
Bird, MEX, 3d850764-5537-4c8a-a58d-997d7e4d5bed, 29, 2844, No update data, 9g3qrpksvw0u
Bird, MEX, 3f395dda-14b8-4292-8c7e-9833709f5f4e, 89, 12324, No update data, 9g3qrwfrt4uy
Bird, MEX, b3fd75dd-62fc-4d00-aef5-7c345ca66079, 78, 10586, No update data, 9g3qrpkstxby
Bird, MEX, e804b161-7aee-459e-839a-94828863aeb9, 27, 2528, No update data, 9g3qrpkstxby
Bird, MEX, 03f69e84-1f4a-44a4-83e8-505ad2bc6a1e, 57, 7268, No update data, 9g3qrpksngmt
Bird, MEX, 2440c0db-e48b-403a-8305-9fc65ef403e4, 76, 10270, No update data, 9g3qrwcd7cvn
Bird, MEX, 744ea8bc-1663-4fcc-90f0-f3a9f3440171, 76, 10270, No update data, 9g3qrq7jvgh0
Bird, MEX, 423d36b9-8cb3-4e83-ad2a-efce033261c9, 79, 10744, No update data, 9g3qrq7jugcq
Bird, MEX, e77b9d41-bb89-42f7-bfc7-278b3d486cc8, 89, 12324, No update data, 9g3qrnxwru6m
Bird, MEX, b7ed3905-1d1a-425b-8074-41c297a19a41, 71, 9480, No update data, 9g3qrwfxf4ez
Bird, MEX, 64b3f753-f2df-4c32-bdc9-d73967e8a883, 78, 10586, No update data, 9g3qrnxy0507
Bird, MEX, 33ae860b-a05a-42e8-ab6e-88d41ab63d7e, 56, 7110, No update data, 9g3qrwfx29p0
Bird, MEX, 1949ed2d-802f-4191-afad-8f01568b5d27, 70, 9322, No update data, 9g3qrw8v6str
Bird, MEX, 32bf3b05-cc6b-4309-b54c-eb5f1fe2a8f6, 47, 5688, No update data, 9g3qx06urqyy
Bird, MEX, da86960c-aeef-4e65-a637-ba6d20812a40, 62, 8058, No update data, 9g3qx9s9v2eh
Bird, MEX, d120ee69-aef3-4d87-98c3-16eee7067d3b, 65, 8532, No update data, 9g3qx9kvwvy4
Bird, MEX, c6d794a4-a109-4310-8ad0-8254add39f35, 81, 11060, No update data, 9g3qrxtnb66y
Bird, MEX, 77eaf832-765a-43ab-905c-de64980ce1d1, 97, 13588, No update data, 9g3qrq6gkxs2
Bird, MEX, 46a2c8ad-12c3-4797-9ced-fcedc2e25df2, 78, 10586, No update data, 9g3qrq882kex
Bird, MEX, 969ce656-c694-45be-b962-fa260f9eae63, 94, 13114, No update data, 9g3qrq6gk8sm
Bird, MEX, b6b2e6b0-2bad-431a-99d0-a1ea379fe53e, 72, 9638, No update data, 9g3qrq6ghts6
Bird, MEX, 751bb3bb-ed56-4a94-a536-4cf6ba537ba8, 63, 8216, No update data, 9g3qrny50xnu
Bird, MEX, 885b2d36-d324-4a86-9de4-200583505507, 56, 7110, No update data, 9g3qrwgn3gbc
Bird, MEX, 27558950-de15-463d-97a0-f23df7023404, 91, 12640, No update data, 9g3qrwgn1kme
Bird, MEX, b8c73e25-e944-4620-bc91-5ad29fd90ce4, 83, 11376, No update data, 9g3qx9jwhj53
Bird, MEX, 67893d36-74fe-4ff4-a258-7337ed3893cc, 91, 12640, No update data, 9g3qrwgn7nq9
Bird, MEX, 30b86e43-c8a7-4bfa-bf10-588a81a365d1, 81, 11060, No update data, 9g3qrnx9zqrn
Bird, MEX, b32768e5-a9c6-4f84-8d1d-a5dbb3358e22, 66, 8690, No update data, 9g3qrnvqv92z
