Bird, MEX, 9bb845f6-a89f-4997-89ca-6297a5ad036b, 99, 13904, No update data, 9g3qx2fr9c2q
Bird, MEX, 16d38e6f-4353-4750-a08b-75a9fd4c887a, 100, 14062, No update data, 9g3qx2frf23c
Bird, MEX, bbafdc4d-89b6-4010-8443-7d11a76bd4cb, 49, 6004, No update data, 9g3qx23f1tek
Bird, MEX, 45bb899b-9ac7-45ee-9496-bd8c8cc82a22, 39, 4676, No update data, 9g3qx2nx7487
Bird, MEX, 4e32cb22-ca9f-432d-997d-0a18d8c52a6b, 48, 5846, No update data, 9g3qrrvrn5c2
Bird, MEX, 57603942-baae-488a-8408-a7509cbb9ad5, 49, 6004, No update data, 9g3qx2xj5rgd
Bird, MEX, 9c4e2605-80c1-4b6c-a583-95711c43853c, 97, 13588, No update data, 9g3qx239vwvc
Bird, MEX, f297c4a2-19a4-45b2-8fe7-ca04295f3e65, 91, 12640, No update data, 9g3qx239nx4w
Bird, MEX, cea54814-f2fd-41b1-b30c-b5b404750525, 56, 7110, No update data, 9g3qx238x72c
Bird, MEX, a952f527-d0ae-4d22-a4d7-7bbc16845429, 82, 11218, No update data, 9g3qrrvq4dv4
Bird, MEX, f7dd0509-1d5c-413f-80fe-1d4c922d2914, 92, 12798, No update data, 9g3qx239s8hq
Bird, MEX, ea96b78c-8772-4e09-86ba-34ac162e084a, 42, 4898, No update data, 9g3qx2396dt5
Bird, MEX, 0fe30f27-3f39-44a9-aa7f-f4b27706c589, 97, 13588, No update data, 9g3qx21v7ykf
Bird, MEX, 9d080dda-e43c-46f6-9a97-5c15364b4a79, 97, 13588, No update data, 9g3qx21vk38j
Bird, MEX, aec5ff38-707c-4925-998a-92bc10257e76, 99, 13904, No update data, 9g3qx21v1rt2
Bird, MEX, 7e0a430c-a723-4fdc-9666-07e53cdc6e95, 98, 13746, No update data, 9g3qx21ty6u2
Bird, MEX, 1b38a58b-5a6e-4662-896d-1fcd5523d758, 82, 11218, No update data, 9g3qx2z3c6v3
Bird, MEX, a12a11f2-f8b1-414b-9560-7c0ff5663d79, 98, 13746, No update data, 9g3qrrudv0sd
Bird, MEX, d00608e7-d16d-4e05-b33d-dbf5858742ce, 52, 6478, No update data, 9g3qx2z7304k
Bird, MEX, aa4842cf-7945-450a-92b9-e9d1894ea145, 85, 11692, No update data, 9g3qx21qttvc
Bird, MEX, 5de0bce0-40ad-4ff5-85cd-e6af42777a96, 96, 13430, No update data, 9g3qx21t1k2k
Bird, MEX, e497d866-3c49-4750-ab84-987f2a1aa91e, 49, 6004, No update data, 9g3qx3nf64gy
Bird, MEX, 83b7f59d-ea85-4e7f-bf84-33810010d090, 64, 8374, No update data, 9g3qx3netvu6
Bird, MEX, 229eb6f4-7f57-499a-854f-db189811d6de, 63, 8216, No update data, 9g3qx36c57ht
Bird, MEX, c9f5a1e7-c4f4-42a0-9326-05634d8924ed, 63, 8684, No update data, 9g3qx21s1qm2
Bird, MEX, 6842d2ba-1857-4e11-aca9-98148c3561cb, 98, 13746, No update data, 9g3qx231jvun
Bird, MEX, 29633c9d-10ad-4965-9e22-5ee0ff471df6, 84, 11534, No update data, 9g3qx231jsmu
Bird, MEX, 3f86fb15-6bbe-4d63-866a-71cb5c44afb1, 70, 9322, No update data, 9g3qx231gtrb
Bird, MEX, 23f2b19c-06bc-4bfe-bce1-9cbcbf80e9b0, 99, 13904, No update data, 9g3qx21kvttc
Bird, MEX, 05ba9e7f-fc41-404a-a1e4-1b31a3b05d96, 97, 13588, No update data, 9g3qx21mhz92
Bird, MEX, 2843c7af-2a49-4e61-961f-7856954b5d3a, 92, 12798, No update data, 9g3qx230uhgn
Bird, MEX, 459b8fd1-1287-4a27-b4eb-cc8f74c376de, 63, 8216, No update data, 9g3qx21m5gky
Bird, MEX, 3f2424d1-0cb7-4038-94d0-281c78180e5a, 54, 6794, No update data, 9g3qx2zmj2pf
Bird, MEX, 98755f6b-5987-470a-8acc-400bc14eeea5, 97, 13588, No update data, 9g3qx2zr3egs
Bird, MEX, db409089-ec3e-4cc9-bbb5-1c36aede27ce, 69, 9164, No update data, 9g3qx21mbqg9
Bird, MEX, abd632b4-0a7d-4bed-be93-272dae2ad3d5, 98, 13746, No update data, 9g3qx3p0rfxk
Bird, MEX, 85983d3b-32f3-44e4-b9c1-a8cd9a927686, 94, 13114, No update data, 9g3qx2zrf15z
Bird, MEX, 793e6f61-4322-460a-a485-d14350dc6eca, 62, 8517, No update data, 9g3qrryz91ph
Bird, MEX, 8a43a5bb-2c4d-4cf1-b482-e468fb3975e4, 81, 11060, No update data, 9g3qrrsrsr24
Bird, MEX, 61f8da17-2aa8-4922-8fb6-ac42148aea0c, 76, 10270, No update data, 9g3qx2zb0dx1
Bird, MEX, 0e7014a8-667b-49f6-b233-d3a3c446f5c6, 97, 13588, No update data, 9g3qx3p2fw82
Bird, MEX, f4ac696d-2fa7-49e6-8cd9-eaa16265f6ba, 94, 13861, No update data, 9g3qx21jkwk6
Bird, MEX, 19005f15-4e93-4010-8315-7d1cf142513c, 82, 11218, No update data, 9g3qrrfhg5wm
Bird, MEX, 3c4fa4c0-db69-490d-9607-4e8e792410c5, 98, 13746, No update data, 9g3qx21hv2r8
Bird, MEX, 7298da93-68c4-4aee-b3de-ae13e9fbc371, 17, 948, No update data, 9g3qx2zexph1
Bird, MEX, ee2eab71-0ac0-498d-bf60-41767d800e44, 80, 10902, No update data, 9g3qx20yz6z0
Bird, MEX, 3127c34f-297e-4752-9f99-8159c9cb56b8, 98, 13746, No update data, 9g3qx2zexwsr
Bird, MEX, edb61149-cbc7-4bc2-8966-3c64c3f40951, 48, 5846, No update data, 9g3qx2zg88pp
Bird, MEX, c785af1a-77d0-42ad-afcb-72d724d9c6c8, 94, 13114, No update data, 9g3qx2zg7f8h
Bird, MEX, 9d5ec466-e3c1-4784-ba01-bfcaddd57261, 98, 13746, No update data, 9g3qx21558zz
Bird, MEX, 22cb30b7-5bc8-448f-b361-69e5943164fc, 60, 7742, No update data, 9g3qx22e4825
Bird, MEX, 5fbb0cfb-2012-45fb-96de-f912921b3293, 93, 12956, No update data, 9g3qx2zyx5k4
Bird, MEX, 622320ac-250e-4894-bfd4-dcb90ef9bb81, 49, 6004, No update data, 9g3qx80p4ev0
Bird, MEX, 4aa7de21-9316-48fd-9781-796d3843b52b, 22, 1738, No update data, 9g3qx3qnjwq1
Bird, MEX, cc6185b5-1819-4438-9eee-b095dc8d0695, 89, 13026, No update data, 9g3qx3qndem5
Bird, MEX, cab00e91-b892-4426-8347-ddc609491f33, 87, 12008, No update data, 9g3qx3prff5m
Bird, MEX, bd8ddf75-ef3c-4561-ae59-1e1c515402b5, 98, 13746, No update data, 9g3qx8bpepn9
Bird, MEX, 9d197c02-f1f3-416d-bf0a-3a172e56d703, 81, 11060, No update data, 9g3qx8bpkv9x
Bird, MEX, 244962f6-9655-4a24-a38b-b00697a0e46a, 98, 13746, No update data, 9g3qx20dej2p
Bird, MEX, f7ecde43-2936-44e7-a645-c8034b977dd9, 97, 13588, No update data, 9g3qx8bpwh32
Bird, MEX, 15715a2e-6726-43bd-9922-236a169cf519, 70, 9322, No update data, 9g3qx20dd5uv
Bird, MEX, abb16bc6-8bee-460a-bec6-00551aa50640, 98, 13746, No update data, 9g3qx20d6r9f
Bird, MEX, ed7aef40-ba52-46a8-b70e-311488287901, 96, 14195, No update data, 9g3qx208v0sd
Bird, MEX, 721e59a9-d26b-429a-b3ca-fecad8167953, 38, 4266, No update data, 9g3qx904e5ws
Bird, MEX, 9e4d8faf-4321-4b9a-ad2d-98872ccd6ca3, 69, 9164, No update data, 9g3qrrby9ndn
Bird, MEX, 54a76fd1-3ab7-437e-9729-c9ae674b046d, 98, 13746, No update data, 9g3qx203zqz1
Bird, MEX, ebeb5778-14c0-48e4-9260-19fa68cbaf4c, 99, 13904, No update data, 9g3qx20jpm0b
Bird, MEX, c0331136-955c-4c1d-bf9f-0c3c797c9635, 97, 13588, No update data, 9g3qx20jwks3
Bird, MEX, fae676a3-80b3-45b4-8b84-ab33bb6ea644, 99, 13904, No update data, 9g3qx20jtwmv
Bird, MEX, 74379b1f-e56e-4a16-8a8f-f853c98b23aa, 98, 13746, No update data, 9g3qx207469b
Bird, MEX, 9216a4bc-ecdb-4569-8679-634d6e5b7025, 96, 14195, No update data, 9g3qx20jkmqh
Bird, MEX, 691990b3-248a-4d43-a31c-09f7ad2a19c0, 49, 6004, No update data, 9g3qrrwyu2yk
Bird, MEX, f75cb28b-cba5-4dfd-a5eb-a5c92662d6f6, 100, 14062, No update data, 9g3qx3ehp4s4
Bird, MEX, 5e0be0da-7af7-4766-ad27-75d50f6cdb62, 100, 14062, No update data, 9g3qx3ehpr0z
Bird, MEX, b8d880a7-81bd-4480-b331-113b3ca58fce, 96, 13430, No update data, 9g3qx3rn3h4q
Bird, MEX, d0c3498a-931a-4849-8659-93aa44f30d7d, 89, 12324, No update data, 9g3qx2025mh8
Bird, MEX, fd6c9f13-417a-4d89-8048-afceeac69925, 99, 13904, No update data, 9g3qx20h8e8e
Bird, MEX, ad499f75-2405-494f-b96e-ac9727a1e898, 63, 8216, No update data, 9g3qx82g7w3f
Bird, MEX, 322a1b2f-8a88-40f2-b873-053550014c32, 49, 6004, No update data, 9g3qrrbcw5cj
Bird, MEX, 0d18beab-ab25-426d-b463-c187197287ae, 93, 12956, No update data, 9g3qx8bwyzvb
Bird, MEX, 71528959-6709-4afc-81ca-c837539a1083, 70, 9322, No update data, 9g3qx90kgm78
Bird, MEX, 888b195a-e8de-42cc-987f-eb0972eb1866, 43, 5056, No update data, 9g3qrrbdwzvw
Bird, MEX, 2bcef7f2-4618-40b8-b515-ef1391651334, 97, 13588, No update data, 9g3qx90s8d8y
Bird, MEX, 45758387-0395-4df9-a763-7c37e57b5695, 67, 8848, No update data, 9g3qrrktvqpv
Bird, MEX, 5d02cb90-23f3-469c-8c5f-c718a0ed8e92, 76, 10855, No update data, 9g3qx3spkxuq
Bird, MEX, 98c2052d-b01b-48db-8cfa-66631f051f9e, 73, 9796, No update data, 9g3qrrw2znkp
Bird, MEX, 5695864c-38e8-42c8-8a36-6d1bc1936f68, 74, 10521, No update data, 9g3qx90w14r2
Bird, MEX, 2b6047ff-900f-4b79-92d5-d7d63149c230, 100, 14062, No update data, 9g3qx90stsyh
Bird, MEX, 74ba9dbd-56b4-4809-9003-9fa926447d91, 91, 12640, No update data, 9g3qx3u0sfrt
Bird, MEX, 8634b308-e459-4833-972d-a678af79a3cb, 88, 12166, No update data, 9g3qx0r732mn
Bird, MEX, 324b13e6-ef80-4ffb-893d-69a2cc0805db, 97, 13588, No update data, 9g3qrr99g1nq
Bird, MEX, fae398d9-b025-46e6-91a8-1278a8ffe514, 100, 14062, No update data, 9g3qrr6tutu7
