Bird, MEX, aa4842cf-7945-450a-92b9-e9d1894ea145, 87, 12008, No update data, 9g3qx21w31dj
Bird, MEX, 83b7f59d-ea85-4e7f-bf84-33810010d090, 65, 8532, No update data, 9g3qx3net5ss
Bird, MEX, edb61149-cbc7-4bc2-8966-3c64c3f40951, 48, 5846, No update data, 9g3qx2z77qgx
Bird, MEX, db409089-ec3e-4cc9-bbb5-1c36aede27ce, 70, 9322, No update data, 9g3qx2323n64
Bird, MEX, 29633c9d-10ad-4965-9e22-5ee0ff471df6, 84, 11534, No update data, 9g3qx231prpn
Bird, MEX, 229eb6f4-7f57-499a-854f-db189811d6de, 63, 8216, No update data, 9g3qx36c4tvp
Bird, MEX, 2843c7af-2a49-4e61-961f-7856954b5d3a, 93, 12956, No update data, 9g3qx234h8k7
Bird, MEX, bc0eea3b-4e18-44cc-9dd1-387d638c7814, 75, 10112, No update data, 9g3qx2zku1e1
Bird, MEX, a05791a1-9dde-4eb5-8f7a-4238ddfe1fcb, 54, 6794, No update data, 9g3qx2xsvnsb
Bird, MEX, 23f2b19c-06bc-4bfe-bce1-9cbcbf80e9b0, 99, 13904, No update data, 9g3qx21mk3yp
Bird, MEX, ccadc1af-0581-43a1-8b17-38718352ba47, 88, 12166, No update data, 9g3qx21m6zgh
Bird, MEX, 8a43a5bb-2c4d-4cf1-b482-e468fb3975e4, 82, 11218, No update data, 9g3qrru2e83x
Bird, MEX, 68bf1f8a-3730-4c18-bb50-b0c3907b3ea1, 98, 13746, No update data, 9g3qx2zmuv9d
Bird, MEX, 3127c34f-297e-4752-9f99-8159c9cb56b8, 99, 13904, No update data, 9g3qx2ze68jh
Bird, MEX, 5de0bce0-40ad-4ff5-85cd-e6af42777a96, 97, 13588, No update data, 9g3qx21jxq2v
Bird, MEX, 793e6f61-4322-460a-a485-d14350dc6eca, 63, 8684, No update data, 9g3qrryz1z2x
Bird, MEX, 715a9c24-99e1-492a-a8a6-5e770378bacd, 46, 5530, No update data, 9g3qrrsxed19
Bird, MEX, 05ba9e7f-fc41-404a-a1e4-1b31a3b05d96, 98, 13746, No update data, 9g3qx21jepn3
Bird, MEX, abd632b4-0a7d-4bed-be93-272dae2ad3d5, 99, 13904, No update data, 9g3qx2zwbwpn
Bird, MEX, 0158c8fd-f98b-479c-8517-18c1063e7c8c, 45, 5372, No update data, 9g3qx3nxeukb
Bird, MEX, 7298da93-68c4-4aee-b3de-ae13e9fbc371, 18, 1106, No update data, 9g3qx2zexr11
Bird, MEX, c785af1a-77d0-42ad-afcb-72d724d9c6c8, 96, 13430, No update data, 9g3qx2zg080f
Bird, MEX, 0e7014a8-667b-49f6-b233-d3a3c446f5c6, 97, 13588, No update data, 9g3qx2zx1pf6
Bird, MEX, 9d5ec466-e3c1-4784-ba01-bfcaddd57261, 98, 13746, No update data, 9g3qx215y3s2
Bird, MEX, 19005f15-4e93-4010-8315-7d1cf142513c, 83, 11376, No update data, 9g3qrrcvnzmz
Bird, MEX, 3c4fa4c0-db69-490d-9607-4e8e792410c5, 98, 13746, No update data, 9g3qx215nzmx
Bird, MEX, f4ac696d-2fa7-49e6-8cd9-eaa16265f6ba, 97, 14362, No update data, 9g3qx215ug16
Bird, MEX, 7c1acad6-f0d8-413e-aedd-5b7f2c54fd22, 78, 10586, No update data, 9g3qx3ky7dcw
Bird, MEX, 98755f6b-5987-470a-8acc-400bc14eeea5, 98, 13746, No update data, 9g3qx2zwnjzx
Bird, MEX, a5979468-76e6-4cb7-be77-f7333fbc5d22, 49, 6004, No update data, 9g3qx2b9s1ry
Bird, MEX, 5be8d1f8-59a4-49f1-9151-43275942d4ee, 96, 13430, No update data, 9g3qx3p7bzu0
Bird, MEX, f93d44a9-058d-4e9d-a6ae-d4c881dd02ec, 30, 3173, No update data, 9g3qx3pjez04
Bird, MEX, 85983d3b-32f3-44e4-b9c1-a8cd9a927686, 96, 13430, No update data, 9g3qx2zz2zs5
Bird, MEX, 22cb30b7-5bc8-448f-b361-69e5943164fc, 60, 7742, No update data, 9g3qx22mncbt
Bird, MEX, ebeb5778-14c0-48e4-9260-19fa68cbaf4c, 100, 14062, No update data, 9g3qx20svmfg
Bird, MEX, bd8ddf75-ef3c-4561-ae59-1e1c515402b5, 99, 13904, No update data, 9g3qx8bnf5ez
Bird, MEX, cc6185b5-1819-4438-9eee-b095dc8d0695, 90, 13193, No update data, 9g3qx3qne00r
Bird, MEX, 2ef83335-fa89-4684-a5ed-7e7f36bf3cd7, 89, 12324, No update data, 9g3qrrsg9787
Bird, MEX, 622320ac-250e-4894-bfd4-dcb90ef9bb81, 49, 6004, No update data, 9g3qx80ptr6g
Bird, MEX, 9d197c02-f1f3-416d-bf0a-3a172e56d703, 82, 11218, No update data, 9g3qx8bng023
Bird, MEX, 5fbb0cfb-2012-45fb-96de-f912921b3293, 94, 13114, No update data, 9g3qx8bnn4ze
Bird, MEX, fae676a3-80b3-45b4-8b84-ab33bb6ea644, 100, 14062, No update data, 9g3qx20mrk0v
Bird, MEX, f7ecde43-2936-44e7-a645-c8034b977dd9, 97, 13588, No update data, 9g3qx8bnvnsb
